run log: /home/user/dupilumab-sim/logs/sample_size_stat_20260925T103252.log
    cv   n analysis_model power_pct analytic_pct      diff_pp
 1: 35 100             M0     96.86     96.41761  0.442386438
 2: 35 100             M1     97.24     96.82572  0.414281950
 3: 35 117             M0     98.36     98.28917  0.070832853
 4: 35 117             M1     98.54     98.50657  0.033425958
 5: 35 130             M0     99.08     99.04468  0.035319805
 6: 35 130             M1     99.10     99.17511 -0.075108345
 7: 35 140             M0     99.32     99.39533 -0.075328015
 8: 35 140             M1     99.48     99.48208 -0.002082659
 9: 40 100             M0     93.38     93.11662  0.263380354
10: 40 100             M1     93.98     93.75853  0.221465204
11: 40 117             M0     96.06     96.12950 -0.069504626
12: 40 117             M1     96.46     96.53402 -0.074016103
13: 40 130             M0     97.64     97.53206  0.107935808
14: 40 130             M1     97.80     97.81022 -0.010223283
15: 40 140             M0     98.10     98.26323 -0.163234780
16: 40 140             M1     98.36     98.46951 -0.109513526
17: 43 100             M0     90.04     90.23199 -0.191987599
18: 43 100             M1     90.82     90.99115 -0.171154867
19: 43 117             M0     94.30     94.01818  0.281823687
20: 43 117             M1     94.74     94.53556  0.204443845
21: 43 130             M0     95.82     95.91302 -0.093016572
22: 43 130             M1     96.14     96.29275 -0.152749667
23: 43 140             M0     96.90     96.96200 -0.061995040
24: 43 140             M1     97.18     97.25873 -0.078731242
25: 46 100             M0     86.94     86.83700  0.102999667
26: 46 100             M1     87.78     87.68605  0.093945173
27: 46 117             M0     91.26     91.38323 -0.123229555
28: 46 117             M1     91.72     91.99761 -0.277612574
29: 46 130             M0     93.26     93.78713 -0.527125783
30: 46 130             M1     93.64     94.26148 -0.621481316
31: 46 140             M0     95.02     95.18102 -0.161016672
32: 46 140             M1     95.36     95.56718 -0.207180329
33: 50 100             M0     82.20     81.75277  0.447225228
34: 50 100             M1     83.10     82.68291  0.417090150
35: 50 117             M0     87.92     87.24883  0.671174836
36: 50 117             M1     88.74     87.96167  0.778329310
37: 50 130             M0     90.72     90.30604  0.413956055
38: 50 130             M1     91.48     90.88427  0.595731447
39: 50 140             M0     91.64     92.15781 -0.517806533
40: 50 140             M1     92.14     92.64793 -0.507927230
41: 52 100             M0     78.36     79.04544 -0.685442608
42: 52 100             M1     79.34     80.00266 -0.662660683
43: 52 117             M0     84.86     84.98544 -0.125441149
44: 52 117             M1     85.80     85.73502  0.064978429
45: 52 130             M0     88.28     88.34992 -0.069918864
46: 52 130             M1     88.96     88.96938 -0.009381362
47: 52 140             M0     89.88     90.42019 -0.540191091
48: 52 140             M1     90.50     90.95343 -0.453428669
    cv   n analysis_model power_pct analytic_pct      diff_pp
