Model,Parameter,Value,Unit,Status,Source
Kovalenko 2016 (primary),"Vc (central volume, L at 75 kg; V2 in Kovalenko 2016)",2.74,L,confirmed,"Kovalenko 2016 Table 2 (V2, BLQ included)"
Kovalenko 2016 (primary),ke,0.0459,1/day,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),k12 (k23 in Kovalenko 2016; kcp in 2020),0.0652,1/day,confirmed,Kovalenko 2016 Table 2 (k23)
Kovalenko 2016 (primary),k21 (k32 in Kovalenko 2016; kpc in 2020),0.129,1/day,confirmed,Kovalenko 2016 Table 2 (k32)
Kovalenko 2016 (primary),ka,0.254,1/day,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),Vmax,0.968,mg/L/day,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),Km,0.01,mg/L,confirmed,Kovalenko 2016 Table 2 (fixed)
Kovalenko 2016 (primary),F,0.607,fraction,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),Weight exponent on Vc,0.705,"",confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),Reference weight,75,kg,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),IIV variance Vc,0.0225,log-scale variance,confirmed,Kovalenko 2016 Table 2 (V2)
Kovalenko 2016 (primary),IIV variance ke,0.131,log-scale variance,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),IIV variance ka,0.251,log-scale variance,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),IIV variance Vmax,0.0428,log-scale variance,confirmed,Kovalenko 2016 Table 2
Kovalenko 2016 (primary),IIV variance k12,0,log-scale variance,confirmed,Kovalenko 2016 Table 2 (no IIV estimated)
Kovalenko 2016 (primary),IIV variance k21,0,log-scale variance,confirmed,Kovalenko 2016 Table 2 (no IIV estimated)
Kovalenko 2016 (primary),IIV variance F,0,log-scale variance,confirmed,Kovalenko 2016 Table 2 (no IIV estimated)
Kovalenko 2016 (primary),IIV variance Km,0,log-scale variance,confirmed,Km fixed; no IIV
Kovalenko 2016 (primary),Residual proportional,0.242,fraction (SD),confirmed,Kovalenko 2016 Table 2 (proportional 24.2% CV)
Kovalenko 2016 (primary),Residual additive,0.03,mg/L (SD),confirmed,"Kovalenko 2016 Table 2 (additive 0.03 mg/L, fixed)"
Kovalenko 2020 Model 1 (sensitivity),"Vc (central volume, L at 75 kg; V2 in Kovalenko 2016)",2.48,L,confirmed,Kovalenko 2020 Table 1 Model 1 (Vc)
Kovalenko 2020 Model 1 (sensitivity),ke,0.0534,1/day,confirmed,Kovalenko 2020 Table 1 Model 1
Kovalenko 2020 Model 1 (sensitivity),k12 (k23 in Kovalenko 2016; kcp in 2020),0.213,1/day,confirmed,Kovalenko 2020 Table 1 Model 1 (kcp)
Kovalenko 2020 Model 1 (sensitivity),k21 (k32 in Kovalenko 2016; kpc in 2020),0.31,1/day,confirmed,"Kovalenko 2020 Table 1 Model 1 (kpc, derived from Mpc 0.686)"
Kovalenko 2020 Model 1 (sensitivity),ka,0.256,1/day,confirmed,Kovalenko 2020 Table 1 Model 1
