document,section,item,source_file,locator,value_raw,value_printed,source_sha256,source_commit
MS_report,5.4 Operating characteristics,pass_pct,results/oc/p2_interpretation.csv,"model=='k2016' & config=='P2' & model=='k2016' & scenario=='V2_up_080' :: pass_pct [lo, hi]",3.97000000000000; 3.60465114473627; 4.37069974526822,3.97% (95% CI 3.60 to 4.37),bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,pass_pct,results/oc/p2_interpretation.csv,"model=='k2020' & config=='P2' & model=='k2020' & scenario=='V2_up_080' :: pass_pct [lo, hi]",5.18000000000000; 4.88136778412433; 5.49584632794489,5.18% (95% CI 4.88 to 5.50),bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,P2 cells conservative,results/oc/p2_interpretation.csv,count of rows [config=='P2' & class=='conservative'],15,15,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,P2 cells nominal,results/oc/p2_interpretation.csv,count of rows [config=='P2' & class=='nominal'],1,1,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,P2 cells exceeding,results/oc/p2_interpretation.csv,count of rows [config=='P2' & class=='exceeding'],0,0,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,P2 boundary cells,results/oc/p2_interpretation.csv,count of rows [config=='P2'],16,16,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,"V2 multiplier, 2020 model",results/oc/p2_interpretation.csv,model=='k2020' & scenario=='V2_up_080' & config=='P2' :: multiplier,2.27730854120339,2.28,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,"V2 multiplier, 2016 model",results/oc/p2_interpretation.csv,model=='k2016' & scenario=='V2_up_080' & config=='P2' :: multiplier,3.21003979693093,3.21,bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,"trials, nominal cell",results/oc/p2_interpretation.csv,model=='k2020' & scenario=='V2_up_080' & config=='P2' :: n_trials,20000,"20,000",bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
MS_report,5.4 Operating characteristics,"pre-specified 10,000-trial value",results/oc/p2_interpretation.csv,"model=='k2020' & scenario=='V2_up_080' & config=='P2' :: pass_pct_prereg [lo_prereg, hi_prereg]",5.32000000000000; 4.89702817745753; 5.77728591694613,5.32% (95% CI 4.90 to 5.78),bfb15a8048bc18c4cb772c585852ef473170164dabb05192927bc8222cb73933,ed9e8ba4f2961b345d77f0dd32788d740cbd2763
