band,set,n,n_fail,fail_pct,fail_lo,fail_hi,lz_fail_pct,population,variant,distribution
all,i,20000,2983,14.915,14.4280298125647,15.4154453574921,1.885,adult atopic dermatitis,base,primary
below 60,i,3230,314,9.72136222910217,8.7470437262643,10.7913741852654,0.402476780185759,adult atopic dermatitis,base,primary
60-90,i,11924,1642,13.7705467963771,13.1637031699528,14.4007264057716,1.29989936262999,adult atopic dermatitis,base,primary
above 90-100,i,2265,418,18.4547461368653,16.9110188134048,20.1052943166113,3.13465783664459,adult atopic dermatitis,base,primary
above 100,i,2581,609,23.5955056179775,21.9974400720756,25.2720531748389,5.34676481983727,adult atopic dermatitis,base,primary
above 90,i,4846,1027,21.1927362773421,20.0651604466159,22.3659473801765,4.31283532810565,adult atopic dermatitis,base,primary
all,ii,20000,4205,21.025,20.4658544872787,21.5952740021726,1.885,adult atopic dermatitis,base,primary
below 60,ii,3230,504,15.6037151702786,14.3931746706258,16.8959739071678,0.402476780185759,adult atopic dermatitis,base,primary
60-90,ii,11924,2314,19.4062395169406,18.7063016100259,20.1258833650303,1.29989936262999,adult atopic dermatitis,base,primary
above 90-100,ii,2265,571,25.2097130242826,23.464489593196,27.0388831464878,3.13465783664459,adult atopic dermatitis,base,primary
above 100,ii,2581,816,31.6156528477334,29.8502607276046,33.4356887157717,5.34676481983727,adult atopic dermatitis,base,primary
above 90,ii,4846,1387,28.6215435410648,27.3662842802335,29.9106696657243,4.31283532810565,adult atopic dermatitis,base,primary
all,iii,20000,7893,39.465,38.7896894477536,40.1443567519485,1.885,adult atopic dermatitis,base,primary
below 60,iii,3230,1094,33.8699690402477,32.2578612865923,35.5203983074945,0.402476780185759,adult atopic dermatitis,base,primary
60-90,iii,11924,4623,38.7705467963771,37.8997796790141,39.6485469880913,1.29989936262999,adult atopic dermatitis,base,primary
above 90-100,iii,2265,951,41.9867549668874,39.9694837292777,44.0311612435676,3.13465783664459,adult atopic dermatitis,base,primary
above 100,iii,2581,1225,47.4622239442077,45.5409461677891,49.3910447458909,5.34676481983727,adult atopic dermatitis,base,primary
above 90,iii,4846,2176,44.903012794057,43.5071797340928,46.3069202897022,4.31283532810565,adult atopic dermatitis,base,primary
all,iv,20000,13289,66.445,65.7874978208377,67.096186113277,1.885,adult atopic dermatitis,base,primary
below 60,iv,3230,1965,60.8359133126935,59.1406561295286,62.5054266767471,0.402476780185759,adult atopic dermatitis,base,primary
60-90,iv,11924,7837,65.7245890640725,64.8677395865699,66.5713100767441,1.29989936262999,adult atopic dermatitis,base,primary
above 90-100,iv,2265,1583,69.8896247240618,67.9680463834653,71.7438513561116,3.13465783664459,adult atopic dermatitis,base,primary
above 100,iv,2581,1904,73.7698566447114,72.0383776248578,75.4306845805977,5.34676481983727,adult atopic dermatitis,base,primary
above 90,iv,4846,3487,71.956252579447,70.6744812518563,73.2032417225655,4.31283532810565,adult atopic dermatitis,base,primary
all,i,20000,2753,13.765,13.2944649961834,14.2494518568025,1.475,adult atopic dermatitis,base,sens_75_18
below 60,i,4062,388,9.55194485475135,8.68587313465571,10.4944482506963,0.34465780403742,adult atopic dermatitis,base,sens_75_18
