variant,distribution,set,or_per_10kg,or_lo,or_hi
base,primary,i,1.18459792089205,1.16160155998503,1.20804954342507
base,primary,ii,1.16698796420086,1.14674947047742,1.18758363849314
base,primary,iii,1.08721298828777,1.07100192225824,1.10366943077867
base,primary,iv,1.09763688360724,1.08013558870616,1.11542174968811
base,sens_nct03389893,i,1.18743906705965,1.16473473753428,1.21058597510747
base,sens_nct03389893,ii,1.15148269117158,1.13176503592963,1.17154386818342
base,sens_nct03389893,iii,1.07105228142271,1.05517838599585,1.08716498060007
base,sens_nct03389893,iv,1.06816845144542,1.05120648268739,1.085404113706
base,sens_75_18,i,1.17709268549083,1.15244274079068,1.20226987527849
base,sens_75_18,ii,1.14375481850669,1.12257216990217,1.16533717825134
base,sens_75_18,iii,1.06941381075033,1.05267748957784,1.08641621954144
base,sens_75_18,iv,1.07910321660722,1.06121012621744,1.09729800284006
struct2020,primary,i,1.15958622853073,1.13195252596373,1.18789453670182
struct2020,primary,ii,1.13083482987961,1.10987276806393,1.15219280017075
struct2020,primary,iii,1.0779048572515,1.06140061546243,1.09466573163817
struct2020,primary,iv,1.09082475362504,1.07235029545698,1.10961748988381
struct2020,sens_nct03389893,i,1.17480728282599,1.14751703682084,1.2027465453626
struct2020,sens_nct03389893,ii,1.1354371179191,1.11462056723459,1.15664243658003
struct2020,sens_nct03389893,iii,1.06795803592371,1.05176410163698,1.08440130702207
struct2020,sens_nct03389893,iv,1.08209627773956,1.06366599927918,1.10084590002061
struct2020,sens_75_18,i,1.16297776638991,1.13343857133375,1.19328679941227
struct2020,sens_75_18,ii,1.11573906835167,1.09374855095747,1.13817171922786
struct2020,sens_75_18,iii,1.09040278956384,1.07284815987304,1.10824465936476
struct2020,sens_75_18,iv,1.09934505463835,1.0797708105374,1.11927414351597
k2016_bmi_vc0817,primary,i,1.21904387239755,1.19562024491195,1.24292639670003
k2016_bmi_vc0817,primary,ii,1.1808716189043,1.16060425770255,1.20149290430318
k2016_bmi_vc0817,primary,iii,1.0954320598947,1.07909573750324,1.11201569623617
k2016_bmi_vc0817,primary,iv,1.0776880134846,1.06057156550751,1.09508070193511
k2016_bmi_vc0817,sens_nct03389893,i,1.21237115616791,1.18933021792849,1.23585846735484
k2016_bmi_vc0817,sens_nct03389893,ii,1.17281316976369,1.15288417157332,1.19308666480696
k2016_bmi_vc0817,sens_nct03389893,iii,1.07722785323373,1.06126137837114,1.09343454066291
k2016_bmi_vc0817,sens_nct03389893,iv,1.05344554415352,1.03677039089102,1.0703888963719
k2016_bmi_vc0817,sens_75_18,i,1.19514914586293,1.17007661147236,1.22075893736521
k2016_bmi_vc0817,sens_75_18,ii,1.16221001671509,1.14078224384944,1.18404027607846
k2016_bmi_vc0817,sens_75_18,iii,1.07819741174434,1.06133096851526,1.09533189285759
k2016_bmi_vc0817,sens_75_18,iv,1.07119656410405,1.05348981720752,1.08920092079284
