set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05,band,variant,distribution
i,20000,14.915,1.885,13.03,17.45055,83.8044167412938,77.3876727100924,6.41674403120136,5.63670014869503,7.1967879137077,0.715212799597101,1.08229380955619,0.659581920006636,0.931073637725109,0.774116728266465,all,base,primary
ii,20000,21.025,1.885,19.14,24.59925,82.8673108046098,77.1407128656877,5.72659793892206,5.04788291569378,6.40531296215033,0.753421006121758,1.66467085800766,0.580146854063979,0.932298929719862,0.778939370230951,all,base,primary
iii,20000,39.465,1.885,37.58,46.17405,80.1534452611688,77.1655619228972,2.98788333827167,2.44860766989477,3.52715900664858,0.867417442918993,0.461316395740408,0.78740092646995,0.953239857977026,0.798586302201489,all,base,primary
iv,20000,66.445,1.885,64.56,77.74065,79.4253912493286,76.2048245171499,3.22056673217872,2.67827036206453,3.76286310229292,0.874925323407833,1.01248042435174,0.377983342741683,0.954345739771143,0.802572015989725,all,base,primary
i,2265,18.4547461368653,3.13465783664459,15.3200883002208,21.5920529801325,94.4409486770319,94.5940287312737,-0.153080054241826,-0.4558839354617,0.149723826978047,0.742538847211379,1.35525937335125,0.826209634947206,0.929296081023299,0.754323693187117,above 90-100,base,primary
i,11924,13.7705467963771,1.29989936262999,12.4706474337471,16.1115397517612,75.5192083108976,74.3136972292727,1.20551108162493,0.773614129848835,1.63740803340103,0.777739883603569,0.884381927854833,0.646665825816656,0.932754761760532,0.780619669241658,60-90,base,primary
i,2581,23.5955056179775,5.34676481983727,18.2487407981403,27.6067415730337,114.197592539439,112.634194486702,1.563398052737,0.39872761427363,2.72806849120037,0.738769417194103,2.25812308653596,0.896455985175032,0.92235546067131,0.763905943030795,above 100,base,primary
i,3230,9.72136222910217,0.402476780185759,9.31888544891641,11.3739938080495,54.0235181186873,53.4920401240816,0.531477994605687,0.00128749593142591,1.06166849327995,0.830225000194902,0.330228251329534,0.532854514496262,0.935410641293084,0.769938783335264,below 60,base,primary
ii,2265,25.2097130242826,3.13465783664459,22.075055187638,29.4953642384106,94.5344681636396,94.576331931655,-0.0418637680154035,-0.311001877517973,0.227274341487166,0.763013760935969,2.19331415662357,0.705154877597858,0.931247214903281,0.771971857998986,above 90-100,base,primary
ii,11924,19.4062395169406,1.29989936262999,18.1063401543106,22.7053002348205,75.294363411007,74.2835398568996,1.0108235541074,0.636197726396208,1.3854493818186,0.806313081023329,1.47733190295462,0.572406483940807,0.932695075643475,0.781408169384787,60-90,base,primary
