n,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_lt80_pct,coverage_min,wt_mean,wt_median,band,variant,distribution
20000,0.69079624615434,4.06421062192406,18.6243247152143,0,0.813756752847857,78.3447300823461,76.0828225562271,all,base,primary
2265,0.872352296501877,4.8117584231154,18.6243247152143,0,0.813756752847857,94.5657781958772,94.4233938002488,above 90-100,base,primary
11924,0.659646155878657,3.58351081751979,15.1192434846971,0,0.848807565153029,74.4797026969034,74.2907912553977,60-90,base,primary
2581,1.11369932491817,6.113305800963,13.901112863392,0,0.86098887136608,113.003086162067,109.559175455723,above 100,base,primary
3230,0.52625711037847,2.71883349624441,16.7864579053798,0,0.832135420946202,53.5437070251052,54.5063015132311,below 60,base,primary
20000,0.67533385067256,3.95335809802181,19.1595870634044,0,0.808404129365956,78.3447300823461,76.0828225562271,all,struct2020,primary
2265,0.819063923492569,4.76152160804108,19.1595870634044,0,0.808404129365956,94.5657781958772,94.4233938002488,above 90-100,struct2020,primary
11924,0.647018714851105,3.52863240541222,14.6603467129354,0,0.853396532870646,74.4797026969034,74.2907912553977,60-90,struct2020,primary
2581,0.967994485900025,6.01811269656629,18.8394380312925,0,0.811605619687075,113.003086162067,109.559175455723,above 100,struct2020,primary
3230,0.534392657668042,2.93703776457668,16.9092840906716,0,0.830907159093284,53.5437070251052,54.5063015132311,below 60,struct2020,primary
20000,0.707531112802978,4.29565592137289,21.0140336247675,0.005,0.789859663752325,78.3447300823461,76.0828225562271,all,k2016_bmi_vc0817,primary
2265,0.938644710750658,5.48529379043054,16.8681718154492,0,0.831318281845508,94.5657781958772,94.4233938002488,above 90-100,k2016_bmi_vc0817,primary
11924,0.670360845904533,3.64545000862304,14.6565953219704,0,0.853434046780297,74.4797026969034,74.2907912553977,60-90,k2016_bmi_vc0817,primary
2581,1.20138212105388,7.13860564258055,19.7976730964856,0,0.802023269035144,113.003086162067,109.559175455723,above 100,k2016_bmi_vc0817,primary
3230,0.503160519586249,2.9310877434388,21.0140336247675,0.0309597523219814,0.789859663752325,53.5437070251052,54.5063015132311,below 60,k2016_bmi_vc0817,primary
20000,0.713519627840364,4.06814151922264,14.4687302231175,0,0.855312697768825,80.2160324832491,77.8453791615984,all,base,sens_nct03389893
12039,0.667401849330418,3.56002889305035,12.6104386195606,0,0.873895613804394,74.9191123326281,74.8316353098385,60-90,base,sens_nct03389893
2493,0.923687472729162,4.86515269344369,13.9236395608369,0,0.860763604391631,94.5732237000099,94.4048814090256,above 90-100,base,sens_nct03389893
2584,0.524026557387158,2.74493107947593,10.2685478965481,0,0.897314521034519,53.9587282769523,54.999699377813,below 60,base,sens_nct03389893
2884,1.08109633807152,6.22598690265412,14.4687302231175,0,0.855312697768825,113.442807122297,109.928392861711,above 100,base,sens_nct03389893
20000,0.677099531212627,3.97259619770338,17.3340331719137,0,0.826659668280863,80.2160324832491,77.8453791615984,all,struct2020,sens_nct03389893
12039,0.635732522452015,3.55457723186192,17.3340331719137,0,0.826659668280863,74.9191123326281,74.8316353098385,60-90,struct2020,sens_nct03389893
2493,0.814702875777884,4.48126023781194,14.9815426065489,0,0.850184573934511,94.5732237000099,94.4048814090256,above 90-100,struct2020,sens_nct03389893
2584,0.536809717424286,2.89791571040524,8.73898668704453,0,0.912610133129555,53.9587282769523,54.999699377813,below 60,struct2020,sens_nct03389893
2884,0.977135361136961,5.80190708290509,16.6994789669943,0,0.833005210330057,113.442807122297,109.928392861711,above 100,struct2020,sens_nct03389893
20000,0.727437447246943,4.39667981519294,17.95129795524,0,0.8204870204476,80.2160324832491,77.8453791615984,all,k2016_bmi_vc0817,sens_nct03389893
12039,0.678584562162521,3.59769619040214,14.0280669116676,0,0.859719330883324,74.9191123326281,74.8316353098385,60-90,k2016_bmi_vc0817,sens_nct03389893
2493,0.959266420995897,5.20401055765914,13.1152490547683,0,0.868847509452317,94.5732237000099,94.4048814090256,above 90-100,k2016_bmi_vc0817,sens_nct03389893
2584,0.536510190705797,3.09848869368669,12.1362494996451,0,0.878637505003549,53.9587282769523,54.999699377813,below 60,k2016_bmi_vc0817,sens_nct03389893
2884,1.15795220459581,7.11897372750149,17.95129795524,0,0.8204870204476,113.442807122297,109.928392861711,above 100,k2016_bmi_vc0817,sens_nct03389893
20000,0.668016655454906,3.82840884816692,19.4021406231834,0,0.805978593768166,75.2081027368876,72.9460871664611,all,base,sens_75_18
12071,0.658279133021222,3.52451634405396,15.3567988592702,0,0.846432011407298,73.6993870585872,73.1737636299795,60-90,base,sens_75_18
1938,0.846005920576237,4.63954798139453,15.5356185347976,0,0.844643814652024,94.5148520902679,94.3491681135178,above 90-100,base,sens_75_18
4062,0.530380572393974,2.86014096153578,13.9286020218406,0,0.860713979781594,53.1318159563593,54.0652091599008,below 60,base,sens_75_18
1929,1.03286739202657,5.72878678701238,19.4021406231834,0,0.805978593768166,111.739519848562,108.3269226131,above 100,base,sens_75_18
20000,0.637923074981728,3.7835389639141,16.5638533746867,0,0.834361466253133,75.2081027368876,72.9460871664611,all,struct2020,sens_75_18
12071,0.61990187519726,3.52040985413922,15.2386409978564,0,0.847613590021436,73.6993870585872,73.1737636299795,60-90,struct2020,sens_75_18
1938,0.840813180574129,4.56127253383685,16.5638533746867,0,0.834361466253133,94.5148520902679,94.3491681135178,above 90-100,struct2020,sens_75_18
4062,0.521744829529686,2.97469713046408,14.7484648044222,0,0.852515351955778,53.1318159563593,54.0652091599008,below 60,struct2020,sens_75_18
1929,0.9224059863854,5.82930729367365,15.7197336861596,0,0.842802663138404,111.739519848562,108.3269226131,above 100,struct2020,sens_75_18
20000,0.66093923153342,4.06270318092358,18.2079410117636,0,0.817920589882364,75.2081027368876,72.9460871664611,all,k2016_bmi_vc0817,sens_75_18
12071,0.643946725802458,3.49064093799962,14.5960695391074,0,0.854039304608926,73.6993870585872,73.1737636299795,60-90,k2016_bmi_vc0817,sens_75_18
1938,0.828474358596493,4.81463792749359,16.7727022334117,0,0.832272977665883,94.5148520902679,94.3491681135178,above 90-100,k2016_bmi_vc0817,sens_75_18
4062,0.511428036570033,3.02290614666267,18.2079410117636,0,0.817920589882364,53.1318159563593,54.0652091599008,below 60,k2016_bmi_vc0817,sens_75_18
1929,1.24002787425166,7.35119079820915,14.5416737405456,0,0.854583262594544,111.739519848562,108.3269226131,above 100,k2016_bmi_vc0817,sens_75_18
