band,n,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_median,coverage_p05,coverage_min,coverage_lt80_pct,wt_mean,population,variant,distribution
all,20000,0.652050053461906,3.6326565403682,15.2235638120948,0.993479499465381,0.963673434596318,0.847764361879052,0,75.0339986012509,60-90 kg (study inclusion range),base,study_60_90
all,20000,0.640350151289987,3.53955961566025,15.6840265147787,0.9935964984871,0.964604403843398,0.843159734852213,0,74.9453986558622,60-90 kg (study inclusion range),struct2020,study_60_90
all,20000,0.69079624615434,4.06421062192406,18.6243247152143,0.993092037538457,0.959357893780759,0.813756752847857,0,78.3447300823461,adult atopic dermatitis,base,primary
below 60,3230,0.52625711037847,2.71883349624441,16.7864579053798,0.994737428896215,0.972811665037556,0.832135420946202,0,53.5437070251052,adult atopic dermatitis,base,primary
60-90,11924,0.659646155878657,3.58351081751979,15.1192434846971,0.993403538441213,0.964164891824802,0.848807565153029,0,74.4797026969034,adult atopic dermatitis,base,primary
above 90-100,2265,0.872352296501877,4.8117584231154,18.6243247152143,0.991276477034981,0.951882415768846,0.813756752847857,0,94.5657781958772,adult atopic dermatitis,base,primary
above 100,2581,1.11369932491817,6.113305800963,13.901112863392,0.988863006750818,0.93886694199037,0.86098887136608,0,113.003086162067,adult atopic dermatitis,base,primary
above 90,4846,0.972091918438134,5.5448925279114,18.6243247152143,0.990279080815619,0.944551074720886,0.813756752847857,0,104.385566033421,adult atopic dermatitis,base,primary
all,20000,0.668016655454906,3.82840884816692,19.4021406231834,0.993319833445451,0.961715911518331,0.805978593768166,0,75.2081027368876,adult atopic dermatitis,base,sens_75_18
below 60,4062,0.530380572393974,2.86014096153578,13.9286020218406,0.99469619427606,0.971398590384642,0.860713979781594,0,53.1318159563593,adult atopic dermatitis,base,sens_75_18
60-90,12071,0.658279133021222,3.52451634405396,15.3567988592702,0.993417208669788,0.96475483655946,0.846432011407298,0,73.6993870585872,adult atopic dermatitis,base,sens_75_18
above 90-100,1938,0.846005920576237,4.63954798139453,15.5356185347976,0.991539940794238,0.953604520186055,0.844643814652024,0,94.5148520902679,adult atopic dermatitis,base,sens_75_18
above 100,1929,1.03286739202657,5.72878678701238,19.4021406231834,0.989671326079734,0.942712132129876,0.805978593768166,0,111.739519848562,adult atopic dermatitis,base,sens_75_18
above 90,3867,0.946537314238793,5.31787193371933,19.4021406231834,0.990534626857612,0.946821280662807,0.805978593768166,0,103.107141747819,adult atopic dermatitis,base,sens_75_18
all,20000,0.713519627840364,4.06814151922264,14.4687302231175,0.992864803721596,0.959318584807774,0.855312697768825,0,80.2160324832491,adult atopic dermatitis,base,sens_nct03389893
below 60,2584,0.524026557387158,2.74493107947593,10.2685478965481,0.994759734426128,0.972550689205241,0.897314521034519,0,53.9587282769523,adult atopic dermatitis,base,sens_nct03389893
60-90,12039,0.667401849330418,3.56002889305035,12.6104386195606,0.993325981506696,0.964399711069496,0.873895613804394,0,74.9191123326281,adult atopic dermatitis,base,sens_nct03389893
above 90-100,2493,0.923687472729162,4.86515269344369,13.9236395608369,0.990763125272708,0.951348473065563,0.860763604391631,0,94.5732237000099,adult atopic dermatitis,base,sens_nct03389893
above 100,2884,1.08109633807152,6.22598690265412,14.4687302231175,0.989189036619285,0.937740130973459,0.855312697768825,0,113.442807122297,adult atopic dermatitis,base,sens_nct03389893
above 90,5377,0.996583421947872,5.52589744840331,14.4687302231175,0.990034165780521,0.944741025515967,0.855312697768825,0,104.694086372481,adult atopic dermatitis,base,sens_nct03389893
all,20000,0.707531112802978,4.29565592137289,21.0140336247675,0.99292468887197,0.957043440786271,0.789859663752325,0.005,78.3447300823461,adult atopic dermatitis,k2016_bmi_vc0817,primary
below 60,3230,0.503160519586249,2.9310877434388,21.0140336247675,0.994968394804138,0.970689122565612,0.789859663752325,0.0309597523219814,53.5437070251052,adult atopic dermatitis,k2016_bmi_vc0817,primary
60-90,11924,0.670360845904533,3.64545000862304,14.6565953219704,0.993296391540955,0.96354549991377,0.853434046780297,0,74.4797026969034,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90-100,2265,0.938644710750658,5.48529379043054,16.8681718154492,0.990613552892493,0.945147062095695,0.831318281845508,0,94.5657781958772,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 100,2581,1.20138212105388,7.13860564258055,19.7976730964856,0.987986178789461,0.928613943574194,0.802023269035144,0,113.003086162067,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90,4846,1.07295177896205,6.57365193361761,19.7976730964856,0.989270482210379,0.934263480663824,0.802023269035144,0,104.385566033421,adult atopic dermatitis,k2016_bmi_vc0817,primary
all,20000,0.66093923153342,4.06270318092358,18.2079410117636,0.993390607684666,0.959372968190764,0.817920589882364,0,75.2081027368876,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
below 60,4062,0.511428036570033,3.02290614666267,18.2079410117636,0.9948857196343,0.969770938533373,0.817920589882364,0,53.1318159563593,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
60-90,12071,0.643946725802458,3.49064093799962,14.5960695391074,0.993560532741975,0.965093590620004,0.854039304608926,0,73.6993870585872,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90-100,1938,0.828474358596493,4.81463792749359,16.7727022334117,0.991715256414035,0.951853620725064,0.832272977665883,0,94.5148520902679,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 100,1929,1.24002787425166,7.35119079820915,14.5416737405456,0.987599721257483,0.926488092017908,0.854583262594544,0,111.739519848562,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90,3867,1.0098981396776,6.14435759064887,16.7727022334117,0.989901018603224,0.938556424093511,0.832272977665883,0,103.107141747819,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
