variant,scenario,set,n_trials,fail_R_mean,fail_T_mean,diff_mean,diff_lo,diff_hi,diff_p025,diff_p975
base,S00,i,2000,14.6012820512821,14.5675213675214,-0.033760683760684,-0.238139581313049,0.170618213791681,-9.4017094017094,9.4017094017094
base,F090,i,2000,14.6012820512821,17.4470085470086,2.8457264957265,2.63380059811402,3.05765239333897,-6.83760683760684,11.965811965812
base,KE120,i,2000,14.6012820512821,14.7273504273504,0.126068376068376,-0.0765160383764171,0.328652790513169,-8.54700854700855,9.4017094017094
base,VM125,i,2000,14.6012820512821,21.591452991453,6.99017094017094,6.76708627734924,7.21325560299264,-2.56410256410257,17.0940170940171
base,KM10,i,2000,14.6012820512821,14.4970085470085,-0.104273504273505,-0.310781600193775,0.102234591646766,-9.4017094017094,9.4017094017094
struct2020,S00,i,2000,8.97863247863248,9.03205128205128,0.0534188034188035,-0.111967044937076,0.218804651774683,-7.69230769230769,7.69230769230769
struct2020,F090,i,2000,8.97863247863248,10.8076923076923,1.82905982905983,1.65683038689356,2.0012892712261,-5.98290598290598,9.4017094017094
struct2020,KE120,i,2000,8.97863247863248,8.84059829059829,-0.138034188034188,-0.302777160654399,0.0267087845860228,-7.69230769230769,6.83760683760684
struct2020,VM125,i,2000,8.97863247863248,13.5688034188034,4.59017094017094,4.41085777468906,4.76948410565282,-3.41880341880342,12.8205128205128
struct2020,KM10,i,2000,8.97863247863248,10.8568376068376,1.87820512820513,1.71008775368947,2.04632250272079,-5.98290598290598,9.4017094017094
k2016_bmi_vc0817,S00,i,2000,15.0683760683761,15.0512820512821,-0.0170940170940172,-0.224373905606371,0.190185871418337,-9.4017094017094,9.4017094017094
k2016_bmi_vc0817,F090,i,2000,15.0683760683761,17.8773504273504,2.80897435897436,2.59297557015015,3.02497314779857,-6.83760683760684,12.8205128205128
k2016_bmi_vc0817,KE120,i,2000,15.0683760683761,15.2461538461538,0.177777777777778,-0.0326750640203073,0.388230619575863,-8.56837606837607,10.2564102564103
k2016_bmi_vc0817,VM125,i,2000,15.0683760683761,22.0303418803419,6.96196581196581,6.74163340556947,7.18229821836216,-2.56410256410257,16.2606837606837
k2016_bmi_vc0817,KM10,i,2000,15.0683760683761,14.6935897435897,-0.374786324786325,-0.582254472712512,-0.167318176860138,-9.4017094017094,8.54700854700855
base,S00,ii,2000,20.7435897435897,20.7286324786325,-0.014957264957265,-0.251257691206436,0.221343161291906,-11.1111111111111,10.2564102564103
base,F090,ii,2000,20.7435897435897,24.0047008547009,3.26111111111111,3.02315812067969,3.49906410154253,-7.69230769230769,13.6752136752137
base,KE120,ii,2000,20.7435897435897,20.517094017094,-0.226495726495727,-0.458153907929799,0.00516245493834591,-10.2564102564103,10.2564102564103
base,VM125,ii,2000,20.7435897435897,28.6816239316239,7.93803418803419,7.69325458679486,8.18281378927352,-3.41880341880342,18.8034188034188
base,KM10,ii,2000,20.7435897435897,18.142735042735,-2.6008547008547,-2.82883667065472,-2.37287273105468,-12.8205128205128,7.69230769230769
struct2020,S00,ii,2000,17.1957264957265,17.3188034188034,0.123076923076923,-0.0968503040084038,0.34300415016225,-9.4017094017094,9.4017094017094
struct2020,F090,ii,2000,17.1957264957265,19.8115384615385,2.61581196581197,2.39331268467021,2.83831124695373,-6.83760683760684,12.8205128205128
struct2020,KE120,ii,2000,17.1957264957265,16.3683760683761,-0.827350427350428,-1.04246856018529,-0.612232294515562,-10.2564102564103,8.54700854700855
struct2020,VM125,ii,2000,17.1957264957265,23.5068376068376,6.31111111111111,6.08573838456229,6.53648383765993,-4.27350427350427,16.2606837606837
struct2020,KM10,ii,2000,17.1957264957265,15.8739316239316,-1.32179487179487,-1.53204115922529,-1.11154858436446,-10.2564102564103,7.6923076923077
k2016_bmi_vc0817,S00,ii,2000,21.5448717948718,21.6162393162393,0.0713675213675213,-0.16548873139175,0.308223774126793,-10.2564102564103,10.2564102564103
k2016_bmi_vc0817,F090,ii,2000,21.5448717948718,24.7081196581197,3.16324786324786,2.92436999263802,3.4021257338577,-7.69230769230769,13.6752136752137
k2016_bmi_vc0817,KE120,ii,2000,21.5448717948718,21.3700854700855,-0.174786324786325,-0.41109116519353,0.06151851562088,-11.1111111111111,10.2777777777777
k2016_bmi_vc0817,VM125,ii,2000,21.5448717948718,29.2423076923077,7.6974358974359,7.45406514212686,7.94080665274493,-3.41880341880342,17.948717948718
k2016_bmi_vc0817,KM10,ii,2000,21.5448717948718,18.7820512820513,-2.76282051282051,-2.99100650080756,-2.53463452483347,-12.8205128205128,6.83760683760684
base,S00,iii,2000,39.2918803418803,39.4008547008547,0.108974358974359,-0.166938904444448,0.384887622393166,-11.965811965812,11.965811965812
base,F090,iii,2000,39.2918803418803,41.6440170940171,2.35213675213675,2.07098602773492,2.63328747653859,-10.2564102564103,14.5299145299145
base,KE120,iii,2000,39.2918803418803,38.5354700854701,-0.756410256410257,-1.0324469579757,-0.480373554844814,-13.6752136752137,11.1111111111111
base,VM125,iii,2000,39.2918803418803,44.9995726495727,5.70769230769231,5.42264184134505,5.99274277403956,-6.83760683760684,17.948717948718
