variant,scenario,kind,true_ratio,analysis_model,endpoint,n,gmr,mean_log,sd_log,bias_pct,bias_lo,bias_hi,not_estimable_pct
base,F090,AUC,0.841705095113798,M0,AUCinf_A,2000,0.858596362187196,-0.15245636011284,0.0566554770502387,2.00679159143193,1.75381927972444,2.26039282292785,0
base,F090,AUC,0.841705095113798,M1,AUCinf_A,2000,0.856079820576199,-0.15539165885107,0.054996666308744,1.70781019930233,1.46295549637578,1.95325579597183,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Ai,2000,0.85531205036728,-0.15628890544136,0.0547027016813176,1.61659414116317,1.37326507567785,1.86050727616691,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Ai,2000,0.853636765662606,-0.15824950862105,0.0535189344294254,1.41755950131148,1.17995620993285,1.65572076213572,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Aiii,2000,0.856705043772779,-0.154661592586048,0.0679532008838013,1.78209075198166,1.47941626379173,2.08566800300933,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Aiii,2000,0.855413065502459,-0.15617080916235,0.0643674239114719,1.62859539145448,1.34230241685944,1.91569714644375,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Aiv,2000,0.862100619087972,-0.14838328765032,0.0950127892113033,2.4231199374428,1.99750464026436,2.85051124259152,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Aiv,2000,0.859619158923821,-0.151265826277165,0.0867332376532264,2.12830644771151,1.74082796333799,2.51726063833651,0
base,F090,AUC,0.841705095113798,M0,AUCinf_B,2000,0.850736053210773,-0.16165335925795,0.0516481486121785,1.07293613278583,0.844408207723668,1.30198193497635,0
base,F090,AUC,0.841705095113798,M1,AUCinf_B,2000,0.849763946342783,-0.16279667825135,0.0513114863806634,0.957443560193227,0.730663023301892,1.1847346607041,0
base,F090,AUC,0.841705095113798,M0,AUCinf_C,2000,0.839656766444373,-0.1747620820249,0.0549055911603801,-0.243354671525153,-0.483114851168631,-0.00301685177912514,0
base,F090,AUC,0.841705095113798,M1,AUCinf_C,2000,0.839654056775727,-0.17476530914475,0.0547613789375785,-0.243676597656017,-0.482807019143716,-0.00397156833655821,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Ci,2000,0.840655733820203,-0.17357305618195,0.0546634381233376,-0.124670897168933,-0.363658909995568,0.114890352989083,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Ci,2000,0.840652547688091,-0.1735768462449,0.0545110561933696,-0.125049430236046,-0.363371123002543,0.113842306196954,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Ciii,2000,0.839989066980571,-0.1743664027288,0.0549152085328744,-0.203875222235017,-0.443772251741004,0.0365998784380706,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Ciii,2000,0.839986389734724,-0.1743695899728,0.0547607165564773,-0.204193296328048,-0.443415474893027,0.0356037035909473,0
base,F090,AUC,0.841705095113798,M0,AUCinf_Civ,2000,0.838566393608563,-0.176061519447995,0.0552378687382857,-0.37289800471163,-0.613794176066518,-0.131417939798351,0
base,F090,AUC,0.841705095113798,M1,AUCinf_Civ,2000,0.838563565142971,-0.1760648924312,0.055092526683648,-0.373234044686688,-0.613496323788809,-0.132390942629512,0
base,F090,AUC,0.841705095113798,M0,AUCinf_true,2000,0.842238347727484,-0.17169223148695,0.0519563518986228,0.063353853598036,-0.164239936867594,0.291466485543168,0
base,F090,AUC,0.841705095113798,M1,AUCinf_true,2000,0.84223633586567,-0.1716946201982,0.0518133736052916,0.063114831424449,-0.163852814097909,0.290598465529768,0
base,F090,AUC,0.841705095113798,M0,AUClast,2000,0.838865514413777,-0.1757048780762,0.0550407410494167,-0.337360521696395,-0.577483664607359,-0.0966574384873353,0
base,F090,AUC,0.841705095113798,M1,AUClast,2000,0.838862657223658,-0.1757082840989,0.0548959219757942,-0.337699974330707,-0.577191267225341,-0.097631790880448,0
base,F090,Cmax,0.883732171221796,M0,Cmax,2000,0.882646303335745,-0.12483072109843,0.0463075390981472,-0.122872960995657,-0.325369771657202,0.0800352377817504,0
base,F090,Cmax,0.883732171221796,M1,Cmax,2000,0.882649359127702,-0.1248272590246,0.0462061031150356,-0.12252717840936,-0.324581571287852,0.0799368036971115,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_A,2000,0.907939018711109,-0.09657806264597,0.0556462838126584,0.40907251795741,0.164492640463232,0.654249606248536,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_A,2000,0.906625374017353,-0.0980259527605475,0.0542723457982175,0.263796411743367,0.0255933114109874,0.502566774064683,0
