variant,scenario,analysis_model,config,n_trials,agree_pct,p2_only_pct,g2_only_pct
base,F090,M0,A_i,2000,86.85,2.15,11
base,F090,M1,A_i,2000,85.8,2.65,11.55
base,KE120,M0,A_i,2000,83.4,7.2,9.4
base,KE120,M1,A_i,2000,87.75,5.25,7
base,KM10,M0,A_i,2000,96.05,2.45,1.5
base,KM10,M1,A_i,2000,97.55,1.75,0.7
base,S00,M0,A_i,2000,96.65,2.2,1.15
base,S00,M1,A_i,2000,98.65,0.65,0.7
base,VM125,M0,A_i,2000,66.85,1.05,32.1
base,VM125,M1,A_i,2000,69.15,1.2,29.65
k2016_bmi_vc0817,F090,M0,A_i,2000,88,2.75,9.25
k2016_bmi_vc0817,F090,M1,A_i,2000,86.65,2.7,10.65
k2016_bmi_vc0817,KE120,M0,A_i,2000,78.9,9.4,11.7
k2016_bmi_vc0817,KE120,M1,A_i,2000,85.9,5.95,8.15
k2016_bmi_vc0817,KM10,M0,A_i,2000,90.45,6.25,3.3
k2016_bmi_vc0817,KM10,M1,A_i,2000,96.4,2.15,1.45
k2016_bmi_vc0817,S00,M0,A_i,2000,93.6,3.65,2.75
k2016_bmi_vc0817,S00,M1,A_i,2000,97.5,1.25,1.25
k2016_bmi_vc0817,VM125,M0,A_i,2000,68.05,1.35,30.6
k2016_bmi_vc0817,VM125,M1,A_i,2000,70,1.2,28.8
struct2020,F090,M0,A_i,2000,88.75,2.2,9.05
struct2020,F090,M1,A_i,2000,87.95,2.65,9.4
struct2020,KE120,M0,A_i,2000,85.65,5.7,8.65
struct2020,KE120,M1,A_i,2000,87.2,4.8,8
struct2020,KM10,M0,A_i,2000,95.5,2.45,2.05
struct2020,KM10,M1,A_i,2000,97.8,0.85,1.35
struct2020,S00,M0,A_i,2000,96.35,1.45,2.2
struct2020,S00,M1,A_i,2000,97.85,0.75,1.4
struct2020,VM125,M0,A_i,2000,71.2,0.75,28.05
struct2020,VM125,M1,A_i,2000,71.5,1.05,27.45
