variant,scenario,analysis_model,decision,n_trials,pass_pct,lo,hi
base,F090,M0,Cmax,2000,63.6,61.4671009502514,65.6807553636985
base,F090,M1,Cmax,2000,70,67.954853304248,71.9684648045019
base,KE120,M0,Cmax,2000,98.55,97.9253224436694,98.988532265321
base,KE120,M1,Cmax,2000,99.1,98.5817959298387,99.4299500271423
base,KM10,M0,Cmax,2000,99.4,98.9541551663058,99.6564405623064
base,KM10,M1,Cmax,2000,99.7,99.3470084926065,99.862437007637
base,S00,M0,Cmax,2000,99.35,98.8910470827478,99.6197403505926
base,S00,M1,Cmax,2000,99.65,99.2792803746758,99.8303568302958
base,VM125,M0,Cmax,2000,97.65,96.8891278302657,98.2281775638309
base,VM125,M1,Cmax,2000,98.2,97.5181957865154,98.6970008555718
k2016_bmi_vc0817,F090,M0,Cmax,2000,58,55.8236077729506,60.1457194705494
k2016_bmi_vc0817,F090,M1,Cmax,2000,67.15,65.0604621457514,69.1737831325017
k2016_bmi_vc0817,KE120,M0,Cmax,2000,97.9,97.1736989530377,98.4426479174182
k2016_bmi_vc0817,KE120,M1,Cmax,2000,98.7,98.1019691482797,99.1113104465263
k2016_bmi_vc0817,KM10,M0,Cmax,2000,99.2,98.7043922328463,99.5069703146784
k2016_bmi_vc0817,KM10,M1,Cmax,2000,99.4,98.9541551663058,99.6564405623064
k2016_bmi_vc0817,S00,M0,Cmax,2000,99.2,98.7043922328463,99.5069703146784
k2016_bmi_vc0817,S00,M1,Cmax,2000,99.4,98.9541551663058,99.6564405623064
k2016_bmi_vc0817,VM125,M0,Cmax,2000,96.65,95.767667135723,97.3534723529362
k2016_bmi_vc0817,VM125,M1,Cmax,2000,97.65,96.8891278302657,98.2281775638309
struct2020,F090,M0,Cmax,2000,64.15,62.0229885375295,66.2227590244111
struct2020,F090,M1,Cmax,2000,70.3,68.2600500452473,72.2621178351339
struct2020,KE120,M0,Cmax,2000,98.7,98.1019691482797,99.1113104465263
struct2020,KE120,M1,Cmax,2000,99.1,98.5817959298387,99.4299500271423
struct2020,KM10,M0,Cmax,2000,99.65,99.2792803746758,99.8303568302958
struct2020,KM10,M1,Cmax,2000,99.65,99.2792803746758,99.8303568302958
struct2020,S00,M0,Cmax,2000,99.65,99.2792803746758,99.8303568302958
struct2020,S00,M1,Cmax,2000,99.7,99.3470084926065,99.862437007637
struct2020,VM125,M0,Cmax,2000,97.85,97.1166166260916,98.3999219490926
struct2020,VM125,M1,Cmax,2000,98.35,97.6919038886282,98.8227176392747
base,F090,M0,AUClast,2000,15.65,14.1236862356934,17.3080149125287
base,F090,M1,AUClast,2000,21.4,19.6582874693501,23.2513676351375
base,KE120,M0,AUClast,2000,65.55,63.4393343169302,67.6010455126228
base,KE120,M1,AUClast,2000,72.9,70.9095060073923,74.8026932271264
base,KM10,M0,AUClast,2000,97.2,96.3815517314341,97.8374790052156
base,KM10,M1,AUClast,2000,98.5,97.8667562174291,98.9472901962893
base,S00,M0,AUClast,2000,97.45,96.66286379544,98.0552084175691
base,S00,M1,AUClast,2000,98.55,97.9253224436694,98.988532265321
base,VM125,M0,AUClast,2000,25.2,23.346012399824,27.1490731453261
base,VM125,M1,AUClast,2000,33.55,31.513963204271,35.6491076512823
k2016_bmi_vc0817,F090,M0,AUClast,2000,12.35,10.9798280362611,13.8645256240172
k2016_bmi_vc0817,F090,M1,AUClast,2000,20.2,18.4983025074325,22.0159535105302
k2016_bmi_vc0817,KE120,M0,AUClast,2000,56,53.8150817865979,58.1619136460271
k2016_bmi_vc0817,KE120,M1,AUClast,2000,68.75,66.6842897895218,70.7438209374312
k2016_bmi_vc0817,KM10,M0,AUClast,2000,93.85,92.710691976847,94.8211829765871
k2016_bmi_vc0817,KM10,M1,AUClast,2000,97.2,96.3815517314341,97.8374790052156
k2016_bmi_vc0817,S00,M0,AUClast,2000,94.4,93.3045995953012,95.3251666061236
k2016_bmi_vc0817,S00,M1,AUClast,2000,97.5,96.7193228586802,98.0985576496007
k2016_bmi_vc0817,VM125,M0,AUClast,2000,20.05,18.3534718536193,21.8613592785278
k2016_bmi_vc0817,VM125,M1,AUClast,2000,30.4,28.4232312724386,32.4519169809865
struct2020,F090,M0,AUClast,2000,16.1,14.5544750265871,17.7755007790818
struct2020,F090,M1,AUClast,2000,21.45,19.7066705967644,23.3027928029952
struct2020,KE120,M0,AUClast,2000,59.25,57.0807782252183,61.3837564000785
struct2020,KE120,M1,AUClast,2000,66.5,64.4015589514736,68.535178488245
struct2020,KM10,M0,AUClast,2000,96.25,95.3247987828071,96.997874343677
struct2020,KM10,M1,AUClast,2000,97.5,96.7193228586802,98.0985576496007
struct2020,S00,M0,AUClast,2000,96.2,95.2696248240864,96.9532400071258
struct2020,S00,M1,AUClast,2000,97.5,96.7193228586802,98.0985576496007
struct2020,VM125,M0,AUClast,2000,25.3,23.4433319106589,27.251370225035
struct2020,VM125,M1,AUClast,2000,31.7,29.6974733219105,33.7726906085833
base,F090,M0,AUCinf_Ai,2000,26.95,25.0509847173131,28.9373911623526
base,F090,M1,AUCinf_Ai,2000,32.45,30.4334503404816,34.5338380190904
base,KE120,M0,AUCinf_Ai,2000,67.9,65.821288949489,69.9100807578422
base,KE120,M1,AUCinf_Ai,2000,74.75,72.7997766509495,76.6053295086285
base,KM10,M0,AUCinf_Ai,2000,96.3,95.3800119047189,97.0424695170371
base,KM10,M1,AUCinf_Ai,2000,97.5,96.7193228586802,98.0985576496007
base,S00,M0,AUCinf_Ai,2000,96.5,95.6012715184728,97.2204430843706
base,S00,M1,AUCinf_Ai,2000,98.6,97.9840413188842,99.029621685378
base,VM125,M0,AUCinf_Ai,2000,56.45,54.2666866035189,58.608583486553
base,VM125,M1,AUCinf_Ai,2000,62.15,60.0029938142906,64.250421936775
k2016_bmi_vc0817,F090,M0,AUCinf_Ai,2000,21.6,19.8518436011675,23.4570446844076
k2016_bmi_vc0817,F090,M1,AUCinf_Ai,2000,30.15,28.1784000599377,32.197706717128
k2016_bmi_vc0817,KE120,M0,AUCinf_Ai,2000,58.5,56.3263045648542,60.6411056313645
k2016_bmi_vc0817,KE120,M1,AUCinf_Ai,2000,71.1,69.0744140951787,73.0446865095525
k2016_bmi_vc0817,KM10,M0,AUCinf_Ai,2000,91,89.6659172836028,92.1768848393345
k2016_bmi_vc0817,KM10,M1,AUCinf_Ai,2000,96.55,95.6566923128875,97.2648305852278
k2016_bmi_vc0817,S00,M0,AUCinf_Ai,2000,93.7,92.549140020534,94.6833100470845
k2016_bmi_vc0817,S00,M1,AUCinf_Ai,2000,97.65,96.8891278302657,98.2281775638309
