variant,scenario,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,n_subjects
base,S00,1,0,1,0,20000
base,F090,0.841705095113798,0.000148857215399556,0.883732171221796,8.71890926219952e-05,20000
base,KE120,0.904240021287649,0.000129857334671285,0.968333247647516,7.72854280815931e-05,20000
base,VM125,0.863056301407328,0.00033829609620685,0.95947133411164,0.000201477198896819,20000
base,KM10,1.00654716613501,2.99518033207418e-05,1.00141110331659,1.33638919105987e-05,20000
struct2020,S00,1,0,1,0,20000
struct2020,F090,0.842563617419894,0.000146728464849425,0.88458914973121,8.43468239016248e-05,20000
struct2020,KE120,0.901430694703483,0.000121072631741285,0.969234324435074,7.29662641821783e-05,20000
struct2020,VM125,0.864591263374604,0.000331692343925561,0.961634128342415,0.000193344358293997,20000
struct2020,KM10,1.00651494823141,3.01207883750231e-05,1.0017140940775,1.31661076867574e-05,20000
k2016_bmi_vc0817,S00,1,0,1,0,20000
k2016_bmi_vc0817,F090,0.841851262476516,0.000143503684309383,0.883852614327079,8.51833603995187e-05,20000
k2016_bmi_vc0817,KE120,0.904264427737875,0.000125407281400613,0.968445237484669,7.71944922668548e-05,20000
k2016_bmi_vc0817,VM125,0.863393853540554,0.000326601664824618,0.959770900379429,0.00019706142957402,20000
k2016_bmi_vc0817,KM10,1.00656759365273,3.19036133549644e-05,1.00141267668318,1.39390772446285e-05,20000
