distribution,source,n,below_60,in_60_90,above_90,above_100,outside_60_90,wt_mean,wt_sd,sim_vs_analytic_max_abs_z
primary,"analytic, untruncated",,16.5341369754614,59.7687317566393,23.6971312678993,12.4061574559152,40.2312682433607,78,19,
primary,"analytic, truncated 40 to 180 kg",,16.2108296256878,60.011550364869,23.7776200094432,12.4407750794681,39.988449635131,78.1413401428328,18.8118933824612,
primary,"simulated (20,000 subjects)",20000,16.15,59.62,24.23,12.905,40.38,78.3447300823461,18.8608140656774,1.98915568313794
sens_nct03389893,"analytic, untruncated",,13.3289233412345,59.906046821022,26.7650298377435,14.2374017378411,40.093953178978,80,19,
sens_nct03389893,"analytic, truncated 40 to 180 kg",,13.1364095939583,60.0510612864914,26.8125291195503,14.2545754116516,39.9489387135086,80.0765437332539,18.8580533128657,
sens_nct03389893,"simulated (20,000 subjects)",20000,12.92,60.195,26.885,14.42,39.805,80.2160324832491,18.92044511633,0.906012686861477
sens_75_18,"analytic, untruncated",,20.4796163004553,60.8137271836714,18.7066565158733,9.11054062254959,39.1862728163286,75,18,
sens_75_18,"analytic, truncated 40 to 180 kg",,20.0351846753189,61.1587873354868,18.8060279891943,9.15546325084272,38.8412126645132,75.204233055186,17.799724225467,
sens_75_18,"simulated (20,000 subjects)",20000,20.31,60.355,19.335,9.645,39.645,75.2081027368876,17.9794367075946,2.40054984544007
primary,"reference (directive, independent calculation, untruncated)",,16.5,59.8,23.7,12.4,40.2,,,
