metric,ref,sim,ref_txt,sim_txt,sim_in_window_txt
LLOQ 도달일 중앙값,38.4,38.4647596937202,,,
5백분위,27,27.1952125885761,,,
95백분위,55,54.2389099403096,,,
Day 58 이후 %,2.5,2.47,,,
절벽 시작 농도 중앙값,0.87,0.879043200268077,,,
구간 길이 1일 정의,1.38,1.3815220572994,,,
구간 길이 2일 정의,2.94,2.94085101477083,,,
"current, 1일 정의: 1점/2점/3점 이상 %",,,19.6 / 0 / 0,20.0 / 0.0 / 0.0,17.4 / 0.0 / 0.0
"plus_39_46, 1일 정의: 1점/2점/3점 이상 %",,,29.2 / 0 / 0,30.0 / 0.0 / 0.0,29.3 / 0.0 / 0.0
"plus_39_46_53, 1일 정의: 1점/2점/3점 이상 %",,,30.6 / 0 / 0,31.4 / 0.0 / 0.0,31.0 / 0.0 / 0.0
"plus_32_39_46_53, 1일 정의: 1점/2점/3점 이상 %",,,36.8 / 0 / 0,37.1 / 0.0 / 0.0,37.9 / 0.0 / 0.0
"plus_40_47, 1일 정의: 1점/2점/3점 이상 %",,,28.9 / 0 / 0,29.4 / 0.0 / 0.0,28.6 / 0.0 / 0.0
"daily_29_57, 1일 정의: 1점/2점/3점 이상 %",,,97.3 / 36.6 / 0,89.2 / 32.6 / 0.0,100.0 / 37.2 / 0.0
"current, 2일 정의: 1점/2점/3점 이상 %",,,42.8 / 0 / 0,42.5 / 0.0 / 0.0,37.4 / 0.0 / 0.0
"plus_39_46, 2일 정의: 1점/2점/3점 이상 %",,,62.5 / 0 / 0,62.7 / 0.0 / 0.0,63.5 / 0.0 / 0.0
"plus_39_46_53, 2일 정의: 1점/2점/3점 이상 %",,,65.2 / 0 / 0,65.3 / 0.0 / 0.0,66.7 / 0.0 / 0.0
"plus_32_39_46_53, 2일 정의: 1점/2점/3점 이상 %",,,78.6 / 0.1 / 0,78.1 / 0.1 / 0.0,83.2 / 0.0 / 0.0
"plus_40_47, 2일 정의: 1점/2점/3점 이상 %",,,60.7 / 0 / 0,61.2 / 0.0 / 0.0,61.5 / 0.0 / 0.0
"daily_29_57, 2일 정의: 1점/2점/3점 이상 %",,,97.9 / 97.1 / 90.7,91.1 / 86.0 / 76.7,100.0 / 100.0 / 93.0
