pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_A,10000,-0.20393738391017,0.0516828094133528,1.95380271604693,0.0516828094133528,toward_1,A_ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_A,10000,-0.204710695598639,0.0513659932729156,1.87499112561225,0.0513659932729156,toward_1,A_ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Ai,10000,-0.207476993357999,0.0503014538299542,1.59356400100488,0.0503014538299542,toward_1,A_i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Ai,10000,-0.2079965543884,0.0500269129400931,1.54079365410544,0.0500269129400931,toward_1,A_i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_B,10000,-0.2125562786526,0.0470472175116293,1.07884960258451,0.0470472175116293,toward_1,B
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_B,10000,-0.2128039871871,0.0470112308980085,1.05381460969913,0.0470112308980085,toward_1,B
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_C,10000,-0.2270430545104,0.0493981524050815,-0.374901527779137,0.0493981524050815,away_from_1,C_ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_C,10000,-0.227037117464901,0.0493855135754834,-0.374310047280779,0.0493855135754834,away_from_1,C_ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_Ci,10000,-0.2252395919833,0.0489814476144639,-0.195069284311356,0.0489814476144639,away_from_1,C_i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_Ci,10000,-0.2252336486848,0.048967006190984,-0.194476112053621,0.048967006190984,away_from_1,C_i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_A,10000,0.205941979558299,0.0496579207229408,-1.71382603989516,0.0496579207229408,toward_1,A_ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_A,10000,0.2066191125405,0.0493793831955471,-1.64725069217436,0.0493793831955471,toward_1,A_ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Ai,10000,0.211364619887801,0.0487437426625698,-1.17940779974373,0.0487437426625698,toward_1,A_i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Ai,10000,0.2118244356336,0.0485741328952464,-1.1339580869949,0.0485741328952464,toward_1,A_i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_B,10000,0.217139372771,0.0462977619406019,-0.607092400467557,0.0462977619406019,toward_1,B
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_B,10000,0.2173103630534,0.046284420590648,-0.590095726036799,0.046284420590648,toward_1,B
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_C,10000,0.226079089021601,0.0478104825440205,0.285435519852739,0.0478104825440205,away_from_1,C_ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_C,10000,0.226085004038901,0.0477975807707716,0.28602871169312,0.0477975807707716,away_from_1,C_ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_Ci,10000,0.224794835907901,0.0475689387770635,0.156726302324373,0.0475689387770635,away_from_1,C_i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_Ci,10000,0.224800295227201,0.047555216362661,0.157273091365862,0.047555216362661,away_from_1,C_i
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_A,10000,-0.225549659753901,0.0476050399693146,-0.205120463745268,0.0476050399693146,away_from_1,A_ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_A,10000,-0.225980254059,0.0473308005797566,-0.248082320322396,0.0473308005797566,away_from_1,A_ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Ai,10000,-0.2284395671821,0.0468439261799805,-0.493102106843779,0.0468439261799805,away_from_1,A_i
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Ai,10000,-0.2287969208101,0.0466371214167704,-0.528654904977888,0.0466371214167704,away_from_1,A_i
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_B,10000,-0.229375809230002,0.0447334837482002,-0.586221050970204,0.0447334837482002,away_from_1,B
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_B,10000,-0.229556126627401,0.044696195364682,-0.604145468765116,0.044696195364682,away_from_1,B
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_C,10000,-0.2300251687564,0.0466803999656603,-0.650755380127654,0.0466803999656603,away_from_1,C_ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_C,10000,-0.230019542242801,0.0466665923024258,-0.650196388679114,0.0466665923024258,away_from_1,C_ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,AUCinf_Ci,10000,-0.2319863393501,0.0463259974844395,-0.845405263979948,0.0463259974844395,away_from_1,C_i
