pk_model,scenario,config,n_trials,pass_pct,n_trials_v10,pass_pct_v10,same_n,identical
k2016,F_down_080,G2_A_i,10000,7.04,10000,7.04,TRUE,TRUE
k2016,F_down_080,G2_A_ii,10000,7.35,10000,7.35,TRUE,TRUE
k2016,F_down_080,G2_B,10000,6.45,10000,6.45,TRUE,TRUE
k2016,F_down_080,G2_C_i,10000,4.13,10000,4.13,TRUE,TRUE
k2016,F_down_080,G2_C_ii,10000,3.82,10000,3.82,TRUE,TRUE
k2016,F_up_125,G2_A_i,10000,6.37,10000,6.37,TRUE,TRUE
k2016,F_up_125,G2_A_ii,10000,7.4,10000,7.4,TRUE,TRUE
k2016,F_up_125,G2_B,10000,5.32,10000,5.32,TRUE,TRUE
k2016,F_up_125,G2_C_i,10000,3.83,10000,3.83,TRUE,TRUE
k2016,F_up_125,G2_C_ii,10000,3.59,10000,3.59,TRUE,TRUE
k2016,V2_up_080,G2_A_i,10000,3.63,10000,3.63,TRUE,TRUE
k2016,V2_up_080,G2_A_ii,10000,4.03,10000,4.03,TRUE,TRUE
k2016,V2_up_080,G2_B,10000,3.47,10000,3.47,TRUE,TRUE
k2016,V2_up_080,G2_C_i,10000,3.1,10000,3.1,TRUE,TRUE
k2016,V2_up_080,G2_C_ii,10000,3.39,10000,3.39,TRUE,TRUE
k2016,Vmax_down_125,G2_A_i,10000,12.69,10000,12.69,TRUE,TRUE
k2016,Vmax_down_125,G2_A_ii,10000,24.58,10000,24.58,TRUE,TRUE
k2016,Vmax_down_125,G2_B,10000,6.37,10000,6.37,TRUE,TRUE
k2016,Vmax_down_125,G2_C_i,10000,3.46,10000,3.46,TRUE,TRUE
k2016,Vmax_down_125,G2_C_ii,10000,3.37,10000,3.37,TRUE,TRUE
k2016,Vmax_up_080,G2_A_i,10000,19.91,10000,19.91,TRUE,TRUE
k2016,Vmax_up_080,G2_A_ii,10000,22.46,10000,22.46,TRUE,TRUE
k2016,Vmax_up_080,G2_B,10000,15.06,10000,15.06,TRUE,TRUE
k2016,Vmax_up_080,G2_C_i,10000,3.05,10000,3.05,TRUE,TRUE
k2016,Vmax_up_080,G2_C_ii,10000,2.27,10000,2.27,TRUE,TRUE
k2016,ka_down_080,G2_A_i,10000,0,10000,0,TRUE,TRUE
k2016,ka_down_080,G2_A_ii,10000,0,10000,0,TRUE,TRUE
k2016,ka_down_080,G2_B,10000,0,10000,0,TRUE,TRUE
k2016,ka_down_080,G2_C_i,10000,0,10000,0,TRUE,TRUE
k2016,ka_down_080,G2_C_ii,10000,0,10000,0,TRUE,TRUE
k2016,ke_down_125,G2_A_i,10000,4.93,10000,4.93,TRUE,TRUE
k2016,ke_down_125,G2_A_ii,10000,6.95,10000,6.95,TRUE,TRUE
k2016,ke_down_125,G2_B,10000,4.09,10000,4.09,TRUE,TRUE
k2016,ke_down_125,G2_C_i,10000,3.52,10000,3.52,TRUE,TRUE
k2016,ke_down_125,G2_C_ii,10000,3.63,10000,3.63,TRUE,TRUE
k2016,ke_up_080,G2_A_i,10000,4.86,10000,4.86,TRUE,TRUE
k2016,ke_up_080,G2_A_ii,10000,5.71,10000,5.71,TRUE,TRUE
k2016,ke_up_080,G2_B,10000,4.93,10000,4.93,TRUE,TRUE
k2016,ke_up_080,G2_C_i,10000,3.91,10000,3.91,TRUE,TRUE
