pk_model,scenario,analysis_model,config,n_trials,pass_pct,lo,hi
k2016,F097,M0,G2_A_i,10000,96.62,96.2475208110593,96.9566751808588
k2016,F097,M1,G2_A_i,10000,97.2,96.8580890786951,97.5056614751131
k2016,S00,M0,G2_A_i,10000,99.51,99.3528391576189,99.6291373237167
k2016,S00,M1,G2_A_i,10000,99.62,99.478882314172,99.7230096875221
k2020,F097,M0,G2_A_i,10000,95.79,95.3785049726411,96.1663284565723
k2020,F097,M1,G2_A_i,10000,96.15,95.7548376065759,96.5097193438106
k2020,S00,M0,G2_A_i,10000,99.19,98.9944512308792,99.3477710094137
k2020,S00,M1,G2_A_i,10000,99.26,99.0720771164792,99.4100913640417
k2016,F097,M0,G2_A_ii,10000,96.24,95.8490551553918,96.595432675288
k2016,F097,M1,G2_A_ii,10000,96.77,96.4051285853702,97.0989522070368
k2016,S00,M0,G2_A_ii,10000,99.33,99.1500780525033,99.4720366682458
k2016,S00,M1,G2_A_ii,10000,99.39,99.2172789569317,99.5247896840129
k2020,F097,M0,G2_A_ii,10000,95.26,94.8258591964774,95.6593812710089
k2020,F097,M1,G2_A_ii,10000,95.73,95.315861562209,96.1090179468089
k2020,S00,M0,G2_A_ii,10000,98.88,98.6541590683063,99.0683012509764
k2020,S00,M1,G2_A_ii,10000,99.05,98.8401464294136,99.2221833304231
k2016,F097,M0,G2_A_iii,10000,90.01,89.4068204869779,90.5824519634006
k2016,F097,M1,G2_A_iii,10000,90.61,90.0226019213326,91.1662097310011
k2016,S00,M0,G2_A_iii,10000,96.05,95.6502164762508,96.4144172738099
k2016,S00,M1,G2_A_iii,10000,96.7,96.3315543624137,97.0325801897652
k2020,F097,M0,G2_A_iii,10000,87.59,86.9293368472136,88.221794155279
k2020,F097,M1,G2_A_iii,10000,88.74,88.1055133546153,89.3447344516246
k2020,S00,M0,G2_A_iii,10000,95.13,94.6905324045197,95.534807902543
k2020,S00,M1,G2_A_iii,10000,95.81,95.3993909109091,96.1854271583694
k2016,F097,M0,G2_A_iv,10000,66.06,65.1259365929246,66.9817293794092
k2016,F097,M1,G2_A_iv,10000,68.72,67.8042523472152,69.6213707537867
k2016,S00,M0,G2_A_iv,10000,73.97,73.1008826570874,74.8207084610224
k2016,S00,M1,G2_A_iv,10000,76.19,75.3452536772901,77.0146324880539
k2020,F097,M0,G2_A_iv,10000,46.78,45.8034757643265,47.7589971851806
k2020,F097,M1,G2_A_iv,10000,48.63,47.6510999820835,49.6099521734521
k2020,S00,M0,G2_A_iv,10000,52.56,51.5805077300149,53.5375261983272
k2020,S00,M1,G2_A_iv,10000,54.87,53.8929929258149,55.8432669300548
k2016,F097,M0,G2_B,10000,98.05,97.7599610060085,98.3031367505695
k2016,F097,M1,G2_B,10000,98.2,97.9203052820268,98.44267727504
k2016,S00,M0,G2_B,10000,99.8,99.6912649335349,99.8704888287457
k2016,S00,M1,G2_B,10000,99.83,99.7279014584904,99.893829263888
k2020,F097,M0,G2_B,10000,96.72,96.3525712335087,97.0515479587353
k2020,F097,M1,G2_B,10000,97.02,96.6682567280577,97.3356320651639
k2020,S00,M0,G2_B,10000,99.43,99.2622795040472,99.5597584170277
