pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,pass_pct,lo,hi,class,rule,set
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_A_i,10000,7.04,6.55492362802065,7.55806951198789,exceeding,A,i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_A_i,10000,7.59,7.08705655803354,8.12551418376725,exceeding,A,i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_A_i,10000,6.37,5.90789458974844,6.8656131080768,exceeding,A,i
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_A_i,10000,6.71,6.23606232543102,7.21718425350216,exceeding,A,i
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_A_i,10000,3.63,3.28086111182889,4.01475089706765,conservative,A,i
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_A_i,10000,3.92,3.55698505848916,4.31840423135239,conservative,A,i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_A_i,10000,12.69,12.0518995160374,13.3567544423825,exceeding,A,i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_A_i,10000,13.33,12.6778711476867,14.0102912928187,exceeding,A,i
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,G2_A_i,10000,19.91,19.138959981081,20.7041490408663,exceeding,A,i
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,G2_A_i,10000,20.27,19.4935580962123,21.0692744469082,exceeding,A,i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,G2_A_i,10000,0,0,0.0383998370676596,conservative,A,i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,G2_A_i,10000,0,0,0.0383998370676596,conservative,A,i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,G2_A_i,10000,4.93,4.52271561459742,5.37189799853536,nominal,A,i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,G2_A_i,10000,5.24,4.82019017908186,5.69418535506111,nominal,A,i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,G2_A_i,10000,4.86,4.45560655083166,5.29906082207302,nominal,A,i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,G2_A_i,10000,5.23,4.81058740393328,5.6837958101771,nominal,A,i
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M0,G2_A_i,10000,6.88,6.40028317234477,7.39283284714238,exceeding,A,i
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M1,G2_A_i,10000,7.46,6.96120472226823,7.99146585910893,exceeding,A,i
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M0,G2_A_i,10000,6.18,5.72467395708813,6.66897966011797,exceeding,A,i
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M1,G2_A_i,10000,6.55,6.08158389135475,7.05178556705705,exceeding,A,i
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M0,G2_A_i,20000,2.295,2.09644795684225,2.5118742032707,conservative,A,i
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M1,G2_A_i,20000,2.57,2.35963652239914,2.79858001788295,conservative,A,i
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M0,G2_A_i,10000,9.69,9.12558409555618,10.2853738530878,exceeding,A,i
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M1,G2_A_i,10000,10.09,9.51490596590157,10.6957447840458,exceeding,A,i
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M0,G2_A_i,10000,17.37,16.6400318066205,18.1250279270499,exceeding,A,i
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M1,G2_A_i,10000,17.89,17.1511806461549,18.65347972921,exceeding,A,i
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M0,G2_A_i,10000,0,0,0.0383998370676596,conservative,A,i
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M1,G2_A_i,10000,0,0,0.0383998370676596,conservative,A,i
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M0,G2_A_i,10000,4.47,4.08216837142981,4.892798520204,conservative,A,i
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M1,G2_A_i,10000,4.72,4.32146114873359,5.15331374371488,nominal,A,i
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M0,G2_A_i,10000,4.25,3.87187616540763,4.66325968550928,conservative,A,i
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M1,G2_A_i,10000,4.63,4.23527756871774,5.05956644343746,nominal,A,i
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_A_ii,10000,7.35,6.85475025018411,7.8780048108346,exceeding,A,ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_A_ii,10000,8.01,7.4939537171942,8.55829446597522,exceeding,A,ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_A_ii,10000,7.4,6.90313456019223,7.92958210098942,exceeding,A,ii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_A_ii,10000,7.7,7.1935813653737,8.23890489678554,exceeding,A,ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_A_ii,10000,4.03,3.66187206390807,4.43343274629193,conservative,A,ii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_A_ii,10000,4.31,3.92920090275081,4.72588886836161,conservative,A,ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_A_ii,10000,24.58,23.7459837064685,25.4335387706967,exceeding,A,ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_A_ii,10000,24.91,24.0720740989009,25.7671949393397,exceeding,A,ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,G2_A_ii,10000,22.46,21.6527345082812,23.2884161219756,exceeding,A,ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,G2_A_ii,10000,22.52,21.711937131225,23.3491674192274,exceeding,A,ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,G2_A_ii,10000,0,0,0.0383998370676596,conservative,A,ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,G2_A_ii,10000,0,0,0.0383998370676596,conservative,A,ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,G2_A_ii,10000,6.95,6.46792901937774,7.46513324033752,exceeding,A,ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,G2_A_ii,10000,7.27,6.77734968923221,7.79546681152581,exceeding,A,ii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,G2_A_ii,10000,5.71,5.27199916019718,6.18201541547736,exceeding,A,ii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,G2_A_ii,10000,6.22,5.76323639780185,6.71038649953459,exceeding,A,ii
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M0,G2_A_ii,10000,8.33,7.80426192331542,8.88774050089677,exceeding,A,ii
