pk_model,scenario,analysis_model,n_trials,inst_all,inst_rules_i,inst_rules_ii,inst_rules_iii,inst_rules_iv,inst_sets_A,inst_sets_C
k2016,F097,M0,10000,35.48,3.18,3.87,9.48,33.17,33.87,0.9
k2016,F097,M1,10000,32.74,2.71,3.34,8.89,30.58,31.45,0.75
k2016,F_down_080,M0,10000,12.43,5.97,6.95,7.49,8.44,10.22,1.1
k2016,F_down_080,M1,10000,12.83,6.09,7.24,7.39,8.67,10.6,1.18
k2016,F_up_125,M0,10000,11.67,4.83,6.22,6.21,7.7,10.19,0.99
k2016,F_up_125,M1,10000,12.06,5.12,6.25,6.61,8.15,10.24,1.31
k2016,S00,M0,10000,26.88,0.55,0.77,3.96,25.92,26.66,0.18
k2016,S00,M1,10000,24.57,0.42,0.68,3.34,23.75,24.35,0.12
k2016,V2_up_080,M0,10000,14.82,3.55,4.31,6.43,11.94,13.04,1.35
k2016,V2_up_080,M1,10000,14.91,3.6,4.26,6.38,11.95,12.95,1.41
k2016,Vmax_down_125,M0,10000,36.42,10.02,21.57,11.26,26.73,32.24,1.26
k2016,Vmax_down_125,M1,10000,36.38,10.31,21.53,11.65,26.48,32.02,1.46
k2016,Vmax_up_080,M0,10000,33.46,19.65,23.47,20.74,22.23,27.39,1.17
k2016,Vmax_up_080,M1,10000,33.43,20,23.41,21.35,22.97,26.9,1.27
k2016,ka_down_080,M0,10000,0,0,0,0,0,0,0
k2016,ka_down_080,M1,10000,0,0,0,0,0,0,0
k2016,ke_down_125,M0,10000,14.52,4.69,6.63,6.11,9.7,12.7,1.16
k2016,ke_down_125,M1,10000,14.56,4.95,6.72,6.47,9.89,12.69,1.26
k2016,ke_up_080,M0,10000,11.85,4.61,5.7,6.13,8.16,9.89,1.1
k2016,ke_up_080,M1,10000,12.46,4.77,5.86,6.4,8.56,10.36,1.24
k2020,F097,M0,10000,55.08,3.83,5.33,11.7,51.89,53.46,1.58
k2020,F097,M1,10000,52.87,3.42,4.73,10.57,50.04,51.47,1.14
k2020,F_down_080,M0,10000,12.51,4.81,6.88,6.74,7.86,11.28,1.28
k2020,F_down_080,M1,10000,13.12,5,6.93,6.76,8.34,11.78,1.28
k2020,F_up_125,M0,10000,12.69,4.24,6.66,5.54,7.86,11.52,1.27
k2020,F_up_125,M1,10000,13.49,4.45,6.93,5.95,8.53,12.38,1.44
k2020,S00,M0,10000,48.45,0.87,1.31,4.84,47.28,48.16,0.34
k2020,S00,M1,10000,45.87,0.77,1.09,4.09,44.9,45.61,0.37
k2020,V2_up_080,M0,20000,7.29,2.975,4.39,4.685,6.505,3.82,1.71
k2020,V2_up_080,M1,20000,7.95,3.205,4.59,5.03,7.05,4.24,1.895
k2020,Vmax_down_125,M0,10000,39.63,6.34,23.93,7.19,27.61,37.5,1.7
k2020,Vmax_down_125,M1,10000,39.36,6.33,23.35,7.53,27.73,37.02,1.95
k2020,Vmax_up_080,M0,10000,30.72,14.85,21.85,15.63,16.96,27.89,1.63
k2020,Vmax_up_080,M1,10000,31.12,15.03,21.97,15.99,17.53,28.13,1.89
k2020,ka_down_080,M0,10000,0,0,0,0,0,0,0
k2020,ka_down_080,M1,10000,0,0,0,0,0,0,0
k2020,ke_down_125,M0,10000,17.81,3.68,8.84,4.53,11.67,16.72,1.17
k2020,ke_down_125,M1,10000,17.95,3.87,8.97,4.84,11.8,16.87,1.33
k2020,ke_up_080,M0,10000,11.85,3.44,5.29,5.28,8.38,10.31,1.05
k2020,ke_up_080,M1,10000,11.92,3.53,5.49,5.39,8.66,10.32,1.1
