metric,sim,ref,rel_diff_pct
AUClast_geo,544.353928494811,546,-0.301478297653712
AUClast_logcv_pct,40.1526130056361,40.4,-0.612344045455282
Cmax_logcv_pct,34.0319565285322,34.4,-1.06989381240652
tlast_median,35,35,0
tlast_p05,21,21,0
tlast_p95,49,49,0
quant_at_day56_pct,3.15,3.6,-12.5
lambda_ok_pct,98.44,98.7,-0.26342451874366
reliable_pct,85.84,86.4,-0.648148148148153
n_lambda_median,3,3,0
extrap_median_pct,2.83477495161063,2.7,4.99166487446778
extrap_p95_pct,11.8999233028986,11.9,-0.00064451345747063
extrap_gt20_pct,0.888866314506298,1,-11.1133685493702
extrap_true_median_pct,0.68296247598672,0.65,5.07115015180313
extrap_true_p95_pct,3.45640804126311,3.3,4.73963761403371
coverage_lt80_pct,0,0,
