condition,metric,ref,sim,rel_diff_pct,agree_3pct,note
"2016 주 모델, 60–90 kg",AUClast_geo,546,544.570551512925,-0.261803752211509,TRUE,
"2016 주 모델, 60–90 kg",AUClast_logcv,39.9,39.5624983551111,-0.845868784182779,TRUE,
"2016 주 모델, 60–90 kg",AUClast_mean,587,584.738308777467,-0.385296630755205,TRUE,
"2016 주 모델, 60–90 kg",Cmax_mean,38.2,38.2141169184207,0.0369552838237697,TRUE,
"2016 주 모델, 60–90 kg",reliable_pct,86.2,86.595,0.45823665893272,TRUE,
"Model 1, 60–90 kg",AUClast_geo,587,583.881492534411,-0.53126191918037,TRUE,
"Model 1, 60–90 kg",AUClast_logcv,43.2,42.4806427220979,-1.66517888403277,TRUE,
"Model 1, 60–90 kg",AUClast_mean,637,632.732315541996,-0.66996616295204,TRUE,
"Model 1, 60–90 kg",Cmax_logcv,34.1,33.845162333494,-0.747324535208349,TRUE,
"Model 1, 60–90 kg",Cmax_mean,34.9,34.63603926263,-0.756334491031663,TRUE,
"Model 1, 60–90 kg",extrap_gt20_pct,0.62,0.67863067410647,9.45656033975317,FALSE,작은 백분율 지표: 상대 차이는 참고
"Model 1, 60–90 kg",extrap_nca_median,2.79,2.91341898292141,4.42361945954874,FALSE,작은 백분율 지표: 상대 차이는 참고
"Model 1, 60–90 kg",extrap_true_median,0.61,0.639755278425952,4.8779144960577,FALSE,작은 백분율 지표: 상대 차이는 참고
"Model 1, 60–90 kg",extrap_true_p95,3.29,3.26185210932419,-0.855558987106764,TRUE,작은 백분율 지표: 상대 차이는 참고
"Model 1, 60–90 kg",reliable_pct,91.4,91.18,-0.240700218818379,TRUE,
"Model 1, 60–90 kg",tlast_median,35,35,0,TRUE,경과일(연구일 − 1)
"Model 1, 60–90 kg",tlast_p95,56,56,0,TRUE,경과일(연구일 − 1)
"Model 1, 약 78 kg (N(78,11) 55–110)",AUClast_mean,610,609.501567385536,-0.0817102646662016,TRUE,
"Model 1, 약 78 kg (N(78,11) 55–110)",Cmax_mean,33.7,33.6510286087985,-0.145315700894544,TRUE,
"Model 1, 약 78 kg (N(78,11) 55–110)",AUClast_ratio_vs_obs544,1.12132352941176,1.12040729298812,,,
"Model 1, 약 78 kg (N(78,11) 55–110)",Cmax_ratio_vs_obs32,1.053125,1.05159464402495,,,
