scenario,endpoint,pass_rate,GMR_mean,width_mean_pp,weight_shape
F090,Cmax,68.4,0.886665125182367,13.7971070587437,normal78_sd13_50_115
F090,AUClast,21.8,0.841625510344865,15.2605138474103,normal78_sd13_50_115
F090,AUCinf_reliable,30,0.853723370670167,15.4589468582712,normal78_sd13_50_115
F090,AUCinf_true,26.2,0.84441986214196,14.5452117078798,normal78_sd13_50_115
KM10,Cmax,100,1.00544691712089,15.4074646370195,normal78_sd13_50_115
KM10,AUClast,98.8,1.01337552561607,18.0434217060626,normal78_sd13_50_115
KM10,AUCinf_reliable,98.6,0.98928710044828,17.8665300850456,normal78_sd13_50_115
KM10,AUCinf_true,99.6,1.00998376373072,17.1430056610002,normal78_sd13_50_115
S00,Cmax,100,1.00393378740671,15.4156831288571,normal78_sd13_50_115
S00,AUClast,99.4,1.00398103299613,17.9679517553154,normal78_sd13_50_115
S00,AUCinf_reliable,99.2,1.00264155775197,17.9609618247774,normal78_sd13_50_115
S00,AUCinf_true,99.8,1.00339870477873,17.0907946599106,normal78_sd13_50_115
VM125,Cmax,98.6,0.961966510222232,15.2349084015267,normal78_sd13_50_115
VM125,AUClast,35.6,0.858481941665679,15.8475116867992,normal78_sd13_50_115
VM125,AUCinf_reliable,57.8,0.889992137780254,16.4000459513819,normal78_sd13_50_115
VM125,AUCinf_true,43.2,0.865684841351562,15.1561921890543,normal78_sd13_50_115
F090,Cmax,64,0.886533784143417,14.957881491131,uniform_50_115
F090,AUClast,15.8,0.839448497590682,17.0582391295547,uniform_50_115
F090,AUCinf_reliable,26.2,0.854811183345395,17.3938043918359,uniform_50_115
F090,AUCinf_true,18.4,0.842709888917749,16.3602429305293,uniform_50_115
KM10,Cmax,99.6,1.00603525605914,16.7234313576726,uniform_50_115
KM10,AUClast,97.4,1.01263964450855,20.1964821882587,uniform_50_115
KM10,AUCinf_reliable,95.6,0.987083186244486,19.9754677048279,uniform_50_115
KM10,AUCinf_true,98.6,1.00941788603636,19.3023845270474,uniform_50_115
S00,Cmax,99.6,1.00439369677852,16.73007916341,uniform_50_115
S00,AUClast,98,1.00268319770572,20.1035067480662,uniform_50_115
S00,AUCinf_reliable,96.8,1.00306405796494,20.1197446990175,uniform_50_115
S00,AUCinf_true,98.4,1.00248756725034,19.2361721700023,uniform_50_115
VM125,Cmax,96.6,0.96107113347882,16.4949377808067,uniform_50_115
VM125,AUClast,25.6,0.854853789541226,17.6916060351925,uniform_50_115
VM125,AUCinf_reliable,51.8,0.89130568264595,18.4959727128897,uniform_50_115
VM125,AUCinf_true,31.8,0.862731143450511,17.0264702064041,uniform_50_115
