weight_shape,scenario,metric,sim,ref,mc_se_pp,diff
normal78_sd13_50_115,S00,pass_AUClast,99.4,99,0.44497190922574,0.400000000000006
normal78_sd13_50_115,S00,pass_AUCinf_reliable,99.2,98.2,0.5945754788082,1
normal78_sd13_50_115,S00,width_AUClast_pp,17.9679517553154,17.6,,0.367951755315392
normal78_sd13_50_115,F090,pass_AUClast,21.8,22,1.85256578830551,-0.199999999999999
normal78_sd13_50_115,F090,pass_AUCinf_reliable,30,30.6,2.06089301032344,-0.600000000000001
normal78_sd13_50_115,VM125,pass_AUClast,35.6,32,2.08614476966485,3.6
normal78_sd13_50_115,VM125,pass_AUCinf_reliable,57.8,56.4,2.21767445762447,1.4
normal78_sd13_50_115,VM125,gmr_AUCinf_true,0.865684841351562,0.863,,0.00268484135156166
normal78_sd13_50_115,VM125,gmr_AUClast,0.858481941665679,0.856,,0.00248194166567917
normal78_sd13_50_115,VM125,gmr_AUCinf_reliable,0.889992137780254,0.885,,0.00499213778025431
uniform_50_115,S00,pass_AUClast,98,99,0.44497190922574,-1
uniform_50_115,S00,pass_AUCinf_reliable,96.8,98.2,0.5945754788082,-1.40000000000001
uniform_50_115,S00,width_AUClast_pp,20.1035067480662,17.6,,2.50350674806622
uniform_50_115,F090,pass_AUClast,15.8,22,1.85256578830551,-6.2
uniform_50_115,F090,pass_AUCinf_reliable,26.2,30.6,2.06089301032344,-4.4
uniform_50_115,VM125,pass_AUClast,25.6,32,2.08614476966485,-6.4
uniform_50_115,VM125,pass_AUCinf_reliable,51.8,56.4,2.21767445762447,-4.59999999999999
uniform_50_115,VM125,gmr_AUCinf_true,0.862731143450511,0.863,,-0.000268856549489271
uniform_50_115,VM125,gmr_AUClast,0.854853789541226,0.856,,-0.00114621045877406
uniform_50_115,VM125,gmr_AUCinf_reliable,0.89130568264595,0.885,,0.00630568264594977
