analysis,condition,metric,ref_8000,sim_20000,sim_20000_nojitter,abs_diff,rel_diff_pct,note
5-1,Km ×0.5–×10,extrap_true_median_min,0.38,0.391623499155314,,0.011623499155314,3.0588155671879,""
5-1,Km ×0.5–×10,extrap_true_median_max,0.67,0.661796872729925,,-0.00820312727007499,-1.22434735374254,""
5-1,Km ×0.5–×10,extrap_true_p95_min,2.6,2.7742538215115,,0.1742538215115,6.70207005813461,""
5-1,Km ×0.5–×10,extrap_true_p95_max,3.5,3.65204843119352,,0.15204843119352,4.34424089124343,""
5-1,Km ×0.5–×10,coverage_lt80_pct_max,0,0,,0,,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
5-1,vmax080_both,extrap_true_median,0.53,0.526415304025346,,-0.00358469597465405,-0.676357731066801,""
5-1,vmax080_both,extrap_true_p95,2.63,2.79055750651039,,0.16055750651039,6.1048481562886,""
5-1,vmax080_both,coverage_lt80_pct,0,0,,0,,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
5-1,vmax050_both,extrap_true_median,0.62,0.631326489788786,,0.011326489788786,1.82685319173967,""
5-1,vmax050_both,extrap_true_p95,6.52,6.41375809394017,,-0.10624190605983,-1.62947708680721,""
5-1,vmax050_both,extrap_true_max,31.7,23.0757361607129,,-8.6242638392871,-27.2058796192022,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
5-1,vmax050_both,coverage_lt80_pct,0.11,0.035,,-0.075,-68.1818181818182,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
6-1,(a) 40-60 kg,extrap_true_median,0.5,0.50382007448006,0.504548046963849,0.00382007448006005,0.764014896012011,""
6-1,(a) 40-60 kg,extrap_true_p95,2.53,2.69272399455502,2.57197897118556,0.16272399455502,6.4317784409099,""
6-1,(a) 40-60 kg,coverage_lt80_pct,0.012,0.005,0.005,-0.007,-58.3333333333333,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
6-1,(a) 40-60 kg,reliable_pct,90.9,90.82,90.83,-0.0800000000000125,-0.0880088008801017,""
6-1,(a) 40-60 kg,lambda_fail_pct,0.38,0.23,0.23,-0.15,-39.4736842105263,""
6-1,(a) 60-75 kg,extrap_true_median,0.59,0.60240457434676,0.602946264884119,0.01240457434676,2.10247022826442,""
6-1,(a) 60-75 kg,extrap_true_p95,3.03,3.23201852694345,2.98370675912524,0.20201852694345,6.66727811694554,""
6-1,(a) 60-75 kg,coverage_lt80_pct,0,0,0,0,,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
6-1,(a) 60-75 kg,reliable_pct,87.4,88.105,87.985,0.704999999999998,0.806636155606411,""
6-1,(a) 60-75 kg,lambda_fail_pct,1.04,0.74,0.745,-0.3,-28.8461538461539,""
6-1,(a) 75-90 kg,extrap_true_median,0.72,0.724209324563757,0.719661539687944,0.004209324563757,0.584628411632915,""
6-1,(a) 75-90 kg,extrap_true_p95,3.78,4.00720892984095,3.8373240653713,0.227208929840951,6.0108182497606,""
6-1,(a) 75-90 kg,coverage_lt80_pct,0,0,0,0,,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
6-1,(a) 75-90 kg,reliable_pct,84.9,84.535,84.885,-0.365000000000009,-0.4299175500589,""
6-1,(a) 75-90 kg,lambda_fail_pct,1.94,1.875,1.735,-0.065,-3.35051546391753,""
6-1,(a) 90-110 kg,extrap_true_median,0.91,0.884881998466008,,-0.025118001533992,-2.76021994879033,""
6-1,(a) 90-110 kg,extrap_true_p95,4.79,5.18226182021137,,0.39226182021137,8.18918205034176,""
6-1,(a) 90-110 kg,coverage_lt80_pct,0,0,,0,,희귀 사건·극값: 표본 수 차이로 변동 큼(참고)
6-1,(a) 90-110 kg,reliable_pct,79.7,80.475,,0.774999999999992,0.972396486825589,""
6-1,(a) 90-110 kg,lambda_fail_pct,3.16,3.475,,0.315,9.96835443037975,""
6-1,(a) 110-130 kg,extrap_true_median,1.12,1.10052924425659,,-0.0194707557434102,-1.73846033423305,""
