variant,schedule,n_points,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo
ada10,B0,13,20000,34.5818320249673,20.8715388254961,49.3393897943432,2.92,98.29,86.78,80.64,11.51,1.09,7.955,86.195,3,52.365449180995,2.79420982032608,12.2085834155394,1.10896327195035,0.672374534435732,3.63691878134931,0,-0.0284348621216935,0.0946025022389309,0.0953086875043056,-0.039777092095504,538.727658952771,40.3396221602336,579.774479536869,36.2944951401086,34.2012986312832,38.2638022076966,581.615306744041,563.098563447159
ada10,Bminus,12,20000,34.5798483500257,20.8715388254961,42.8298067312222,3.085,98.275,86.8,78.825,11.475,1.41,10.225,86.035,3,52.1343169676927,3.24644444862731,13.4641693519482,1.43474942762656,0.84507614025956,4.08099738827849,0,-0.028505408265123,0.094742265414382,0.0953790574476615,-0.0415000927413601,537.692283532188,40.0559960011819,578.008200040558,36.2944951401086,34.2012986312832,38.2638022076966,577.69353180559,563.098563447159
ada10,D1,15,20000,35.1705497142393,20.8715388254961,49.3085091333604,2.855,98.33,87.005,80.175,11.325,1.025,8.31,86.45,3,50.6051052578054,1.58118862374273,11.4632051809429,1.0424082172277,0.314114172880159,3.62244565331149,0,-0.02803953249803,0.0941914320330694,0.0950842298558455,-0.0370737169319668,540.322539891706,40.5049716588234,581.780235105165,36.2944951401086,34.2012986312832,38.2638022076966,574.222839150675,563.098563447159
ada10,D2,16,20000,35.1705497142393,20.8715388254961,51.5357414809056,2.81,98.33,86.865,80.51,11.465,1.01,7.85,86.33,3,50.6813790297976,1.47922956487724,11.4367167269134,1.02715346282925,0.283144447343808,3.62244565331149,0,-0.02803953249803,0.094175658821204,0.0950986791518193,-0.0366426629657777,540.430931863511,40.5371591425807,581.97434513816,36.2944951401086,34.2012986312832,38.2638022076966,574.821536627876,563.098563447159
ada10,D3,17,20000,35.1620994042605,20.8718613716774,51.5357414809056,2.81,98.95,89.335,82.235,9.615,0.8,8.035,88.92,4,48.4032339565437,1.02614732020055,8.12001463475021,0.808489135927236,0.201640344212739,3.05820037055428,0,-0.0264587982030918,0.0930355844375457,0.0939075727737832,-0.0318469445019925,542.867626967936,40.4192828188844,584.281346323865,36.2946074517146,34.2003271768758,38.2638451654543,567.736495285418,563.098563447159
ada10,D4,15,20000,34.8996107494459,20.8715388254961,49.3047933455557,2.845,98.32,86.515,79.81,11.805,1.015,8.19,85.97,3,50.8187550854353,1.63874993200376,11.4747008723954,1.03234336859235,0.328938626799524,3.62203304844006,0,-0.0279237121419791,0.0942992439334948,0.0951850543583307,-0.036940360687953,540.251568964879,40.5115398131659,581.727691283452,36.2944951401086,34.2012986312832,38.2638022076966,574.17192928229,563.098563447159
base,B0,13,20000,34.7484493784141,20.9982860189863,49.4546310193138,3.365,98.54,87.17,80.735,11.37,1.08,8.25,86.565,3,51.9332250862594,2.74409890951039,12.148489019961,1.09600162370611,0.652050053461906,3.6326565403682,0,-0.0273778076586168,0.0950280842762153,0.0959327394376631,-0.0383728140051733,545.879959748195,40.2983880005355,587.46420811355,36.2768009452102,34.3049898699054,38.2544317383295,588.174381958956,570.132633582031
base,Bminus,12,20000,34.7485962691717,20.9982860189863,42.876714978856,3.545,98.53,87.335,78.92,11.195,1.39,10.59,86.52,3,51.8623769410332,3.27855719120275,13.2546222988643,1.41073784634122,0.84367548919419,4.06635883066274,0,-0.027510263253163,0.095211241577102,0.0960369595632737,-0.0406901893906273,544.739954040336,40.0032540110479,585.556502663521,36.2768009452102,34.3049898699054,38.2544317383295,584.148951747347,570.132633582031
base,D1,15,20000,35.5922129333485,20.9982860189863,49.4476120262174,3.35,98.58,87.49,80.14,11.09,0.995,8.785,86.94,3,50.70501115845,1.53992286267305,11.4191876759812,1.0093325218097,0.295204639399954,3.61185397996125,0,-0.0265662329118428,0.094608160598939,0.0957083060696369,-0.0352754457593038,547.605737704005,40.4605907143283,589.599295118466,36.2768009452102,34.3049898699054,38.2544317383295,580.744449278813,570.132633582031
base,D2,16,20000,35.5922129333485,20.9982860189863,51.8017316977028,3.3,98.58,87.355,80.465,11.225,1.005,8.34,86.79,3,50.6999391357273,1.42142393386184,11.4117490833531,1.01947656725502,0.265332541263208,3.61185397996125,0,-0.026568290040887,0.0945878447343018,0.0957184587420265,-0.0351366188644062,547.726885876881,40.4965416835715,589.818026299622,36.2768009452102,34.3049898699054,38.2544317383295,581.341721741182,570.132633582031
