schedule,n_lambda,N,pct
B0,3,10293,51.465
B0,4,4809,24.045
B0,5,2563,12.815
B0,6,1272,6.36
B0,7,514,2.57
B0,8,169,0.845
B0,9,36,0.18
B0,10,6,0.03
B0,,338,1.69
Bminus,3,10242,51.21
Bminus,4,4866,24.33
Bminus,5,2650,13.25
Bminus,6,1285,6.425
Bminus,7,489,2.445
Bminus,8,118,0.59
Bminus,9,7,0.035
Bminus,,343,1.715
D1,3,9940,49.7
D1,4,4609,23.045
D1,5,2398,11.99
D1,6,1243,6.215
D1,7,700,3.5
D1,8,451,2.255
D1,9,207,1.035
D1,10,94,0.47
D1,11,29,0.145
D1,12,3,0.015
D1,,326,1.63
D2,3,9950,49.75
D2,4,4618,23.09
D2,5,2393,11.965
D2,6,1244,6.22
D2,7,698,3.49
D2,8,428,2.14
D2,9,167,0.835
D2,10,97,0.485
D2,11,59,0.295
D2,12,16,0.08
D2,13,6,0.03
D2,,324,1.62
D3,3,9520,47.6
D3,4,4294,21.47
D3,5,2491,12.455
D3,6,1543,7.715
D3,7,864,4.32
D3,8,510,2.55
D3,9,310,1.55
D3,10,130,0.65
D3,11,66,0.33
D3,12,46,0.23
D3,13,16,0.08
D3,14,5,0.025
D3,,205,1.025
D4,3,9979,49.895
D4,4,4555,22.775
D4,5,2454,12.27
D4,6,1246,6.23
D4,7,709,3.545
D4,8,411,2.055
D4,9,190,0.95
D4,10,88,0.44
D4,11,34,0.17
D4,12,6,0.03
D4,,328,1.64
