schedule,n_lambda,N,pct
B0,3,10233,51.165
B0,4,4737,23.685
B0,5,2648,13.24
B0,6,1377,6.885
B0,7,514,2.57
B0,8,157,0.785
B0,9,37,0.185
B0,10,8,0.04
B0,,289,1.445
Bminus,3,10212,51.06
Bminus,4,4786,23.93
Bminus,5,2704,13.52
Bminus,6,1379,6.895
Bminus,7,509,2.545
Bminus,8,110,0.55
Bminus,9,8,0.04
Bminus,,292,1.46
D1,3,10007,50.035
D1,4,4396,21.98
D1,5,2476,12.38
D1,6,1405,7.025
D1,7,711,3.555
D1,8,409,2.045
D1,9,187,0.935
D1,10,92,0.46
D1,11,35,0.175
D1,12,4,0.02
D1,,278,1.39
D2,3,9996,49.98
D2,4,4444,22.22
D2,5,2459,12.295
D2,6,1369,6.845
D2,7,710,3.55
D2,8,376,1.88
D2,9,187,0.935
D2,10,93,0.465
D2,11,55,0.275
D2,12,29,0.145
D2,13,6,0.03
D2,,276,1.38
D3,3,9467,47.335
D3,4,4209,21.045
D3,5,2513,12.565
D3,6,1546,7.73
D3,7,962,4.81
D3,8,536,2.68
D3,9,301,1.505
D3,10,141,0.705
D3,11,73,0.365
D3,12,40,0.2
D3,13,24,0.12
D3,14,5,0.025
D3,,183,0.915
D4,3,9995,49.975
D4,4,4421,22.105
D4,5,2491,12.455
D4,6,1392,6.96
D4,7,730,3.65
D4,8,375,1.875
D4,9,174,0.87
D4,10,96,0.48
D4,11,39,0.195
D4,12,6,0.03
D4,,281,1.405
