schedule,n_lambda,N,pct
B0,3,10256,51.28
B0,4,4540,22.7
B0,5,2511,12.555
B0,6,1332,6.66
B0,7,604,3.02
B0,8,206,1.03
B0,9,91,0.455
B0,10,20,0.1
B0,11,2,0.01
B0,,438,2.19
Bminus,3,10311,51.555
Bminus,4,4619,23.095
Bminus,5,2558,12.79
Bminus,6,1319,6.595
Bminus,7,566,2.83
Bminus,8,162,0.81
Bminus,9,18,0.09
Bminus,,447,2.235
D1,3,10015,50.075
D1,4,4312,21.56
D1,5,2270,11.35
D1,6,1281,6.405
D1,7,732,3.66
D1,8,438,2.19
D1,9,289,1.445
D1,10,140,0.7
D1,11,75,0.375
D1,12,20,0.1
D1,13,1,0.005
D1,,427,2.135
D2,3,9992,49.96
D2,4,4295,21.475
D2,5,2263,11.315
D2,6,1302,6.51
D2,7,716,3.58
D2,8,396,1.98
D2,9,288,1.44
D2,10,161,0.805
D2,11,92,0.46
D2,12,49,0.245
D2,13,17,0.085
D2,14,2,0.01
D2,,427,2.135
D3,3,9607,48.035
D3,4,4140,20.7
D3,5,2322,11.61
D3,6,1378,6.89
D3,7,911,4.555
D3,8,515,2.575
D3,9,318,1.59
D3,10,227,1.135
D3,11,128,0.64
D3,12,74,0.37
D3,13,43,0.215
D3,14,16,0.08
D3,15,2,0.01
D3,,319,1.595
D4,3,9998,49.99
D4,4,4293,21.465
D4,5,2290,11.45
D4,6,1320,6.6
D4,7,767,3.835
D4,8,406,2.03
D4,9,262,1.31
D4,10,138,0.69
D4,11,80,0.4
D4,12,16,0.08
D4,13,1,0.005
D4,,429,2.145
