schedule,n_lambda,N,pct
B0,3,10525,52.625
B0,4,4623,23.115
B0,5,2585,12.925
B0,6,1306,6.53
B0,7,591,2.955
B0,8,216,1.08
B0,9,47,0.235
B0,10,3,0.015
B0,,104,0.52
Bminus,3,10437,52.185
Bminus,4,4733,23.665
Bminus,5,2636,13.18
Bminus,6,1374,6.87
Bminus,7,577,2.885
Bminus,8,135,0.675
Bminus,9,3,0.015
Bminus,,105,0.525
D1,3,10340,51.7
D1,4,4695,23.475
D1,5,2216,11.08
D1,6,1280,6.4
D1,7,734,3.67
D1,8,358,1.79
D1,9,158,0.79
D1,10,89,0.445
D1,11,24,0.12
D1,12,5,0.025
D1,,101,0.505
D2,3,10314,51.57
D2,4,4666,23.33
D2,5,2230,11.15
D2,6,1307,6.535
D2,7,729,3.645
D2,8,363,1.815
D2,9,150,0.75
D2,10,81,0.405
D2,11,38,0.19
D2,12,17,0.085
D2,13,4,0.02
D2,,101,0.505
D3,3,10291,51.455
D3,4,4372,21.86
D3,5,2306,11.53
D3,6,1355,6.775
D3,7,773,3.865
D3,8,409,2.045
D3,9,228,1.14
D3,10,95,0.475
D3,11,49,0.245
D3,12,28,0.14
D3,13,13,0.065
D3,14,4,0.02
D3,,77,0.385
D4,3,10290,51.45
D4,4,4466,22.33
D4,5,2371,11.855
D4,6,1305,6.525
D4,7,787,3.935
D4,8,395,1.975
D4,9,167,0.835
D4,10,91,0.455
D4,11,23,0.115
D4,12,5,0.025
D4,,100,0.5
