schedule,n_lambda,N,pct
B0,3,10950,54.75
B0,4,4511,22.555
B0,5,2351,11.755
B0,6,1270,6.35
B0,7,540,2.7
B0,8,181,0.905
B0,9,64,0.32
B0,10,10,0.05
B0,,123,0.615
Bminus,3,10901,54.505
Bminus,4,4644,23.22
Bminus,5,2393,11.965
Bminus,6,1283,6.415
Bminus,7,507,2.535
Bminus,8,142,0.71
Bminus,9,4,0.02
Bminus,,126,0.63
D1,3,10582,52.91
D1,4,4483,22.415
D1,5,2187,10.935
D1,6,1229,6.145
D1,7,679,3.395
D1,8,388,1.94
D1,9,200,1
D1,10,89,0.445
D1,11,37,0.185
D1,12,6,0.03
D1,,120,0.6
D2,3,10517,52.585
D2,4,4498,22.49
D2,5,2172,10.86
D2,6,1266,6.33
D2,7,693,3.465
D2,8,376,1.88
D2,9,185,0.925
D2,10,93,0.465
D2,11,48,0.24
D2,12,24,0.12
D2,13,8,0.04
D2,,120,0.6
D3,3,10340,51.7
D3,4,4345,21.725
D3,5,2232,11.16
D3,6,1327,6.635
D3,7,790,3.95
D3,8,407,2.035
D3,9,256,1.28
D3,10,127,0.635
D3,11,60,0.3
D3,12,25,0.125
D3,13,16,0.08
D3,14,8,0.04
D3,,67,0.335
D4,3,10539,52.695
D4,4,4329,21.645
D4,5,2325,11.625
D4,6,1299,6.495
D4,7,667,3.335
D4,8,378,1.89
D4,9,217,1.085
D4,10,78,0.39
D4,11,40,0.2
D4,12,8,0.04
D4,,120,0.6
