schedule,n_lambda,N,pct
B0,3,11074,55.37
B0,4,4781,23.905
B0,5,2234,11.17
B0,6,811,4.055
B0,7,224,1.12
B0,8,64,0.32
B0,9,15,0.075
B0,10,1,0.005
B0,,796,3.98
Bminus,3,11033,55.165
Bminus,4,4838,24.19
Bminus,5,2241,11.205
Bminus,6,806,4.03
Bminus,7,233,1.165
Bminus,8,45,0.225
Bminus,9,2,0.01
Bminus,,802,4.01
D1,3,10806,54.03
D1,4,4730,23.65
D1,5,2186,10.93
D1,6,880,4.4
D1,7,374,1.87
D1,8,152,0.76
D1,9,59,0.295
D1,10,27,0.135
D1,11,7,0.035
D1,12,1,0.005
D1,,778,3.89
D2,3,10783,53.915
D2,4,4755,23.775
D2,5,2164,10.82
D2,6,903,4.515
D2,7,374,1.87
D2,8,146,0.73
D2,9,60,0.3
D2,10,20,0.1
D2,11,15,0.075
D2,12,4,0.02
D2,13,2,0.01
D2,,774,3.87
D3,3,10196,50.98
D3,4,4584,22.92
D3,5,2408,12.04
D3,6,1193,5.965
D3,7,529,2.645
D3,8,283,1.415
D3,9,112,0.56
D3,10,43,0.215
D3,11,14,0.07
D3,12,12,0.06
D3,13,2,0.01
D3,14,2,0.01
D3,,622,3.11
D4,3,10884,54.42
D4,4,4693,23.465
D4,5,2210,11.05
D4,6,868,4.34
D4,7,346,1.73
D4,8,134,0.67
D4,9,62,0.31
D4,10,21,0.105
D4,11,5,0.025
D4,,777,3.885
