schedule,n_lambda,N,pct
B0,3,9976,49.88
B0,4,4726,23.63
B0,5,2777,13.885
B0,6,1370,6.85
B0,7,621,3.105
B0,8,226,1.13
B0,9,49,0.245
B0,10,16,0.08
B0,,239,1.195
Bminus,3,9948,49.74
Bminus,4,4844,24.22
Bminus,5,2836,14.18
Bminus,6,1437,7.185
Bminus,7,553,2.765
Bminus,8,127,0.635
Bminus,9,12,0.06
Bminus,,243,1.215
D1,3,9726,48.63
D1,4,4455,22.275
D1,5,2503,12.515
D1,6,1400,7
D1,7,791,3.955
D1,8,443,2.215
D1,9,252,1.26
D1,10,148,0.74
D1,11,46,0.23
D1,12,13,0.065
D1,,223,1.115
D2,3,9762,48.81
D2,4,4443,22.215
D2,5,2522,12.61
D2,6,1430,7.15
D2,7,764,3.82
D2,8,431,2.155
D2,9,189,0.945
D2,10,129,0.645
D2,11,77,0.385
D2,12,22,0.11
D2,13,10,0.05
D2,,221,1.105
D3,3,9379,46.895
D3,4,4128,20.64
D3,5,2554,12.77
D3,6,1578,7.89
D3,7,972,4.86
D3,8,581,2.905
D3,9,337,1.685
D3,10,142,0.71
D3,11,104,0.52
D3,12,60,0.3
D3,13,16,0.08
D3,14,11,0.055
D3,,138,0.69
D4,3,9701,48.505
D4,4,4471,22.355
D4,5,2537,12.685
D4,6,1439,7.195
D4,7,788,3.94
D4,8,417,2.085
D4,9,243,1.215
D4,10,113,0.565
D4,11,54,0.27
D4,12,11,0.055
D4,,226,1.13
