model,lloq,n,lloq_never_pct,lloq_studyday_median,lloq_studyday_p05,lloq_studyday_p95,lloq_after_day58_pct,c_start1_below_lloq_pct,len1_median,len1_p95,len2_median
k2016,0.02,20000,0,38.6100064957343,27.3071835397267,54.4147646743147,2.59,0,1.52275755509388,1.56030957455624,3.08608062445151
k2016,0.05,20000,0,38.5258136075772,27.2429805833468,54.3110406946448,2.505,0,1.4404854086298,1.47657758232411,3.00122409761861
k2016,0.078,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0,1.3815220572994,1.4285785279045,2.94085101477083
k2016,0.1,20000,0,38.4181523875963,27.1598802549227,54.1860231566803,2.44,0,1.33800847154355,1.39625937262097,2.89734773076721
k2016,0.2,20000,0,38.2286532213037,26.99504083409,53.9653896716921,2.335,0,1.15251788481324,1.26456591501051,2.71410733263424
k2016,0.5,20000,0,37.6854550824632,26.573226220011,53.3520970583767,2.05,0.59,0.631632208270986,0.900068372363201,2.19879645870525
k2020,0.02,20000,0,40.9147347187812,28.8450646539625,57.770730129171,4.8,0,1.5265294534681,1.55038137166809,3.08262822816317
k2020,0.05,20000,0,40.8272604154783,28.7745274329025,57.660693698062,4.685,0,1.44256618617223,1.46708633049794,2.99630501330808
k2020,0.078,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0,1.38301245217869,1.42223477258374,2.93655451908038
k2020,0.1,20000,0,40.7254244899901,28.6951901551623,57.520332349912,4.54,0,1.33979583443379,1.3911886709676,2.89371085569901
k2020,0.2,20000,0,40.5395351784082,28.54452435104,57.2893083691368,4.37,0,1.15554445946865,1.26439459454035,2.71164735531738
k2020,0.5,20000,0,40.0189898758671,28.1209755526987,56.6189027466867,3.805,0.895,0.64138393082813,0.911241459921097,2.19934425729358
