model,variant,resid,lloq,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,lambda_fail_pct
k2020,struct2020,fixed,0.02,20000,42.2319766969886,27.3673343528295,56.5143509567017,20.31,99.72,86.195,81.395,13.525,0.38,5.14,85.905,3,55.2647412755716,0.437727707521013,9.13799594403517,0.381066987565182,0.0453866052353869,2.6481215283219,0,-0.0231172013500403,0.0568488138175356,0.0576589788030415,-0.0288749844189795,589.794090253353,42.4722829939346,639.23113924562,32.9656334176945,33.9181242939504,34.7376122636475,610.787792790422,608.252761933008,0.280000000000001
k2020,struct2020,fixed,0.05,20000,35.6629547355697,27.0442349944031,55.6329604068538,7.435,99.45,90.91,83.39,8.54,0.635,8.145,90.44,3,56.49069884364,2.48446301422323,11.2997553384437,0.638511814982403,0.506576219843891,3.35322663630603,0,-0.0228217100325155,0.0569335260683779,0.0581178399549876,-0.0320064218943882,587.722405571402,42.6998141702812,637.454862386593,32.9656334176945,33.9181242939504,34.7376122636475,623.147974564988,608.252761933008,0.549999999999997
k2020,struct2020,fixed,0.078,20000,35.3804970053025,21.9556309932377,55.1956999506569,5.525,99.385,92.43,83.915,6.955,0.8,9.22,91.835,3,55.0887960959904,2.94855018608216,11.9464935924674,0.804950445238215,0.640350151289987,3.53955961566025,0,-0.0227133254492883,0.0569591430605277,0.0582799077581742,-0.0332081628690386,587.032270666267,42.7759962247525,636.861231547743,32.9656334176945,33.9181242939504,34.7376122636475,627.175235632274,608.252761933008,0.614999999999995
k2020,struct2020,fixed,0.1,20000,35.3348300061189,21.8704632009147,55.1362908822717,5.335,99.365,92.91,84.06,6.455,0.845,9.56,92.275,3,54.8734463845418,3.03912432482509,12.0631266798363,0.850400040255623,0.668959789303775,3.6047668856865,0,-0.022607434720048,0.0569548029328457,0.0583358482322357,-0.0334085780570135,586.896448163251,42.7921857791219,636.746763941389,32.9656334176945,33.9181242939504,34.7376122636475,627.881034775336,608.252761933008,0.634999999999991
k2020,struct2020,fixed,0.2,20000,35.2786909877323,21.7618545454927,55.0535413284088,5.105,99.325,94.38,84.59,4.945,0.97,10.565,93.64,3,54.5532343317392,3.24653553420556,12.4568444611,0.976591995972816,0.741800274047705,3.79796414601131,0,-0.0221690799846436,0.0569422227353702,0.0584736381862214,-0.0339793005557767,586.614661398597,42.8179560627921,636.495404160679,32.9656334176945,33.9181242939504,34.7376122636475,629.652389132603,608.252761933008,0.674999999999997
k2020,struct2020,fixed,0.5,20000,35.1343572693877,21.5160204017302,49.9002128488151,4.525,99.175,96.025,83.555,3.15,1.41,13.465,94.95,3,53.9601714141669,3.89329131917328,14.0112894565345,1.4217292664482,0.960778761901482,4.36519882724084,0,-0.0215135799718304,0.0568871939784716,0.059083577197225,-0.0358425251770531,585.581514988832,42.9228268706987,635.581523038694,32.9656334176945,33.9181242939504,34.7376122636475,635.32214110191,608.252761933008,0.825000000000003
k2020,struct2020,scaled,0.02,20000,35.435016666539,27.0153731781524,55.2632310123881,5.795,99.405,89.92,82.3,9.485,0.695,8.275,89.41,3,55.5404657713395,2.71845175303772,11.3822558570368,0.699160002011971,0.572936269337721,3.37006715378704,0,-0.0231305521452154,0.0570182272729104,0.0581730172220403,-0.0330586298621914,587.211363373253,42.7592697526896,637.020358857759,32.9655832460321,33.9179628002098,34.7375602328033,626.107205171733,608.252761933008,0.594999999999999
k2020,struct2020,scaled,0.05,20000,35.4003588622436,21.9937575215474,55.2251560747624,5.635,99.4,91.65,83.44,7.75,0.76,8.89,91.075,3,55.2112676056338,2.87663954204505,11.7859041795403,0.764587525150906,0.618077171686521,3.47072264401306,0,-0.0227975011814413,0.0569735929584177,0.0582400349028025,-0.033108729247717,587.101519543895,42.7703718818327,636.924080320183,32.9655951245239,33.9180726103714,34.7375746402024,626.356639750907,608.252761933008,0.599999999999994
k2020,struct2020,scaled,0.078,20000,35.3804970053025,21.9556309932377,55.1956999506569,5.525,99.385,92.43,83.915,6.955,0.8,9.22,91.835,3,55.0887960959904,2.94855018608216,11.9464935924674,0.804950445238215,0.640350151289987,3.53955961566025,0,-0.0227133254492883,0.0569591430605277,0.0582799077581742,-0.0332081628690386,587.032270666267,42.7759962247525,636.861231547743,32.9656334176945,33.9181242939504,34.7376122636475,627.175235632274,608.252761933008,0.614999999999995
k2020,struct2020,scaled,0.1,20000,35.3645728572737,21.9261028581066,55.193711823551,5.51,99.37,92.875,84.16,6.495,0.83,9.43,92.25,3,54.9511925128308,2.99181909950674,11.9945070972675,0.835262151554795,0.655591893543106,3.59057710011553,0,-0.0226029744828616,0.0569540084940787,0.0583067627908895,-0.0332967546428775,586.982512670029,42.7827645523794,636.820564431881,32.9656946404308,33.9181103972486,34.7376692723526,627.574719855086,608.252761933008,0.629999999999996
k2020,struct2020,scaled,0.2,20000,35.3093241304159,21.7854750141269,55.110962400469,5.26,99.32,94.33,84.68,4.99,0.94,10.445,93.625,3,54.6264599275071,3.20361822132878,12.4979176380676,0.94643576318969,0.731010249903485,3.79692553951065,0,-0.0221815073140193,0.0569557129479098,0.0584600881746328,-0.0338779387642753,586.720343514842,42.8066967167977,636.586667678048,32.9662101612594,33.9174874256883,34.7381335663444,629.468502458997,608.252761933008,0.680000000000007
k2020,struct2020,scaled,0.5,20000,35.1591307362542,21.5423498375807,49.9311831391417,4.665,99.135,95.96,83.4,3.175,1.35,13.585,94.94,3,53.744893327281,3.86895610771761,13.9526394086767,1.36177939173854,0.947140910209882,4.36328651382553,0,-0.0214902315457256,0.0570447079559196,0.0592356570986885,-0.0352531841197117,585.733857185068,42.9002052466399,635.702844439403,32.9701178361628,33.9109640989732,34.7415998198023,634.635370451166,608.252761933008,0.865000000000009
