model,resid,lloq,n,extrap_true_median,extrap_true_p95,coverage_lt80_pct,extrap_median,extrap_p95,extrap_gt20_pct,reliable_no_span_pct,reliable_pct,lambda_fail_pct,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,AUClast_logcv,err_inf_sd,d_rel_i_pp,d_rel_i_lo,d_rel_i_hi,d_rel_ii_pp,d_rel_ii_lo,d_rel_ii_hi,d_lz_fail_pp,d_lz_fail_lo,d_lz_fail_hi,d_cov80_pp,d_cov80_lo,d_cov80_hi,d_ext20_pp,d_ext20_lo,d_ext20_hi
k2016,fixed,0.02,20000,0.0291620371767443,2.70638973615609,0,0.278511146089711,9.0737884164514,0.554016620498615,84.235,80.895,0.724999999999994,41.6095017970074,27.0251704896102,56.4086379320361,17.16,40.002168376655,0.0953426804761302,-2.33,-2.80296276905277,-1.85703723094723,0.16,-0.316685151450564,0.636685151450564,-0.735,-0.853382005712204,-0.616617994287796,0,0,0,-0.53,-0.630630109344312,-0.429369890655688
k2016,fixed,0.05,20000,0.502782756310421,3.43891099611606,0,2.26715207707683,11.5129195369489,0.972742932414632,85.955,80.9,1.31,34.9978478439152,21.1780417735921,55.0256598056993,5.035,40.231575691804,0.095817518328104,-0.61,-0.836730342451891,-0.383269657548109,0.165,-0.0573871082862353,0.387387108286235,-0.15,-0.203636893274716,-0.0963631067252836,0,0,0,-0.12,-0.167981502199215,-0.0720184978007854
k2016,fixed,0.078,20000,0.652050053461906,3.6326565403682,0,2.74409890951039,12.148489019961,1.09600162370611,86.565,80.735,1.45999999999999,34.7484493784141,20.9982860189863,49.4546310193138,3.365,40.2983880005355,0.0959327394376631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2016,fixed,0.1,20000,0.689539761671526,3.68940053549277,0,2.84743387449894,12.2947414623866,1.13174989849777,86.915,80.9,1.48,34.7006488351617,20.9783249199158,49.3978505373001,3.205,40.3088846846426,0.0959609641959085,0.35,0.238367409222283,0.461632590777717,0.165,0.0599308946477562,0.270069105352244,0.02,0.000401830256223831,0.0395981697437762,0,0,0,0.035,0.0090760032605107,0.0609239967394893
k2016,fixed,0.2,20000,0.763532037493608,3.91685016432607,0,3.05962428679469,12.7949126861426,1.30041653967286,87.695,81.105,1.57000000000001,34.6457984398585,20.9334727292415,49.3402018665802,3.03,40.3347071117767,0.0960868392020116,1.13,0.938598384361103,1.3214016156389,0.37,0.195315059091175,0.544684940908825,0.11,0.0640589094819774,0.155941090518023,0,0,0,0.2,0.138080959298187,0.261919040701813
k2016,fixed,0.5,20000,1.00402921760323,4.56565790830522,0.005,3.74601109554842,14.3985083170906,1.91602119853241,88,79.77,1.88000000000001,34.4950490803458,20.8060270525049,49.1711198453559,2.635,40.4247042329994,0.0965680211605999,1.435,1.14913334073789,1.72086665926211,-0.965,-1.24888701656203,-0.681112983437975,0.42,0.330369739842864,0.509630260157136,0.005,-0.00479981992270027,0.0147998199227003,0.8,0.676534738553496,0.923465261446504
k2016,scaled,0.02,20000,0.57278492546432,3.43891099611606,0,2.51316624620569,11.6055781163166,0.973186679507324,84.64,79.465,1.35499999999999,34.8163162872661,21.0844687320525,49.5563139743172,3.595,40.2768664503809,0.0958426900641282,-1.925,-2.1576537787407,-1.6923462212593,-1.27,-1.48842808050569,-1.05157191949431,-0.105,-0.149885955644725,-0.0601140443552751,0,0,0,-0.12,-0.169943038538471,-0.070056961461529
k2016,scaled,0.05,20000,0.627702451790879,3.56521574979764,0,2.68044473526713,11.9418679631112,1.04488967791022,86.13,80.54,1.425,34.7643248091918,21.0193526260089,49.4826467086095,3.435,40.290530859487,0.0959058783880833,-0.435,-0.565241922694751,-0.304758077305249,-0.195,-0.319319511528796,-0.0706804884712044,-0.035,-0.0609239967394893,-0.0090760032605107,0,0,0,-0.05,-0.0809827777877794,-0.0190172222122206
k2016,scaled,0.078,20000,0.652050053461906,3.6326565403682,0,2.74409890951039,12.148489019961,1.09600162370611,86.565,80.735,1.45999999999999,34.7484493784141,20.9982860189863,49.4546310193138,3.365,40.2983880005355,0.0959327394376631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2016,scaled,0.1,20000,0.674382015359681,3.67973796519863,0,2.80666475892845,12.25506201887,1.14685882472343,86.86,80.91,1.47,34.724268165417,20.9897898644907,49.4411410786677,3.315,40.3023373451904,0.0959786520885703,0.295,0.186388948334122,0.403611051665878,0.175,0.0672265735241138,0.282773426475886,0.01,-0.00959963984540054,0.0295996398454005,0,0,0,0.05,0.0190172222122206,0.0809827777877794
k2016,scaled,0.2,20000,0.747344785714021,3.91685016432607,0,3.01150297559257,12.792924440226,1.32554596241747,87.725,81.16,1.55,34.6760598591063,20.9417580400361,49.3885644276161,3.175,40.3324483042346,0.0961170382321504,1.16,0.937534468008685,1.38246553199132,0.425,0.200957837338295,0.649042162661705,0.09,0.0400448479284696,0.13995515207153,0,0,0,0.225,0.151076875348324,0.298923124651676
k2016,scaled,0.5,20000,0.98889460726172,4.60455162749063,0,3.72634499059202,14.6294427935008,2.03852818265213,87.81,79.505,1.89,34.5215549031273,20.8151078217663,49.2327509356896,2.765,40.4249356325299,0.0967904552358272,1.245,0.912389210812443,1.57761078918756,-1.23,-1.5994213995869,-0.860578600413101,0.43,0.333167522750186,0.526832477249814,0,0,0,0.92,0.776534546976399,1.0634654530236
