model,resid,lloq,tlast_planned,N,pct
k2016,fixed,0.02,14,41,0.205
k2016,fixed,0.02,21,912,4.56
k2016,fixed,0.02,28,3232,16.16
k2016,fixed,0.02,35,4537,22.685
k2016,fixed,0.02,42,3956,19.78
k2016,fixed,0.02,49,3890,19.45
k2016,fixed,0.02,56,3432,17.16
k2016,fixed,0.05,14,83,0.415
k2016,fixed,0.05,21,1578,7.89
k2016,fixed,0.05,28,5029,25.145
k2016,fixed,0.05,35,6245,31.225
k2016,fixed,0.05,42,4078,20.39
k2016,fixed,0.05,49,1980,9.9
k2016,fixed,0.05,56,1007,5.035
k2016,fixed,0.078,14,93,0.465
k2016,fixed,0.078,21,1784,8.92
k2016,fixed,0.078,28,5518,27.59
k2016,fixed,0.078,35,6519,32.595
k2016,fixed,0.078,42,3846,19.23
k2016,fixed,0.078,49,1567,7.835
k2016,fixed,0.078,56,673,3.365
k2016,fixed,0.1,14,95,0.475
k2016,fixed,0.1,21,1818,9.09
k2016,fixed,0.1,28,5608,28.04
k2016,fixed,0.1,35,6540,32.7
k2016,fixed,0.1,42,3772,18.86
k2016,fixed,0.1,49,1526,7.63
k2016,fixed,0.1,56,641,3.205
k2016,fixed,0.2,14,102,0.51
k2016,fixed,0.2,21,1900,9.5
k2016,fixed,0.2,28,5729,28.645
k2016,fixed,0.2,35,6474,32.37
k2016,fixed,0.2,42,3706,18.53
k2016,fixed,0.2,49,1483,7.415
k2016,fixed,0.2,56,606,3.03
k2016,fixed,0.5,14,128,0.64
k2016,fixed,0.5,21,2138,10.69
k2016,fixed,0.5,28,6017,30.085
k2016,fixed,0.5,35,6391,31.955
k2016,fixed,0.5,42,3433,17.165
k2016,fixed,0.5,49,1366,6.83
k2016,fixed,0.5,56,527,2.635
k2016,scaled,0.02,14,89,0.445
k2016,scaled,0.02,21,1675,8.375
k2016,scaled,0.02,28,5384,26.92
k2016,scaled,0.02,35,6541,32.705
k2016,scaled,0.02,42,3944,19.72
k2016,scaled,0.02,49,1648,8.24
k2016,scaled,0.02,56,719,3.595
k2016,scaled,0.05,14,91,0.455
k2016,scaled,0.05,21,1751,8.755
k2016,scaled,0.05,28,5490,27.45
k2016,scaled,0.05,35,6520,32.6
k2016,scaled,0.05,42,3878,19.39
k2016,scaled,0.05,49,1583,7.915
k2016,scaled,0.05,56,687,3.435
k2016,scaled,0.078,14,93,0.465
k2016,scaled,0.078,21,1784,8.92
k2016,scaled,0.078,28,5518,27.59
k2016,scaled,0.078,35,6519,32.595
k2016,scaled,0.078,42,3846,19.23
k2016,scaled,0.078,49,1567,7.835
k2016,scaled,0.078,56,673,3.365
k2016,scaled,0.1,14,95,0.475
k2016,scaled,0.1,21,1798,8.99
k2016,scaled,0.1,28,5562,27.81
k2016,scaled,0.1,35,6510,32.55
k2016,scaled,0.1,42,3813,19.065
k2016,scaled,0.1,49,1559,7.795
k2016,scaled,0.1,56,663,3.315
k2016,scaled,0.2,14,101,0.505
k2016,scaled,0.2,21,1890,9.45
k2016,scaled,0.2,28,5659,28.295
k2016,scaled,0.2,35,6451,32.255
k2016,scaled,0.2,42,3748,18.74
k2016,scaled,0.2,49,1516,7.58
k2016,scaled,0.2,56,635,3.175
k2016,scaled,0.5,14,127,0.635
k2016,scaled,0.5,21,2136,10.68
k2016,scaled,0.5,28,5945,29.725
k2016,scaled,0.5,35,6374,31.87
k2016,scaled,0.5,42,3465,17.325
k2016,scaled,0.5,49,1400,7
k2016,scaled,0.5,56,553,2.765
k2020,fixed,0.02,14,16,0.08
k2020,fixed,0.02,21,512,2.56
k2020,fixed,0.02,28,2465,12.325
k2020,fixed,0.02,35,4233,21.165
k2020,fixed,0.02,42,4367,21.835
k2020,fixed,0.02,49,4345,21.725
k2020,fixed,0.02,56,4062,20.31
k2020,fixed,0.05,14,32,0.16
k2020,fixed,0.05,21,879,4.395
k2020,fixed,0.05,28,3955,19.775
k2020,fixed,0.05,35,6058,30.29
k2020,fixed,0.05,42,4849,24.245
k2020,fixed,0.05,49,2740,13.7
k2020,fixed,0.05,56,1487,7.435
k2020,fixed,0.078,14,36,0.18
k2020,fixed,0.078,21,988,4.94
k2020,fixed,0.078,28,4338,21.69
k2020,fixed,0.078,35,6423,32.115
k2020,fixed,0.078,42,4819,24.095
k2020,fixed,0.078,49,2291,11.455
k2020,fixed,0.078,56,1105,5.525
k2020,fixed,0.1,14,37,0.185
k2020,fixed,0.1,21,1017,5.085
k2020,fixed,0.1,28,4395,21.975
k2020,fixed,0.1,35,6465,32.325
k2020,fixed,0.1,42,4781,23.905
k2020,fixed,0.1,49,2238,11.19
k2020,fixed,0.1,56,1067,5.335
k2020,fixed,0.2,14,41,0.205
k2020,fixed,0.2,21,1064,5.32
k2020,fixed,0.2,28,4504,22.52
k2020,fixed,0.2,35,6480,32.4
k2020,fixed,0.2,42,4722,23.61
k2020,fixed,0.2,49,2168,10.84
k2020,fixed,0.2,56,1021,5.105
k2020,fixed,0.5,14,54,0.27
k2020,fixed,0.5,21,1232,6.16
k2020,fixed,0.5,28,4750,23.75
k2020,fixed,0.5,35,6535,32.675
k2020,fixed,0.5,42,4518,22.59
k2020,fixed,0.5,49,2006,10.03
k2020,fixed,0.5,56,905,4.525
k2020,scaled,0.02,14,34,0.17
k2020,scaled,0.02,21,936,4.68
k2020,scaled,0.02,28,4223,21.115
k2020,scaled,0.02,35,6401,32.005
k2020,scaled,0.02,42,4902,24.51
k2020,scaled,0.02,49,2345,11.725
k2020,scaled,0.02,56,1159,5.795
k2020,scaled,0.05,14,35,0.175
k2020,scaled,0.05,21,969,4.845
k2020,scaled,0.05,28,4302,21.51
k2020,scaled,0.05,35,6420,32.1
k2020,scaled,0.05,42,4835,24.175
k2020,scaled,0.05,49,2312,11.56
k2020,scaled,0.05,56,1127,5.635
k2020,scaled,0.078,14,36,0.18
k2020,scaled,0.078,21,988,4.94
k2020,scaled,0.078,28,4338,21.69
k2020,scaled,0.078,35,6423,32.115
