lloq,resid,scenario,n_trials,n_mean,lambda_ok_mean,reliable_ii_mean,reliable_i_mean,tlast_median_mean
0.02,fixed,REF,5000,117,116.1868,94.2518,98.167,41.2248076996495
0.02,fixed,S00,5000,117,116.2042,94.3648,98.317,41.2529151909204
0.02,fixed,Vmax_up_080,5000,117,113.392,84.3252,89.473,33.3047608001523
0.02,fixed,Vmax_down_125,5000,117,116.9448,96.9094,103.4294,49.4514281176064
0.02,fixed,F_down_080,5000,117,115.3944,91.4828,95.7734,36.5943425019624
0.05,fixed,REF,5000,117,115.5802,94.384,100.3764,34.9911801269801
0.05,fixed,S00,5000,117,115.6008,94.4,100.4374,34.9937329957952
0.05,fixed,Vmax_up_080,5000,117,110.8458,80.8464,88.783,27.8222507597223
0.05,fixed,Vmax_down_125,5000,117,116.9016,99.3108,107.1044,46.1264909241748
0.05,fixed,F_down_080,5000,117,114.2066,90.0224,96.7316,32.0275401588146
0.078,fixed,REF,5000,117,115.3744,94.1396,100.9444,34.7127502780463
0.078,fixed,S00,5000,117,115.4268,94.191,101.0266,34.7094326900855
0.078,fixed,Vmax_up_080,5000,117,110.1058,78.9968,87.9954,27.569524107944
0.078,fixed,Vmax_down_125,5000,117,116.886,99.9412,108.2724,44.1703909396498
0.078,fixed,F_down_080,5000,117,113.8566,89.1282,96.7824,29.9489164224156
0.1,fixed,REF,5000,117,115.3334,94.2474,101.2684,34.6699589825036
0.1,fixed,S00,5000,117,115.3884,94.3076,101.3704,34.6668540250611
0.1,fixed,Vmax_up_080,5000,117,109.978,78.7742,87.9914,27.5285531721382
0.1,fixed,Vmax_down_125,5000,117,116.8828,100.2342,108.771,43.8955119671707
0.1,fixed,F_down_080,5000,117,113.7822,89.0894,96.983,29.6714981891073
0.2,fixed,REF,5000,117,115.2292,94.5894,102.2622,34.5998822295667
0.2,fixed,S00,5000,117,115.2796,94.6304,102.3726,34.5922048485724
0.2,fixed,Vmax_up_080,5000,117,109.7126,78.5324,88.2596,27.4658321220746
0.2,fixed,Vmax_down_125,5000,117,116.8682,100.7626,109.9904,43.4404856553206
0.2,fixed,F_down_080,5000,117,113.5994,89.0766,97.6872,29.3016691504322
0.5,fixed,REF,5000,117,114.8816,92.9556,102.6154,34.3108201384065
0.5,fixed,S00,5000,117,114.954,92.9766,102.7322,34.2976620576224
0.5,fixed,Vmax_up_080,5000,117,108.962,76.379,87.5142,27.2283286083367
0.5,fixed,Vmax_down_125,5000,117,116.8224,99.1562,110.6402,42.6270532518091
0.5,fixed,F_down_080,5000,117,113.0426,86.5746,97.2456,28.6965589002375
0.02,scaled,REF,5000,117,115.4906,92.6398,98.8556,34.7871560366238
0.02,scaled,S00,5000,117,115.5362,92.6634,98.8984,34.7879483217317
0.02,scaled,Vmax_up_080,5000,117,110.4266,78.519,86.9802,27.6381752236964
0.02,scaled,Vmax_down_125,5000,117,116.8968,97.8488,105.6228,44.7849108813661
0.02,scaled,F_down_080,5000,117,114.0536,87.9674,94.976,30.4921706861484
0.05,scaled,REF,5000,117,115.4106,93.7278,100.3062,34.7371196222833
0.05,scaled,S00,5000,117,115.4624,93.7682,100.3844,34.7348900167878
0.05,scaled,Vmax_up_080,5000,117,110.1952,78.9042,87.7252,27.5873811467824
0.05,scaled,Vmax_down_125,5000,117,116.8894,99.305,107.42,44.3605816154012
0.05,scaled,F_down_080,5000,117,113.9212,88.8054,96.2308,30.1177069619099
0.078,scaled,REF,5000,117,115.3744,94.1396,100.9444,34.7127502780463
0.078,scaled,S00,5000,117,115.4268,94.191,101.0266,34.7094326900855
0.078,scaled,Vmax_up_080,5000,117,110.1058,78.9968,87.9954,27.569524107944
0.078,scaled,Vmax_down_125,5000,117,116.886,99.9412,108.2724,44.1703909396498
0.078,scaled,F_down_080,5000,117,113.8566,89.1282,96.7824,29.9489164224156
0.1,scaled,REF,5000,117,115.3476,94.358,101.319,34.6961668237584
0.1,scaled,S00,5000,117,115.4018,94.4162,101.4132,34.6911716236997
0.1,scaled,Vmax_up_080,5000,117,110.048,79.034,88.1574,27.5555581310905
0.1,scaled,Vmax_down_125,5000,117,116.8834,100.2676,108.7542,44.0370235186958
0.1,scaled,F_down_080,5000,117,113.8106,89.2626,97.079,29.8462277406785
0.2,scaled,REF,5000,117,115.2502,94.7316,102.3422,34.6330265176758
0.2,scaled,S00,5000,117,115.296,94.7452,102.4528,34.6136027865451
0.2,scaled,Vmax_up_080,5000,117,109.7754,78.8332,88.4668,27.4981197360911
0.2,scaled,Vmax_down_125,5000,117,116.8674,100.8066,109.9808,43.5680422235938
0.2,scaled,F_down_080,5000,117,113.6212,89.2718,97.7914,29.4277745064598
0.5,scaled,REF,5000,117,114.8884,92.8572,102.5288,34.3530507884627
0.5,scaled,S00,5000,117,114.9524,92.9304,102.6734,34.3397174165691
0.5,scaled,Vmax_up_080,5000,117,109.0058,76.5334,87.6064,27.2698668663054
0.5,scaled,Vmax_down_125,5000,117,116.8144,98.807,110.4396,42.6852047776415
0.5,scaled,F_down_080,5000,117,113.0504,86.528,97.187,28.7503986005019
