scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi
S00,0.02,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.05,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.078,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.1,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.2,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.5,fixed,M0,AUCinf_true_only,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.02,fixed,M0,AUClast_only,5000,4981,99.62,99.4072271440611,99.7565861149114,0.1,0.012382820875342,0.187617179124658
S00,0.05,fixed,M0,AUClast_only,5000,4977,99.54,99.3106612938181,99.6932747974656,0.02,-0.0478996711420279,0.0878996711420279
S00,0.078,fixed,M0,AUClast_only,5000,4976,99.52,99.2867448872545,99.6772219121071,0,0,0
S00,0.1,fixed,M0,AUClast_only,5000,4976,99.52,99.2867448872545,99.6772219121071,0,0,0
S00,0.2,fixed,M0,AUClast_only,5000,4977,99.54,99.3106612938181,99.6932747974656,0.02,-0.0478996711420279,0.0878996711420279
S00,0.5,fixed,M0,AUClast_only,5000,4975,99.5,99.2629076527497,99.6610898546897,-0.02,-0.107659267360122,0.0676592673601224
S00,0.02,fixed,M0,G2_Aii,5000,4934,98.68,98.3242014187934,98.9610551198359,-0.44,-0.711333728958056,-0.168666271041944
S00,0.05,fixed,M0,G2_Aii,5000,4952,99.04,98.7295713029105,99.2751324903183,-0.08,-0.215785760765283,0.0557857607652828
S00,0.078,fixed,M0,G2_Aii,5000,4956,99.12,98.8207847049149,99.3437962560027,0,0,0
S00,0.1,fixed,M0,G2_Aii,5000,4958,99.16,98.8665849834927,99.3779345612694,0.04,-0.0839664452659035,0.163966445265904
S00,0.2,fixed,M0,G2_Aii,5000,4963,99.26,98.9817257800601,99.4626402243129,0.14,0.0100356262656375,0.269964373734363
S00,0.5,fixed,M0,G2_Aii,5000,4962,99.24,98.9586190314605,99.4457776809903,0.12,-0.0798702027652095,0.31987020276521
S00,0.02,fixed,M0,G2_B,5000,4982,99.64,99.431626626336,99.7721559245587,-0.14,-0.243649287572705,-0.036350712427295
S00,0.05,fixed,M0,G2_B,5000,4987,99.74,99.555641710489,99.8479873000167,-0.04,-0.118398559381602,0.0383985593816021
S00,0.078,fixed,M0,G2_B,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.1,fixed,M0,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.02,-0.0591992796908011,0.0191992796908011
S00,0.2,fixed,M0,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.02,-0.0591992796908011,0.0191992796908011
S00,0.5,fixed,M0,G2_B,5000,4986,99.72,99.5305274261626,99.8331322924209,-0.06,-0.147645240193995,0.027645240193995
S00,0.02,fixed,M0,P2,5000,4980,99.6,99.3829382389288,99.7409057281215,0.1,0.012382820875342,0.187617179124658
S00,0.05,fixed,M0,P2,5000,4976,99.52,99.2867448872545,99.6772219121071,0.02,-0.0478996711420279,0.0878996711420279
S00,0.078,fixed,M0,P2,5000,4975,99.5,99.2629076527497,99.6610898546897,0,0,0
