lambda_fail,rsq,extrap,span,pct,model
FALSE,FALSE,FALSE,FALSE,80.33,base
FALSE,TRUE,FALSE,FALSE,9.81,base
FALSE,FALSE,FALSE,TRUE,6.01,base
TRUE,FALSE,FALSE,FALSE,1.34,base
FALSE,TRUE,FALSE,TRUE,1.325,base
FALSE,TRUE,TRUE,TRUE,0.61,base
FALSE,FALSE,TRUE,TRUE,0.57,base
FALSE,FALSE,TRUE,FALSE,0.005,base
FALSE,FALSE,FALSE,FALSE,83.59,struct2020
FALSE,FALSE,FALSE,TRUE,7.76,struct2020
FALSE,TRUE,FALSE,FALSE,6.64,struct2020
FALSE,FALSE,TRUE,TRUE,0.67,struct2020
TRUE,FALSE,FALSE,FALSE,0.615,struct2020
FALSE,TRUE,FALSE,TRUE,0.61,struct2020
FALSE,TRUE,TRUE,TRUE,0.11,struct2020
FALSE,FALSE,TRUE,FALSE,0.005,struct2020
