area,item,old,new,diff,unit
개인 B0 (base),reliable_pct,86.63,80.735,-5.895,""
개인 B0 (base),lambda_ok_pct,98.555,98.54,-0.0150000000000006,""
개인 B0 (base),extrap_median,2.71439268269691,2.74409890951039,0.02970622681348,""
개인 B0 (base),extrap_gt20_pct,1.08568819440921,1.09600162370611,0.0103134292969,""
개인 B0 (base),tlast_median,34.7725768801756,34.7484493784141,-0.0241275017614981,""
개인 B0 (base),AUClast_geo,546.039874555709,545.879959748195,-0.159914807514042,""
개인 B0 (base),extrap_true_median,0.640601750827202,0.652050053461906,0.011448302634704,""
개인 B0 (struct2020),reliable_pct,91.875,83.915,-7.95999999999999,""
개인 B0 (struct2020),lambda_ok_pct,99.39,99.385,-0.00499999999999545,""
개인 B0 (struct2020),extrap_median,2.92391085891619,2.94855018608216,0.02463932716597,""
개인 B0 (struct2020),extrap_gt20_pct,0.784787201931784,0.804950445238215,0.020163243306431,""
개인 B0 (struct2020),tlast_median,35.4053079634905,35.3804970053025,-0.0248109581879987,""
개인 B0 (struct2020),AUClast_geo,587.154384301809,587.032270666267,-0.122113635542064,""
개인 B0 (struct2020),extrap_true_median,0.633061265474538,0.640350151289987,0.00728888581544895,""
일정 판정 D3 (base),(a) CI 폭 상대 감소 %,-0.0607439101301566,-0.128432702940717,-0.0676887928105604,""
일정 판정 D3 (base),(c) 신뢰 충족 증가 %p,2.89,1.69,-1.2,""
일정 판정 D3 (base),(d) 외삽 20% 초과 비,0.59028357131303,0.598722744752727,0.00843917343969702,""
일정 판정 D3 (base),권고(1 = 추가 채혈),0,0,0,""
일정 판정 Bminus (base),(a) CI 폭 상대 감소 %,0.661975978407103,0.685158972985667,0.023182994578564,""
일정 판정 Bminus (base),(c) 신뢰 충족 증가 %p,-0.065,-1.815,-1.75,""
일정 판정 Bminus (base),(d) 외삽 20% 초과 비,1.29458955896273,1.2871676609117,-0.00742189805103011,""
일정 판정 Bminus (base),권고(1 = 추가 채혈),0,0,0,""
일정 판정 D3 (struct2020),(a) CI 폭 상대 감소 %,0.106863734538509,0.0569693833152196,-0.0498943512232894,""
일정 판정 D3 (struct2020),(c) 신뢰 충족 증가 %p,1.3,-1.935,-3.235,""
일정 판정 D3 (struct2020),(d) 외삽 20% 초과 비,0.671118733794296,0.685568529574074,0.014449795779778,""
일정 판정 D3 (struct2020),권고(1 = 추가 채혈),0,0,0,""
일정 판정 Bminus (struct2020),(a) CI 폭 상대 감소 %,0.849357830064812,0.869579481832705,0.020221651767893,""
일정 판정 Bminus (struct2020),(c) 신뢰 충족 증가 %p,0.735,-3.18,-3.915,""
일정 판정 Bminus (struct2020),(d) 외삽 20% 초과 비,1.31436705088209,1.29394529284492,-0.0204217580371699,""
일정 판정 Bminus (struct2020),권고(1 = 추가 채혈),0,0,0,""
일정 판정 D3 (vmax080_both),(a) CI 폭 상대 감소 %,0.398683100414532,0.370468609872598,-0.028214490541934,""
일정 판정 D3 (vmax080_both),(c) 신뢰 충족 증가 %p,2.69,-0.88,-3.57,""
일정 판정 D3 (vmax080_both),(d) 외삽 20% 초과 비,0.481580365265884,0.487589837193006,0.00600947192712203,""
일정 판정 D3 (vmax080_both),권고(1 = 추가 채혈),1,1,0,""
일정 판정 Bminus (vmax080_both),(a) CI 폭 상대 감소 %,1.00054261598207,1.0188154745029,0.0182728585208298,""
일정 판정 Bminus (vmax080_both),(c) 신뢰 충족 증가 %p,-0.11,-3.375,-3.265,""
일정 판정 Bminus (vmax080_both),(d) 외삽 20% 초과 비,2.48285083074999,2.45398049692947,-0.0288703338205201,""
일정 판정 Bminus (vmax080_both),권고(1 = 추가 채혈),0,0,0,""
일정 판정 D3 (vmax125_both),(a) CI 폭 상대 감소 %,-0.488705975332704,-0.596427943251232,-0.107721967918528,""
일정 판정 D3 (vmax125_both),(c) 신뢰 충족 증가 %p,2.765,2.945,0.18,""
일정 판정 D3 (vmax125_both),(d) 외삽 20% 초과 비,0.770793912913843,0.794722590426501,0.0239286775126579,""
일정 판정 D3 (vmax125_both),권고(1 = 추가 채혈),0,0,0,""
일정 판정 Bminus (vmax125_both),(a) CI 폭 상대 감소 %,0.206835531313709,0.237950236814211,0.031114705500502,""
일정 판정 Bminus (vmax125_both),(c) 신뢰 충족 증가 %p,-0.145,-0.64,-0.495,""
일정 판정 Bminus (vmax125_both),(d) 외삽 20% 초과 비,1.0467615390423,1.04267729089112,-0.00408424815118003,""
일정 판정 Bminus (vmax125_both),권고(1 = 추가 채혈),0,0,0,""
제품 500회 (base),S00 AUClast 통과율 %,100,100,0,""
제품 500회 (base),S00 AUCinf_reliable 통과율 %,99.8,98.8,-1,""
제품 500회 (base),S00 AUCinf_all 통과율 %,100,100,0,""
제품 500회 (base),S00 Cmax 통과율 %,100,100,0,""
제품 500회 (base),F090 AUClast 통과율 %,23,23,0,""
제품 500회 (base),F090 AUCinf_reliable 통과율 %,33.4,34.8,1.4,""
제품 500회 (base),F090 AUCinf_all 통과율 %,33.2,33.4,0.199999999999996,""
제품 500회 (base),F090 Cmax 통과율 %,72.8,72.8,0,""
