metric,sim,ref,rel_diff_pct
AUClast_geo,544.476276660748,546,-0.279070208654231
AUClast_logcv_pct,40.1341727791649,40.4,-0.657988170383927
Cmax_logcv_pct,34.0319565285322,34.4,-1.06989381240652
tlast_median,35,35,0
tlast_p05,21,21,0
tlast_p95,49,49,0
quant_at_day56_pct,3.46,3.6,-3.8888888888889
lambda_ok_pct,98.455,98.7,-0.248226950354613
reliable_pct,85.915,86.4,-0.561342592592606
n_lambda_median,3,3,0
extrap_median_pct,2.80540091634235,2.7,3.90373764230942
extrap_p95_pct,11.8693481450575,11.9,-0.25757861296245
extrap_gt20_pct,0.883652430044183,1,-11.6347569955817
extrap_true_median_pct,0.672876238373393,0.65,3.51942128821434
extrap_true_p95_pct,3.44817114796454,3.3,4.49003478680436
coverage_lt80_pct,0,0,
