item,type,ratio,cv,pass_mean,pass_cv
clot300_japanese_TDU12265,dataset,1.00306113573369,39.6810563327867,TRUE,TRUE
clot300_chinese,dataset,0.938981917663443,40.847778253601,TRUE,TRUE
clot600_chinese,dataset,0.975898801913056,36.0798591962185,TRUE,TRUE
clot600_japanese,dataset,1.06830609629474,36.0329359663004,TRUE,TRUE
PKM12350 test,Li 2020 arm,1.1717283971865,41.2187484721895,FALSE,TRUE
PKM12350 reference,Li 2020 arm,1.14243518725684,41.2187484721895,TRUE,TRUE
PKM14161 test,Li 2020 arm,0.972217886494794,41.6770788951826,TRUE,TRUE
PKM14161 reference,Li 2020 arm,0.992507651082512,41.6770788951826,TRUE,TRUE
Clot 300 mg 코호트 tlast,cohort tlast,,,TRUE,
Clot 600 mg 코호트 tlast,cohort tlast,,,TRUE,
