model,weight_mean,study,arm,obs,sim,ratio,within_15
k2016,70,PKM12350,test,487.5,638.482834539644,1.30970837854286,FALSE
k2016,70,PKM12350,reference,500,638.482834539644,1.27696566907929,FALSE
k2016,70,PKM14161,test,587,636.210591662823,1.08383405734723,TRUE
k2016,70,PKM14161,reference,575,636.210591662823,1.10645320289187,TRUE
k2016,70,HV-1108,test,630,634.930432669946,1.00782608360309,TRUE
k2016,70,HV-1108,reference,530,634.930432669946,1.19798194843386,FALSE
k2016,74,PKM12350,test,487.5,598.891394732062,1.22849516868115,FALSE
k2016,74,PKM12350,reference,500,598.891394732062,1.19778278946412,FALSE
k2016,74,PKM14161,test,587,597.408201666794,1.017731178308,TRUE
k2016,74,PKM14161,reference,575,597.408201666794,1.03897078550747,TRUE
k2016,74,HV-1108,test,630,597.028066900181,0.947663598254255,TRUE
k2016,74,HV-1108,reference,530,597.028066900181,1.12646805075506,TRUE
k2016,78,PKM12350,test,487.5,564.89539470511,1.15875978401048,FALSE
k2016,78,PKM12350,reference,500,564.89539470511,1.12979078941022,TRUE
k2016,78,PKM14161,test,587,562.77084271624,0.958723752497854,TRUE
k2016,78,PKM14161,reference,575,562.77084271624,0.97873190037607,TRUE
k2016,78,HV-1108,test,630,558.527298410063,0.88655126731756,TRUE
k2016,78,HV-1108,reference,530,558.527298410063,1.05382509133974,TRUE
k2016,82,PKM12350,test,487.5,537.035902448086,1.10161210758582,TRUE
k2016,82,PKM12350,reference,500,537.035902448086,1.07407180489617,TRUE
k2016,82,PKM14161,test,587,530.350391250369,0.903493000426522,TRUE
k2016,82,PKM14161,reference,575,530.350391250369,0.92234850652238,TRUE
k2016,82,HV-1108,test,630,532.914146587912,0.845895470774463,FALSE
k2016,82,HV-1108,reference,530,532.914146587912,1.00549838978851,TRUE
k2016,86,PKM12350,test,487.5,507.677178382852,1.04138908386226,TRUE
k2016,86,PKM12350,reference,500,507.677178382852,1.0153543567657,TRUE
k2016,86,PKM14161,test,587,508.04952979084,0.865501754328517,TRUE
k2016,86,PKM14161,reference,575,508.04952979084,0.883564399636243,TRUE
k2016,86,HV-1108,test,630,504.199486096775,0.800316644598056,FALSE
k2016,86,HV-1108,reference,530,504.199486096775,0.951319785088255,TRUE
k2016,90,PKM12350,test,487.5,484.160915867241,0.993150596650751,TRUE
k2016,90,PKM12350,reference,500,484.160915867241,0.968321831734482,TRUE
k2016,90,PKM14161,test,587,481.300784964147,0.819933194146758,FALSE
k2016,90,PKM14161,reference,575,481.300784964147,0.837044843415908,FALSE
k2016,90,HV-1108,test,630,483.588723706914,0.767601148741133,FALSE
k2016,90,HV-1108,reference,530,483.588723706914,0.912431554163988,TRUE
