model,weight_mean,study,arm,obs,sim,ratio,within_15
k2020,70,PKM12350,test,487.5,691.509584177985,1.41848119831382,FALSE
k2020,70,PKM12350,reference,500,691.509584177985,1.38301916835597,FALSE
k2020,70,PKM14161,test,587,690.154941350578,1.17573243841666,FALSE
k2020,70,PKM14161,reference,575,690.154941350578,1.2002694632184,FALSE
k2020,70,HV-1108,test,630,688.357558967013,1.09263104597939,TRUE
k2020,70,HV-1108,reference,530,688.357558967013,1.29878784710757,FALSE
k2020,74,PKM12350,test,487.5,650.154542782866,1.33365034416998,FALSE
k2020,74,PKM12350,reference,500,650.154542782866,1.30030908556573,FALSE
k2020,74,PKM14161,test,587,648.069163748217,1.10403605408555,TRUE
k2020,74,PKM14161,reference,575,648.069163748217,1.12707680651864,TRUE
k2020,74,HV-1108,test,630,647.273165231429,1.02741772258957,TRUE
k2020,74,HV-1108,reference,530,647.273165231429,1.22127012307817,FALSE
k2020,78,PKM12350,test,487.5,612.973853903867,1.25738226441819,FALSE
k2020,78,PKM12350,reference,500,612.973853903867,1.22594770780773,FALSE
k2020,78,PKM14161,test,587,611.73060003273,1.04213049409324,TRUE
k2020,78,PKM14161,reference,575,611.73060003273,1.06387930440475,TRUE
k2020,78,HV-1108,test,630,605.877989497316,0.961711094440184,TRUE
k2020,78,HV-1108,reference,530,605.877989497316,1.14316601791946,TRUE
k2020,82,PKM12350,test,487.5,583.947530224184,1.19784108763935,FALSE
k2020,82,PKM12350,reference,500,583.947530224184,1.16789506044837,FALSE
k2020,82,PKM14161,test,587,575.934268939353,0.981148669402646,TRUE
k2020,82,PKM14161,reference,575,575.934268939353,1.0016248155467,TRUE
k2020,82,HV-1108,test,630,578.283817876939,0.917910822026887,TRUE
k2020,82,HV-1108,reference,530,578.283817876939,1.09110154316404,TRUE
k2020,86,PKM12350,test,487.5,552.088761513209,1.13248976720658,TRUE
k2020,86,PKM12350,reference,500,552.088761513209,1.10417752302642,TRUE
k2020,86,PKM14161,test,587,552.597756658173,0.941393111853787,TRUE
k2020,86,PKM14161,reference,575,552.597756658173,0.961039576796822,TRUE
k2020,86,HV-1108,test,630,548.698882012451,0.870950606368969,TRUE
k2020,86,HV-1108,reference,530,548.698882012451,1.03528090945745,TRUE
k2020,90,PKM12350,test,487.5,525.955313393839,1.07888269414121,TRUE
k2020,90,PKM12350,reference,500,525.955313393839,1.05191062678768,TRUE
k2020,90,PKM14161,test,587,523.768625593105,0.892280452458441,TRUE
k2020,90,PKM14161,reference,575,523.768625593105,0.910901957553225,TRUE
k2020,90,HV-1108,test,630,526.108577742327,0.835092980543377,FALSE
k2020,90,HV-1108,reference,530,526.108577742327,0.992657693853447,TRUE
