schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
Bminus,F090,500,0.00457374876867452,0.00440165692461099,0.00474584061273805,0.799999999999998,6,-0.158577483179434,1.75857748317943
D1,F090,500,-0.003179241350926,-0.00333956625253061,-0.00301891644932139,-1.2,6,-2.15535969134283,-0.244640308657166
D2,F090,500,-0.00345541909294619,-0.00363326564788885,-0.00327757253800354,-1.2,6,-2.15535969134283,-0.244640308657166
D3,F090,500,-0.0014312655822846,-0.00170053861662569,-0.00116199254794351,-1.6,8,-2.70091897915218,-0.499081020847819
D4,F090,500,-0.00323817481851027,-0.00338256862605158,-0.00309378101096896,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
Bminus,KE110,500,0.00547038915618129,0.00529615275548699,0.00564462555687559,0.2,1,-0.191992796908011,0.591992796908011
D1,KE110,500,-0.00335162722130151,-0.00350742238905645,-0.00319583205354656,-0.2,1,-0.591992796908011,0.191992796908011
D2,KE110,500,-0.0037240190444558,-0.00389607774444523,-0.00355196034446638,-0.4,2,-0.953805778693159,0.153805778693158
D3,KE110,500,-0.000873557718267442,-0.00114806576048769,-0.000599049676047197,-0.2,1,-0.591992796908011,0.191992796908011
D4,KE110,500,-0.00342238309937382,-0.00356956892441496,-0.00327519727433268,0,2,-0.554916724200239,0.554916724200239
Bminus,S00,500,0.00661397271653873,0.00643256579076947,0.00679537964230799,0.2,1,-0.191992796908011,0.591992796908011
D1,S00,500,-0.00356043219542672,-0.00372352918528341,-0.00339733520557003,0,0,0,0
D2,S00,500,-0.0040547145989572,-0.00423354458890323,-0.00387588460901116,0,0,0,0
D3,S00,500,-0.000611774857565503,-0.000897818668485463,-0.000325731046645544,0,0,0,0
D4,S00,500,-0.00366384737499296,-0.00381882654308942,-0.0035088682068965,0,0,0,0
Bminus,VM125,500,0.00283810743428501,0.00270269386213958,0.00297352100643044,1.4,7,0.369138563229337,2.43086143677066
D1,VM125,500,-0.00219502667276968,-0.00233830674563849,-0.00205174659990087,-1.4,7,-2.43086143677066,-0.369138563229337
D2,VM125,500,-0.00229782082205473,-0.00246214306775342,-0.00213349857635605,-1.8,9,-2.96651362201754,-0.633486377982455
D3,VM125,500,-0.00162398881982676,-0.00187023679802996,-0.00137774084162357,-0.600000000000001,5,-1.47581963545906,0.275819635459057
D4,VM125,500,-0.0021679864796736,-0.00230893689798156,-0.00202703606136565,-1.4,7,-2.43086143677066,-0.369138563229337
