scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F085,B0,500,0.4,98,99.4,0.2,1.8,0.860816724408572,0.963820967745504,-0.0245627641957999,0.0270438890891804
F090,B0,500,22.2,85.6,87.8,2,12.4,0.872302952539122,0.963547527782698,-0.0156497371508089,0.0261113154519643
F110,B0,500,39.4,83.2,89.6,3.6,13.2,0.900679796311858,0.963534496426605,0.0119309587605641,0.0224614091313256
KA075,B0,500,64,96.6,97.4,0.4,3,0.871349052667303,0.965816266533254,-0.0185244590942677,0.0264129295443373
KE110,B0,500,96,95.6,97.6,2.8,1.6,0.88499762999803,0.963487239381956,-0.00140989997908523,0.0247312227432279
KE120,B0,500,76.8,87.6,92.6,6.8,5.6,0.882323466585458,0.963057012587667,-0.00256278339304292,0.0248221057765683
KM05,B0,500,100,99.8,100,0.2,0,0.886696106482328,0.963712741468839,-0.000797420387189884,0.0243935455034016
KM10,B0,500,99.6,99.2,99.4,0.4,0.4,0.889456287802174,0.963376385679832,0.0210731789756253,0.0241874717787451
KM2,B0,500,100,99.6,100,0.4,0,0.886167255919835,0.963667890272346,0.00195932141656534,0.0244284553056771
KM5,B0,500,99.8,99.4,99.8,0.4,0.2,0.886934692094823,0.963617306528249,0.00895661569261344,0.024549233428202
S00,B0,500,100,99.8,100,0.2,0,0.884128875777471,0.963722956337369,0.000114519446936027,0.024720216655895
VM080,B0,500,57.8,82.6,87,1.2,16.2,0.903864678109344,0.963280978369236,0.0234688305139989,0.0220343614381043
VM125,B0,500,36.8,73,72.6,0.6,26.4,0.854871945513811,0.964040007314436,-0.0348307272949267,0.0276837587718771
VM150,B0,500,0,96.2,98.2,0,3.8,0.814513761976006,0.965449332616288,-0.0729846832602716,0.0321783557099453
