scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F085,B0,500,0.4,98.4,99.6,0,1.6,0.894522048323269,0.988624921273552,-0.0229856623650215,0.0249370174486042
F090,B0,500,21.8,87,90,1.2,11.8,0.907463033996114,0.988662224506969,-0.0141304766828287,0.0232020618185955
F097,B0,500,94,96.6,97.4,1.4,2,0.91894538222027,0.988780958013278,-0.00310317212028682,0.0213448216910755
F110,B0,500,37.6,85.8,90.4,2.8,11.4,0.928172785686075,0.988331624895484,0.00987777193029671,0.0200835720789293
KA075,B0,500,69.2,95.2,95.8,0.6,4.2,0.908707327595793,0.9891518497164,-0.0168193636615498,0.0236046411959536
KE110,B0,500,92.2,94.2,96.6,2.8,3,0.920115512358304,0.988680250261346,-0.000968191384797424,0.0210308699056763
KE120,B0,500,70.8,89.4,93.4,4.2,6.4,0.919315274653006,0.988339514595821,-0.00246610751496193,0.0211949408015041
KM05,B0,500,99,99.4,99.2,0.2,0.4,0.924215941626131,0.98867002661445,-0.000831118658519911,0.020731163657395
KM10,B0,500,99.4,98.4,99.4,1,0.6,0.921526969191539,0.988542464505342,0.0158461028101913,0.0213471755699556
KM2,B0,500,99,99,99.2,0.2,0.8,0.920238048012477,0.988614984632777,0.00205376021317387,0.0212802743046952
KM5,B0,500,99.2,99,99.2,0.4,0.6,0.920057306555405,0.988560887349306,0.00655042908100822,0.0215461975666249
S00,B0,500,99,99.2,99.2,0.2,0.6,0.921484058033373,0.98864335929761,0.000144636140378357,0.0211658607319149
VM080,B0,500,55.2,84.2,88.6,0.6,15.2,0.9322694304263,0.988202697386725,0.0184864335188816,0.0191448989207359
VM125,B0,500,35.2,73.2,77.4,1,25.8,0.887754420990008,0.988826689078475,-0.0321679859999397,0.0257859585935912
VM150,B0,500,0.2,96,98.8,0,4,0.860744492151571,0.989218869950704,-0.0680220334615185,0.0295622321802618
