scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
KE110,B0,500,94.6,94,96.6,3,3,0.811101431417324,0.968518228065428,-0.0013954256234866,0.032108640802276
KE110,Bminus,500,94.4,94,96.8,2.8,3.2,0.815099373038139,0.968601029700592,-0.00117091643895195,0.0317251520655943
KE110,D1,500,94.2,95,96.6,1.4,3.6,0.819373648256712,0.968673443332383,-0.00214752530884461,0.03130635424408
KE110,D2,500,94.2,94.4,96.6,2.2,3.4,0.82069229128594,0.968331546254473,-0.00211681179615977,0.0311929147186279
KE110,D3,500,93.8,94.4,96.2,1.6,4,0.84014727637584,0.968616885333926,-0.00304248582930368,0.0291085869497605
KE110,D4,500,94.2,93.8,96.4,2.8,3.4,0.815043444181993,0.968844119651874,-0.00219990123028917,0.0314484340291631
S00,B0,500,99.4,99,99.6,0.6,0.4,0.813906495316865,0.969337583981262,0.000119541294529414,0.0320307225385929
S00,Bminus,500,99.4,99.2,99.4,0.4,0.4,0.813611940167395,0.96946448040215,1.51572577224986e-05,0.0320509972917641
S00,D1,500,99.4,99.6,99.6,0,0.4,0.819029412310856,0.969515557342701,-0.000116027124275202,0.03138819061946
S00,D2,500,99.4,99.6,99.6,0,0.4,0.819333645382,0.969123804710325,8.31217544411038e-05,0.0313922849421854
S00,D3,500,99.4,99.2,99.6,0.4,0.4,0.833806260633576,0.969371666046323,-0.000472894256853116,0.0297971735839509
S00,D4,500,99.4,99.4,99.6,0.2,0.4,0.8138995005439,0.969559197329087,0.000238048371877547,0.0318537992542006
