scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,77.2,0.884012168967555,0.0383875462800585,0.0432962292584603,12.4092402108433,13.8648337958018,117,117
F090,B0,AUClast,500,23,0.841471004482543,0.0452259563388705,0.0536820822978203,14.5992827292454,16.4423229619438,117,117
F090,B0,AUCinf_all,500,32,0.848933183293025,0.0436846879875079,0.0513896690672827,13.9916457900869,15.7545915229081,116.214,115.762
F090,B0,AUCinf_reliable,500,32.4,0.851542520553752,0.0450581503139814,0.0528470143593035,14.4152294823317,16.3342341367972,107.258,105.348
F090,B0,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,B0,AUCinf_subC,500,25.6,0.844406295198698,0.0445771789245982,0.0527782898939484,14.3728472490074,16.2164227066976,117,117
F090,Bminus,Cmax,500,77.2,0.884012168967555,0.0383875462800585,0.0432962292584603,12.4092402108433,13.8648337958018,117,117
F090,Bminus,AUClast,500,24,0.842385245633077,0.0449264383196617,0.0532794281205554,14.5079642691308,16.3646168567066,117,117
F090,Bminus,AUCinf_all,500,30,0.847524636759293,0.0442359776319019,0.0521176592532842,14.1560281126277,15.8913048526271,116.208,115.748
F090,Bminus,AUCinf_reliable,500,30.4,0.850079706654745,0.0455406730522048,0.0534511024361492,14.5266963639872,16.3693572105423,108.232,106.01
F090,Bminus,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,Bminus,AUCinf_subC,500,24.4,0.843136898105824,0.0450225718945929,0.0533542239810845,14.5134132108267,16.4344399279961,117,117
F090,D1,Cmax,500,77.2,0.884012168967555,0.0383875462800585,0.0432962292584603,12.4092402108433,13.8648337958018,117,117
F090,D1,AUClast,500,23,0.841081719741098,0.0453450773814178,0.0538475873213111,14.642829117818,16.4854485935744,117,117
F090,D1,AUCinf_all,500,32.8,0.849377343232207,0.0435101586930988,0.0511573036370803,13.9307768105823,15.629537451543,116.242,115.78
F090,D1,AUCinf_reliable,500,30.2,0.851304615271415,0.0445683654517518,0.0523000518095332,14.4268730779368,16.3729550341009,107.146,104.964
F090,D1,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,D1,AUCinf_subC,500,26.4,0.844873885756037,0.0443534279078553,0.0524702211752578,14.3018581388975,16.1464460035491,117,117
F090,D2,Cmax,500,77.2,0.884012168967555,0.0383875462800585,0.0432962292584603,12.4092402108433,13.8648337958018,117,117
F090,D2,AUClast,500,23,0.841022600087339,0.0453713278358347,0.0538856923400973,14.650330145857,16.4918144927549,117,117
F090,D2,AUCinf_all,500,33.4,0.849605517553517,0.0434449803034365,0.0510698705563421,13.910073109256,15.6230913026336,116.242,115.782
F090,D2,AUCinf_reliable,500,31.4,0.851641206077254,0.044537976923495,0.0522315769371671,14.4128233493431,16.3699899017934,106.776,104.722
F090,D2,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,D2,AUCinf_subC,500,26.6,0.845119562088429,0.0442651784279541,0.0523540343241828,14.2814977591617,16.1170831971119,117,117
F090,D3,Cmax,500,77.2,0.884010093103768,0.0383873844044134,0.0432959097150632,12.4090782955317,13.8648337958018,117,117
F090,D3,AUClast,500,23,0.841428550305431,0.0451977018385684,0.0536613516371156,14.6007346030877,16.44380682822,117,117
F090,D3,AUCinf_all,500,30.4,0.847997670991108,0.0440111709636864,0.0518027293453239,14.0413248983178,15.738539805505,116.542,116.196
F090,D3,AUCinf_reliable,500,31.6,0.851361091394296,0.0444914509786886,0.0521643199569672,14.3587169150127,16.138038532727,108.964,107.058
F090,D3,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,D3,AUCinf_subC,500,25.6,0.844147425769149,0.04448447504312,0.0526360387459542,14.3529072126354,16.1944556522173,117,117
F090,D4,Cmax,500,77.2,0.884012168967555,0.0383875462800585,0.0432962292584603,12.4092402108433,13.8648337958018,117,117
F090,D4,AUClast,500,22.8,0.841105412544905,0.0453894358614894,0.0538926771915562,14.6436723921503,16.4994963481944,117,117
F090,D4,AUCinf_all,500,32.8,0.849348371470286,0.0434536941293341,0.0510881102902604,13.9240317626168,15.6546101588772,116.244,115.788
F090,D4,AUCinf_reliable,500,30.6,0.85061653526752,0.0446613924126815,0.0523712821577421,14.501256233224,16.41098902508,106.35,104.082
F090,D4,AUCinf_true,500,26.6,0.843756902648831,0.0436303625893444,0.0516428147291231,14.1159326235912,15.8407204903722,117,117
F090,D4,AUCinf_subC,500,27,0.844895492571902,0.044332679310885,0.0524483652468601,14.2963388582739,16.0934215396097,117,117
KE110,B0,Cmax,500,100,0.982799913475251,0.0422868701888994,0.0429009632926445,13.6659688624599,15.2581500777374,117,117
KE110,B0,AUClast,500,93.2,0.947882257467814,0.0501353288025194,0.0528115879574912,16.15724142105,18.2153569928102,117,117
KE110,B0,AUCinf_all,500,94.4,0.948604335345473,0.048390971165902,0.0509832132229868,15.4418336972971,17.3256235451594,116.214,116.218
KE110,B0,AUCinf_reliable,500,94.4,0.948226859435477,0.0492725551743664,0.0518952948434707,15.8081342458745,17.8159337555512,107.258,107.402
KE110,B0,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,B0,AUCinf_subC,500,93.8,0.948371676903459,0.0493281043148316,0.0519946154785314,15.8476665058973,17.916651566872,117,117
KE110,Bminus,Cmax,500,100,0.982799913475251,0.0422868701888994,0.0429009632926445,13.6659688624599,15.2581500777374,117,117
KE110,Bminus,AUClast,500,94.6,0.948582338103281,0.0497510244020918,0.0523786463400521,16.0418138335077,18.0444336340266,117,117
KE110,Bminus,AUCinf_all,500,94,0.947525276522556,0.0490834941844945,0.0517614781756184,15.6380541292875,17.5499417086477,116.208,116.204
KE110,Bminus,AUCinf_reliable,500,94.4,0.947104150263314,0.0498399594809526,0.0524802693130129,15.9431203974076,17.9415110147124,108.232,108.202
KE110,Bminus,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,Bminus,AUCinf_subC,500,93.6,0.947549516227349,0.0498491019317298,0.0525593805992948,16.0238899503745,18.1353104991631,117,117
KE110,D1,Cmax,500,100,0.982799913475251,0.0422868701888994,0.0429009632926445,13.6659688624599,15.2581500777374,117,117
KE110,D1,AUClast,500,93.2,0.947601221798261,0.0502801430892435,0.0529804768418884,16.2043564541602,18.2687440364953,117,117
KE110,D1,AUCinf_all,500,94.8,0.949051031711742,0.048228567217891,0.0507793280973317,15.3868561668937,17.2416291048841,116.242,116.23
KE110,D1,AUCinf_reliable,500,95.6,0.948148350290611,0.0483518147350168,0.050932095131238,15.8507690276105,17.8856040592279,107.146,106.864
KE110,D1,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,D1,AUCinf_subC,500,94.2,0.948743256549516,0.0490829764685918,0.0516993148639433,15.7784053347015,17.8146857839957,117,117
KE110,D2,Cmax,500,100,0.982799913475251,0.0422868701888994,0.0429009632926445,13.6659688624599,15.2581500777374,117,117
KE110,D2,AUClast,500,93.2,0.947550608203763,0.0503154494148218,0.0530232494180487,16.2142108424758,18.2914091222151,117,117
KE110,D2,AUCinf_all,500,95,0.949229931416396,0.0481202462100939,0.0506599668245898,15.3610063090027,17.1950678525141,116.242,116.23
KE110,D2,AUCinf_reliable,500,95,0.948586177895509,0.0483804293396481,0.0509235996044217,15.8347241114333,17.8688677050287,106.776,106.612
KE110,D2,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,D2,AUCinf_subC,500,94.2,0.948927332734181,0.0489781766317958,0.051582539173814,15.7530439993755,17.7351103746318,117,117
KE110,D3,Cmax,500,100,0.982797657178081,0.0422863459310094,0.0429003149421664,13.6657937659386,15.2581500777374,117,117
KE110,D3,AUClast,500,93.6,0.947729718169884,0.0500830850939878,0.0527764339307331,16.1459053333279,18.2073352479913,117,117
KE110,D3,AUCinf_all,500,94.6,0.948788959695146,0.0486806322051198,0.0512467791499931,15.535797294556,17.4099516244249,116.542,116.54
KE110,D3,AUCinf_reliable,500,95,0.948369037085486,0.0483254993723778,0.0508732455134075,15.7992204397557,17.7841621212847,108.964,108.806
KE110,D3,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,D3,AUCinf_subC,500,94.4,0.948445678776946,0.0492695023523278,0.0518856843126635,15.8525817053585,17.8382778503192,117,117
KE110,D4,Cmax,500,100,0.982799913475251,0.0422868701888994,0.0429009632926445,13.6659688624599,15.2581500777374,117,117
KE110,D4,AUClast,500,93.2,0.947617858077561,0.0503215915936746,0.0530167097987362,16.2065494271628,18.2582359666716,117,117
KE110,D4,AUCinf_all,500,94.8,0.949012666855669,0.048183352358666,0.0507393635628098,15.3769977601523,17.222412895813,116.244,116.234
KE110,D4,AUCinf_reliable,500,94,0.947418363258711,0.0490852420620266,0.0517257329724731,15.9157779913663,17.9705902981116,106.35,106.046
KE110,D4,AUCinf_true,500,95,0.948194668639996,0.0482943006754553,0.0508546214426235,15.6031989230144,17.5448401221695,117,117
KE110,D4,AUCinf_subC,500,94.4,0.948750780915476,0.049061963981266,0.0516839983900013,15.7708076670979,17.7390256958842,117,117
S00,B0,Cmax,500,100,1.00021373268389,0.0428891485177997,0.0427543518829949,13.8574699112034,15.44461822497,117,117
S00,B0,AUClast,500,99.6,1.00134657817241,0.0530272794740898,0.0528798731380273,17.105870363035,19.2638761081561,117,117
S00,B0,AUCinf_all,500,99.8,1.00094222877127,0.0512504953624777,0.0511828693423463,16.3445255997103,18.3291711890228,116.214,116.322
S00,B0,AUCinf_reliable,500,99.8,1.0002442119458,0.0523043608827014,0.0523533120079586,16.7223575883876,18.7930494766148,107.258,107.432
S00,B0,AUCinf_true,500,99.8,1.00046987606294,0.0510796383074662,0.050981092937778,16.5121838988131,18.5367758211988,117,117
S00,B0,AUCinf_subC,500,99.8,1.00128281330588,0.0521010592048917,0.0519994018944634,16.7766591574223,18.9390188701698,117,117
S00,Bminus,Cmax,500,100,1.00021373268389,0.0428891485177997,0.0427543518829949,13.8574699112034,15.44461822497,117,117
S00,Bminus,AUClast,500,99.6,1.00131744623271,0.05255997283932,0.0524226618483053,16.9589606031309,19.0685842756453,117,117
S00,Bminus,AUCinf_all,500,99.4,1.0010451936139,0.0520087002829833,0.0519325698903059,16.587690604961,18.6046487746357,116.208,116.306
S00,Bminus,AUCinf_reliable,500,99.6,1.00083875171127,0.0528556698157772,0.052750682494931,16.8959174318963,18.9376818834932,108.232,108.452
