scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,54.2,0.879369906515366,0.0466358706764502,0.0528715023440342,15.562528254206,18.0914819776685,116.998,117
F090,B0,AUClast,500,16.4,0.837465475361189,0.0515766901727965,0.061635959231613,17.5335335591149,20.1597601045734,116.998,117
F090,B0,AUCinf_all,500,24.6,0.84878819578894,0.0501083569455722,0.058942976881866,16.6235803886532,18.8622183420157,114.522,113.298
F090,B0,AUCinf_reliable,500,24.4,0.854317533727272,0.0530063372703855,0.0618618833181032,17.4802245072639,19.947543800536,99.484,96.246
F090,B0,AUCinf_true,500,18.6,0.840196464365567,0.0498478127226498,0.0593958859320782,16.7604166255386,19.2646453452829,117,117
F090,D2,Cmax,500,54.2,0.879363011888446,0.04663439275458,0.0528697650268595,15.562432262202,18.0914819776685,116.998,117
F090,D2,AUClast,500,16,0.837110806145943,0.0516900513289259,0.0617926561475786,17.5733134673111,20.1578133395264,116.998,117
F090,D2,AUCinf_all,500,25.4,0.849364294540659,0.049690374649594,0.0584274985907567,16.5400742967448,18.7634033201521,114.656,113.418
F090,D2,AUCinf_reliable,500,25.8,0.854398292978643,0.0529756942433118,0.061804099608993,17.2867441557406,19.7740670570216,100.486,97.084
F090,D2,AUCinf_true,500,18.6,0.840196464365567,0.0498478127226498,0.0593958859320782,16.7604166255386,19.2646453452829,117,117
KE110,B0,Cmax,500,97.4,0.979620529423764,0.0512390049841056,0.0521437764697552,17.118162507624,19.7292042181843,116.998,117
KE110,B0,AUClast,500,84.4,0.948981916534612,0.057493933993983,0.0605888385721401,19.571302401336,22.3700268647378,116.998,117
KE110,B0,AUCinf_all,500,88.8,0.948759817760044,0.0555356090987028,0.0585265696556032,18.4751871231677,20.9684604262602,114.522,114.356
KE110,B0,AUCinf_reliable,500,87.2,0.949915624748464,0.0585057495073639,0.0615303244266923,19.25989000863,21.9765446923159,99.484,99.366
KE110,B0,AUCinf_true,500,86.8,0.949359808905296,0.0555491678944709,0.0585498259463959,18.6802575790244,21.318524102249,117,117
KE110,D2,Cmax,500,97.4,0.979613135203444,0.0512375917857681,0.0521422773305773,17.1180579090209,19.7292042181843,116.998,117
KE110,D2,AUClast,500,84.2,0.948698767293948,0.0576269428558628,0.0607454312586096,19.6177371706618,22.4100363705506,116.998,117
KE110,D2,AUCinf_all,500,88.4,0.949210242666647,0.0551855313469278,0.0581621917562665,18.3948464140383,20.8052656001477,114.656,114.474
KE110,D2,AUCinf_reliable,500,86.4,0.949525624798058,0.0585947556504505,0.0616486717774894,19.0358168147265,21.628719167359,100.486,100.18
KE110,D2,AUCinf_true,500,86.8,0.949359808905296,0.0555491678944709,0.0585498259463959,18.6802575790244,21.318524102249,117,117
S00,B0,Cmax,500,98.2,0.998156764899755,0.0520075945861116,0.0519370155145849,17.3682668029814,20.0030092459633,116.998,117
S00,B0,AUClast,500,94.6,1.00080143468656,0.0606281544802456,0.0605910731067343,20.6183643381187,23.5266293271432,116.998,117
S00,B0,AUCinf_all,500,97,0.99941880935766,0.057890197416547,0.0579128848320223,19.4538980382097,22.1064410316163,114.522,114.596
S00,B0,AUCinf_reliable,500,96.2,1.00090848132527,0.0611637262381062,0.0611097574236379,20.2715069676723,23.1597987155654,99.484,99.252
S00,B0,AUCinf_true,500,96.2,1.00008688718176,0.058465252303307,0.0585020761698881,19.6713788736736,22.4716773508832,117,117
S00,D2,Cmax,500,98.2,0.998149681496244,0.0520065666090765,0.0519359324731456,17.3681628445443,20.0030092459633,116.998,117
S00,D2,AUClast,500,94.6,1.00079573230012,0.0607823405316216,0.0607410172746115,20.6729454940922,23.5919044780783,116.998,117
S00,D2,AUCinf_all,500,97,0.999178326998335,0.0574242852494725,0.0575008139548091,19.3622409129934,22.1032905048155,114.656,114.73
S00,D2,AUCinf_reliable,500,96.4,0.99918823192721,0.0603563425736921,0.0603693730809189,19.9922436962998,22.74020403603,100.486,100.206
S00,D2,AUCinf_true,500,96.2,1.00008688718176,0.058465252303307,0.0585020761698881,19.6713788736736,22.4716773508832,117,117
