scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
S00,B0,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,B0,AUClast,500,100,0.999922255102742,0.0473362757547939,0.0473875282473765,16.1450581422623,18.0589808137863,117,117
S00,B0,AUCinf_all,500,100,0.99930553358048,0.0453906597241259,0.0454384554005441,15.5733608019402,17.2970988260506,116.95,116.958
S00,B0,AUCinf_reliable,500,100,0.999363114899319,0.045612232707959,0.0456386225749223,15.7839079926549,17.6771256206153,112.874,112.67
S00,B0,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,B0,AUCinf_subC,500,100,0.999505193536675,0.0459240036841604,0.0459925324994142,15.7022163847181,17.4891288750494,117,117
S00,Bminus,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,Bminus,AUClast,500,100,0.999908162750142,0.0469514737053548,0.047004524431832,16.0261039473146,17.948861912976,117,117
S00,Bminus,AUCinf_all,500,100,0.999320555765369,0.0460371932780023,0.0460816518427269,15.7660651146402,17.5447866068153,116.95,116.958
S00,Bminus,AUCinf_reliable,500,100,0.999674593928128,0.0465009747550806,0.0465236396086414,15.9598720992013,17.8584624632035,113.696,113.576
S00,Bminus,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,Bminus,AUCinf_subC,500,100,0.9995422507247,0.0465555081933607,0.0466211539419799,15.8944310427401,17.7393086452856,117,117
S00,D1,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,D1,AUClast,500,100,0.999924371739651,0.047520490346888,0.0475709648944329,16.2149609147976,18.1482723794571,117,117
S00,D1,AUCinf_all,500,100,0.999363894107368,0.0450083713060421,0.0450619099537336,15.4345884309009,17.1488250225504,116.95,116.958
S00,D1,AUCinf_reliable,500,100,0.999723442548724,0.0455051526062477,0.0455439313194922,15.7489725322459,17.5814700913478,112.314,112.214
S00,D1,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,D1,AUCinf_subC,500,100,0.999564283790763,0.0455364340923026,0.0456105274502409,15.5645089821872,17.3218203502891,117,117
S00,D2,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,D2,AUClast,500,100,0.999919390123347,0.0475649282129641,0.0476158035203165,16.2281794788056,18.1604117606722,117,117
S00,D2,AUCinf_all,500,100,0.999381768005219,0.044937768216755,0.0449901401228818,15.4129239019833,17.1222656121644,116.95,116.958
S00,D2,AUCinf_reliable,500,100,0.999760791372012,0.0454942727399781,0.0455159254179332,15.7230115055438,17.5685992311393,112.07,111.94
S00,D2,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,D2,AUCinf_subC,500,100,0.999581762476307,0.045467153126912,0.045540134680788,15.5429414332316,17.2999893266026,117,117
S00,D3,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,D3,AUClast,500,100,0.999877922553628,0.0473907975233784,0.0474437913326334,16.1747490795891,18.0975320017045,117,117
S00,D3,AUCinf_all,500,100,0.999445514217508,0.0454770066050675,0.0455265197344702,15.5507461059019,17.2550710063331,116.952,116.962
S00,D3,AUCinf_reliable,500,100,0.999521197162345,0.0455734147339831,0.0456425425289145,15.7471482022076,17.5219030450249,112.622,112.618
S00,D3,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,D3,AUCinf_subC,500,100,0.999667625121893,0.0459446157379841,0.0460085615213381,15.6722714596482,17.4423060614752,117,117
S00,D4,Cmax,500,100,0.998821083583846,0.0386924838106355,0.0386884339067822,13.0793398711896,14.7212842187866,117,117
S00,D4,AUClast,500,100,0.999917489928979,0.047524404056953,0.0475760828004771,16.215719926369,18.1487722567284,117,117
S00,D4,AUCinf_all,500,100,0.999365187845935,0.0450345697419984,0.0450839412596766,15.4321048345548,17.1535250660538,116.95,116.958
S00,D4,AUCinf_reliable,500,100,0.999300096404952,0.0460912039741813,0.046154478193238,15.8349019194054,17.8275997879046,111.568,111.312
S00,D4,AUCinf_true,500,100,0.999806143414938,0.0460007077674835,0.0460571773601143,15.7167249739321,17.486930944983,117,117
S00,D4,AUCinf_subC,500,100,0.999562923777234,0.0455698005873031,0.0456401496789497,15.5617772275257,17.3305498384906,117,117
