scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,76.2,0.88204147580852,0.0359881133349928,0.0407278781603317,12.0479559605399,13.4996527514993,117,117
F090,B0,AUClast,500,22,0.83929992546595,0.0399322904949116,0.0476165976629457,13.8032382211372,15.4223932838962,117,117
F090,B0,AUCinf_all,500,32.6,0.846813140716976,0.039198651595964,0.0463353802374765,13.2756190387298,14.7615598807176,116.326,115.774
F090,B0,AUCinf_reliable,500,33,0.849249015216644,0.0401147101249026,0.0473291190719189,13.5225759123619,15.0250813886005,110.508,109.11
F090,B0,AUCinf_true,500,27,0.842348195277486,0.0391230722653106,0.0465003283989107,13.367685160381,14.8995360897451,117,117
F090,D2,Cmax,500,76.2,0.88204147580852,0.0359881133349928,0.0407278781603317,12.0479559605399,13.4996527514993,117,117
F090,D2,AUClast,500,22,0.838784489316153,0.04009620720812,0.0478399770052967,13.8552149882502,15.5016867402192,117,117
F090,D2,AUCinf_all,500,33.8,0.847600733381616,0.0388484041043673,0.0458818781992848,13.1774483278753,14.6686812872415,116.334,115.794
F090,D2,AUCinf_reliable,500,33,0.849193747747862,0.0398593065602074,0.0470068982433368,13.5096394422782,15.0436240429336,109.682,108.276
F090,D2,AUCinf_true,500,27,0.842348195277486,0.0391230722653106,0.0465003283989107,13.367685160381,14.8995360897451,117,117
KE110,B0,Cmax,500,100,0.981099239288832,0.0396195988548517,0.0403135947409884,13.2764603583644,14.8336207415192,117,117
KE110,B0,AUClast,500,96.4,0.948120002403556,0.0447082516287202,0.0471803059593034,15.4299950945486,17.2928788969155,117,117
KE110,B0,AUCinf_all,500,97.4,0.948649582095753,0.0436029894409506,0.0460020869128913,14.7998714574497,16.4268460079297,116.326,116.29
KE110,B0,AUCinf_reliable,500,97.2,0.947676432571748,0.0440483232326964,0.0465301688348412,15.0134033760467,16.5796569353704,110.508,110.598
KE110,B0,AUCinf_true,500,97.2,0.949047996698616,0.0437134053786617,0.0461059046330684,14.9242634295606,16.6164949728494,117,117
KE110,D2,Cmax,500,100,0.981099239288832,0.0396195988548517,0.0403135947409884,13.2764603583644,14.8336207415192,117,117
KE110,D2,AUClast,500,96,0.947765103610818,0.0449125759865603,0.0474104011243424,15.4919850315332,17.3565066399271,117,117
KE110,D2,AUCinf_all,500,97.8,0.949254591974785,0.0432108011552004,0.0455738907076479,14.6940342931303,16.3003488922001,116.334,116.308
KE110,D2,AUCinf_reliable,500,97,0.948193659270038,0.0443929725507256,0.0468719050762133,15.0128721830946,16.6839593877057,109.682,109.73
KE110,D2,AUCinf_true,500,97.2,0.949047996698616,0.0437134053786617,0.0461059046330684,14.9242634295606,16.6164949728494,117,117
S00,B0,Cmax,500,100,0.99849898917767,0.0401644829180482,0.0401536663018664,13.4469792758136,15.0327249604801,117,117
S00,B0,AUClast,500,100,1.00017857819021,0.0471617075793906,0.0471814810511577,16.2612153263094,18.2305802865905,117,117
S00,B0,AUCinf_all,500,100,0.999538556224605,0.0455182162208418,0.0455863305060626,15.5913721285048,17.2716043399842,116.326,116.326
S00,B0,AUCinf_reliable,500,100,0.999271896728296,0.0464371928741117,0.0465547660932802,15.8140375626758,17.580690528373,110.508,110.52
S00,B0,AUCinf_true,500,100,0.999806143414939,0.0460007077674855,0.046057177360116,15.7167249739321,17.4869309449821,117,117
S00,D2,Cmax,500,100,0.99849898917767,0.0401644829180482,0.0401536663018664,13.4469792758136,15.0327249604801,117,117
S00,D2,AUClast,500,100,1.00017901512971,0.0474038623392825,0.0474218117646389,16.3322956241969,18.308290421324,117,117
S00,D2,AUCinf_all,500,100,0.999509324578425,0.0451037176063457,0.0451783683464148,15.4758458037742,17.1590227139038,116.334,116.34
S00,D2,AUCinf_reliable,500,99.8,0.999567391399316,0.0463799427469293,0.0465076918145877,15.8125209839823,17.6282856038863,109.682,109.792
S00,D2,AUCinf_true,500,100,0.999806143414939,0.0460007077674855,0.046057177360116,15.7167249739321,17.4869309449821,117,117
