scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,B0,AUClast,500,22.4,0.841476941763787,0.0453125796799282,0.0538931248742356,15.1545071395099,17.0487309861307,117,117
F090,B0,AUCinf_all,500,30.8,0.848954949421697,0.0437658636102596,0.0515605454254143,14.5305734059215,16.3938421525388,116.214,115.762
F090,B0,AUCinf_reliable,500,32,0.851605460757849,0.0448782015126376,0.0527096716370853,14.9734599339056,16.953491117346,107.258,105.348
F090,B0,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,B0,AUCinf_subC,500,25.4,0.844419529681459,0.0446785183844903,0.0530043214649328,14.9175506297775,16.7726428135481,117,117
F090,Bminus,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,Bminus,AUClast,500,23.2,0.842389495678969,0.0450147842236157,0.0534895235166311,15.0607764648524,16.9390358173371,117,117
F090,Bminus,AUCinf_all,500,27.8,0.847547462217056,0.0442917707415661,0.0522638038238406,14.6972287633883,16.6333062156005,116.208,115.748
F090,Bminus,AUCinf_reliable,500,29,0.850164709037001,0.0452851999710985,0.0532351359492538,15.0889046515358,16.9246023223002,108.232,106.01
F090,Bminus,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,Bminus,AUCinf_subC,500,24.2,0.843148119871429,0.0450916448982068,0.0535483459044933,15.0602361694567,16.9208970931663,117,117
F090,D1,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,D1,AUClast,500,21.8,0.841087597517946,0.0454338047513037,0.0540596337348734,15.1991072175579,17.1041874472645,117,117
F090,D1,AUCinf_all,500,32,0.849406966030053,0.0435962403153887,0.0513333873850117,14.4692316180218,16.3020456534442,116.242,115.78
F090,D1,AUCinf_reliable,500,30,0.851365528220822,0.044699760306867,0.0524942633388702,14.9865573781351,16.9192413998345,107.146,104.964
F090,D1,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D1,AUCinf_subC,500,26,0.844888113763873,0.0444291195581293,0.0526709585009869,14.8459333997685,16.6457958316779,117,117
F090,D2,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,D2,AUClast,500,22.2,0.841029044777037,0.045460166122301,0.0540979377452564,15.2068319535453,17.1117960314444,117,117
F090,D2,AUCinf_all,500,32.2,0.849634332141911,0.0435292779470465,0.0512431619130249,14.4480465986849,16.2726134380223,116.242,115.782
F090,D2,AUCinf_reliable,500,31,0.851777479781284,0.044711330961842,0.0524818102256054,14.9715993198197,16.9472438464171,106.776,104.722
F090,D2,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D2,AUCinf_subC,500,25.8,0.845132869270076,0.044339943288289,0.0525537828792776,14.8251483055048,16.6571768929909,117,117
F090,D3,Cmax,500,75.8,0.884034969244018,0.0382349170929818,0.0431744700834714,12.7701933376894,14.2665428927455,117,117
F090,D3,AUClast,500,22.2,0.841436351258753,0.0452898678662916,0.0538767503812208,15.1561335752859,17.0291175719778,117,117
F090,D3,AUCinf_all,500,29.4,0.848058863203901,0.0441269903792051,0.0520198317828332,14.5846460862866,16.4308588213256,116.542,116.196
F090,D3,AUCinf_reliable,500,29.2,0.851724354075706,0.0446254453216279,0.0523745432496835,14.9110934813504,16.8608715501536,108.964,107.058
F090,D3,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D3,AUCinf_subC,500,25,0.84415239183249,0.0445824423522993,0.0528599878862402,14.9002330547821,16.7983247646859,117,117
F090,D4,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,D4,AUClast,500,21.8,0.841111178425447,0.04547532565062,0.0541032706541534,15.1998332409858,17.1089941230656,117,117
F090,D4,AUCinf_all,500,32.2,0.849375768447674,0.0435445859117783,0.0512727120887302,14.4624562072797,16.3046445533102,116.244,115.788
F090,D4,AUCinf_reliable,500,28.8,0.850466797141989,0.044665737011741,0.0524352678449088,15.0619977355172,17.0095444856632,106.35,104.082
F090,D4,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D4,AUCinf_subC,500,25.8,0.844909181420053,0.044414712350909,0.0526567232800417,14.8401476939855,16.6938010059405,117,117
KE110,B0,Cmax,500,100,0.982829698680812,0.0421159219924391,0.0427775418804118,14.0640935996919,15.7245928933272,117,117
KE110,B0,AUClast,500,92,0.947889683796224,0.0502141314722188,0.0529989878740734,16.7690202526179,18.8633938956412,117,117
KE110,B0,AUCinf_all,500,94,0.948590081691502,0.0485891888453184,0.0512710711196491,16.027516393709,18.0119336704644,116.214,116.218
KE110,B0,AUCinf_reliable,500,94,0.948212002817933,0.0493257346380966,0.0520115777349549,16.4103526440241,18.4524813112793,107.258,107.402
KE110,B0,AUCinf_true,500,93.6,0.94821159850894,0.0484418038055531,0.0511163050423266,16.2166046933441,18.2149642840108,117,117
KE110,B0,AUCinf_subC,500,92.8,0.948393745490381,0.0494592692528554,0.0522250802842391,16.4472055404363,18.5212070330243,117,117
KE110,Bminus,Cmax,500,100,0.982829698680812,0.0421159219924391,0.0427775418804118,14.0640935996919,15.7245928933272,117,117
KE110,Bminus,AUClast,500,92.4,0.948587642714854,0.0498298728030631,0.0525634585081891,16.650672088228,18.7117281382349,117,117
KE110,Bminus,AUCinf_all,500,93.2,0.947508497017051,0.0492570532298272,0.0520281491744385,16.2265150034951,18.2042573557052,116.208,116.204
KE110,Bminus,AUCinf_reliable,500,93.6,0.947122792991539,0.0497040183142812,0.0524278684884937,16.5480627617099,18.6592913544632,108.232,108.202
KE110,Bminus,AUCinf_true,500,93.6,0.94821159850894,0.0484418038055531,0.0511163050423266,16.2166046933441,18.2149642840108,117,117
KE110,Bminus,AUCinf_subC,500,92.2,0.947572283949604,0.049957198559601,0.0527712830988039,16.6264941179353,18.7325764870334,117,117
KE110,D1,Cmax,500,100,0.982829698680812,0.0421159219924391,0.0427775418804118,14.0640935996919,15.7245928933272,117,117
KE110,D1,AUClast,500,92,0.94760927021125,0.0503636702499406,0.0531709718400342,16.8173505747183,18.9121235750029,117,117
KE110,D1,AUCinf_all,500,94.6,0.949042884365236,0.0484175303247451,0.0510590670212122,15.9728044607618,18.0034740695851,116.242,116.23
KE110,D1,AUCinf_reliable,500,94.2,0.948054567108137,0.0486186144090976,0.0512562193745161,16.4491626905107,18.5332616092117,107.146,106.864
KE110,D1,AUCinf_true,500,93.6,0.94821159850894,0.0484418038055531,0.0511163050423266,16.2166046933441,18.2149642840108,117,117
KE110,D1,AUCinf_subC,500,93.2,0.948763752165391,0.0491887732772823,0.0519085677135829,16.3776656416332,18.4355039816698,117,117
KE110,D2,Cmax,500,100,0.982829698680812,0.0421159219924391,0.0427775418804118,14.0640935996919,15.7245928933272,117,117
KE110,D2,AUClast,500,91.4,0.947558862237557,0.0504004773533947,0.0532153996658007,16.8274576534891,18.9244248160103,117,117
KE110,D2,AUCinf_all,500,94.8,0.949220654380168,0.0483042834650416,0.050934072581092,15.9464071331911,17.9507577257449,116.242,116.23
KE110,D2,AUCinf_reliable,500,94.4,0.948544445706847,0.0486381026902887,0.0512430592799697,16.4316353946998,18.5039598277785,106.776,106.612
KE110,D2,AUCinf_true,500,93.6,0.94821159850894,0.0484418038055531,0.0511163050423266,16.2166046933441,18.2149642840108,117,117
KE110,D2,AUCinf_subC,500,93.2,0.948946838802572,0.0490825247881496,0.0517900653117866,16.3516466635221,18.4214897781107,117,117
KE110,D3,Cmax,500,100,0.982827250312983,0.0421147847383239,0.0427762884398677,14.0639102273413,15.7245928933272,117,117
KE110,D3,AUClast,500,91.8,0.947740039867445,0.050172790465895,0.0529718656058955,16.7576578756872,18.8637653755011,117,117
KE110,D3,AUCinf_all,500,94.2,0.948821200690572,0.0488678076454257,0.0515308048937122,16.1278198777584,18.1293436864323,116.542,116.54
KE110,D3,AUCinf_reliable,500,93.4,0.948664707684518,0.0485983667434247,0.0512070410653044,16.3910781920701,18.4950489704401,108.964,108.806
KE110,D3,AUCinf_true,500,93.6,0.94821159850894,0.0484418038055531,0.0511163050423266,16.2166046933441,18.2149642840108,117,117
KE110,D3,AUCinf_subC,500,93.2,0.948457333355243,0.0493794589178272,0.0521027781331776,16.4552262276731,18.5676636981594,117,117
KE110,D4,Cmax,500,100,0.982829698680812,0.0421159219924391,0.0427775418804118,14.0640935996919,15.7245928933272,117,117
