scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,trial
F090,B0,R,117,34.6478044831934,20.5925780755781,53.7317950643232,,97.8820512820513,85.8666666666667,85.0290598290598,3.314,51.9539917173859,2.83368321794665,13.2782461467332,1.74136144314903,0.69500129190564,4.14716796793473,0.011965811965812,-0.0279443859926431,0.0946557618051787,0.0973018470566807,-0.0399848728746501,529.730734293666,50.6148648227881,588.987098169534,35.3781231681045,41.9585060733727,38.0901198497078,579.436300126332,554.00918317023,250.5
F090,B0,T,117,31.7237811377635,19.8830359506019,50.5386378040772,,96.8358974358974,83.4957264957265,82.2615384615385,3.142,54.9979948677877,3.17712734457152,15.1053532741236,2.62093547605791,0.804086185938569,4.916529453885,0.00683760683760684,-0.0286077632680582,0.0962438318220797,0.0980961063686111,-0.04264703310742,442.796317400068,52.1043129093463,494.860205511888,31.0660342617554,43.3323545909794,33.5763027862595,494.114107296154,464.689602867969,250.5
F090,D2,R,117,36.0197132753879,20.6174046595151,54.512841846483,,97.9965811965812,86.6,85.8854700854701,3.476,50.0087822702495,1.49245361520688,12.4549046831932,1.56856088756464,0.295945769601931,4.10281322965393,0.011965811965812,-0.0267178155614914,0.0942203203440781,0.0971422170590137,-0.0361310487703065,531.647242018032,50.7688597508318,591.420906454999,35.3784114777357,41.9586446952629,38.0904359623456,575.438449521459,554.00918317023,250.5
F090,D2,T,117,32.2203890372356,19.9069261635655,52.064036512938,,96.9384615384615,84.1435897435897,82.9777777777778,3.257,53.0373878127053,1.86801261115655,14.4932482042402,2.46983470784643,0.385523809748205,4.8695764205226,0.00683760683760684,-0.0275290269769556,0.0960177405772738,0.0982172248964839,-0.0392656552062963,444.206638891188,52.2601454658293,496.736547564247,31.0660443623874,43.3323283543305,33.5763104041465,490.759827527036,464.689602867969,250.5
KE110,B0,R,117,34.6478044831934,20.5925780755781,53.7317950643232,,97.8820512820513,85.8666666666667,85.0290598290598,3.314,51.9539917173859,2.83368321794665,13.2782461467332,1.74136144314903,0.69500129190564,4.14716796793473,0.011965811965812,-0.0279443859926431,0.0946557618051787,0.0973018470566807,-0.0399848728746501,529.730734293666,50.6148648227881,588.987098169534,35.3781231681045,41.9585060733727,38.0901198497078,579.436300126332,554.00918317023,250.5
KE110,B0,T,117,33.757465959115,20.365110078285,52.023074776121,,97.740170940171,85.8017094017094,84.9282051282051,3.258,52.7638160959067,2.84653702355382,13.4325954468551,1.82535514691723,0.712610455027387,4.28848189556503,0.00170940170940171,-0.0276380441909901,0.0952227142233204,0.0966918905276334,-0.0399479178936138,501.763915012757,50.36822947213,558.132358059714,34.6077361052153,42.1642115624521,37.297965210361,549.412894980999,525.06666366014,250.5
KE110,D2,R,117,36.0197132753879,20.6174046595151,54.512841846483,,97.9965811965812,86.6,85.8854700854701,3.476,50.0087822702495,1.49245361520688,12.4549046831932,1.56856088756464,0.295945769601931,4.10281322965393,0.011965811965812,-0.0267178155614914,0.0942203203440781,0.0971422170590137,-0.0361310487703065,531.647242018032,50.7688597508318,591.420906454999,35.3784114777357,41.9586446952629,38.0904359623456,575.438449521459,554.00918317023,250.5
KE110,D2,T,117,34.5466969340416,20.3755479975111,53.3809195137901,,97.8410256410256,86.4461538461539,85.6239316239316,3.409,51.1203530019163,1.57372001265285,12.7341922977324,1.71854169386486,0.317520914817329,4.24375237844379,0.00170940170940171,-0.026553784369543,0.094928788003684,0.0966432538240955,-0.036302716811614,503.425495592578,50.5157557691592,560.279344870505,34.6077571978463,42.1641665451679,37.2979815740078,545.392221102832,525.06666366014,250.5
S00,B0,R,117,34.6478044831934,20.5925780755781,53.7317950643232,,97.8820512820513,85.8666666666667,85.0290598290598,3.314,51.9539917173859,2.83368321794665,13.2782461467332,1.74136144314903,0.69500129190564,4.14716796793473,0.011965811965812,-0.0279443859926431,0.0946557618051787,0.0973018470566807,-0.0399848728746501,529.730734293666,50.6148648227881,588.987098169534,35.3781231681045,41.9585060733727,38.0901198497078,579.436300126332,554.00918317023,250.5
S00,B0,T,117,34.6780515103303,20.6134031781273,53.4671110060099,,97.9452991452992,85.7504273504273,84.8307692307692,3.307,52.1948929303387,2.84182464366726,13.3290681084099,1.81994957323171,0.700227976093809,4.17490257529186,0.00170940170940171,-0.0267351013378071,0.0945994433344601,0.0959207457710342,-0.0391195364068314,529.160325199849,50.2511125504786,588.23759154157,35.2625872313661,41.7771266106365,37.9566060836183,578.918940320641,553.122426185593,250.5
