scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,n_reliable,n_dropout,wt_retained_mean,wt_dropout_mean,wt_dropout_median,trial
S00,B0,R,117,34.6734027900295,21.4506058911562,49.4834078316061,,99.957264957265,96.7025641025641,96.4735042735043,3.144,54.9670645446508,3.21632541127396,10.0988454528807,0.229074565281462,0.690934232982372,3.54303923577282,0,-0.0191335845681599,0.0074815749926956,0.0142817510440995,-0.0286200331855421,551.301649657434,38.731532333033,589.914862220187,31.2667744677498,31.0344563921344,32.650526969224,575.890558089315,569.08479119627,112.874,4.126,74.9695407277772,75.2419445262918,75.2800514734408,250.5
S00,B0,T,117,34.6653825875679,21.4199730441621,49.6804049213972,,99.9641025641026,96.5367521367521,96.2991452991453,3.158,54.7629678750369,3.17989858219562,10.0871360817769,0.237709991158267,0.679762164077986,3.52306489620487,0,-0.0191865207590274,0.00752437039697292,0.0142038791840389,-0.0285609031044204,550.651057778027,38.591203884847,589.088855266373,31.2065386015797,30.9026089893726,32.5795489223834,574.940875532472,568.382389122473,112.67,4.33,74.9794782487528,75.253932824589,75.3781080848241,250.5
S00,Bminus,R,117,34.6734027900295,21.4506058911562,43.6927102157175,,99.957264957265,97.417094017094,97.1760683760684,3.142,54.9944886531094,3.83689284370622,10.9296504309409,0.241055113468907,0.88460846883292,3.98449469892691,0,-0.0192713094824922,0.00763576423188686,0.0139557249170418,-0.0305886181978096,550.132498742903,38.4234658201687,587.97544173905,31.2667744677498,31.0344563921344,32.650526969224,579.63633190122,569.08479119627,113.696,3.304,74.9560432192106,75.7770800589412,75.799227699317,250.5
S00,Bminus,T,117,34.6653825875679,21.4199730441621,44.0958911255086,,99.9641025641026,97.3145299145299,97.0735042735043,3.159,54.9818891836133,3.78718364379355,10.9096603246135,0.24112879457707,0.872185167886341,3.97599429502375,0,-0.0193400776527152,0.00768677094974297,0.0138758164921971,-0.0305701832809381,549.485360102051,38.2903509595227,587.172666981508,31.2065386015797,30.9026089893726,32.5795489223834,578.838257336457,568.382389122473,113.576,3.424,74.9608594305637,75.9151126446373,76.0558144272391,250.5
S00,D1,R,117,35.7501749224411,21.4506058911562,49.5432850927373,,99.957264957265,96.2239316239316,95.9948717948718,3.12,55.6149867374005,1.64061698778671,9.96761917607353,0.229074565281462,0.314207131950731,3.50570123387513,0,-0.0186028628901408,0.00798749838437205,0.0159008577295838,-0.0240927943471665,553.050479692917,38.9111824688311,592.09287409975,31.2667744677498,31.0344563921344,32.650526969224,573.67062788422,569.08479119627,112.314,4.686,74.9512223313354,75.6058405248959,75.6559479828592,250.5
S00,D1,T,117,35.7729667478763,21.4199730441621,49.73551601927,,99.9641025641026,96.1470085470086,95.9094017094017,3.11,55.5824049513705,1.61581103629062,9.9680795687539,0.237709991158267,0.307617257036487,3.49366615179993,0,-0.0186360903126028,0.00803926574257143,0.0158345878950129,-0.023971337042484,552.394726206877,38.7704275884768,591.260100633934,31.2065386015797,30.9026089893726,32.5795489223834,572.935290769262,568.382389122473,112.214,4.786,74.9623443193053,75.7138046566699,75.7225357600622,250.5
S00,D2,R,117,35.7501749224411,21.4506058911562,51.1033106817571,,99.957264957265,96.0153846153846,95.7863247863248,3.182,54.4828470380195,1.52815613624015,9.95493486152184,0.229074565281462,0.282655900079072,3.50570123387513,0,-0.0186017876942953,0.00802652378979091,0.0160946298788208,-0.0240418196837125,553.169829066216,38.9460404869032,592.3026366671,31.2667744677498,31.0344563921344,32.650526969224,572.801255152493,569.08479119627,112.07,4.93,74.9567338975981,75.5007792817652,75.5687268655829,250.5
S00,D2,T,117,35.7729667478763,21.4199730441621,51.1322316074459,,99.9641025641026,95.9128205128205,95.6752136752137,3.177,54.4673887415267,1.51263605577304,9.96160975660789,0.237709991158267,0.278735508302016,3.49366615179993,0,-0.0186343720046964,0.00808208357071885,0.0160228946879577,-0.0239202942693788,552.510081092573,38.8038784029198,591.462064224093,31.2065386015797,30.9026089893726,32.5795489223834,572.086716541081,568.382389122473,111.94,5.06,74.967247019558,75.5357958524112,75.5865610961148,250.5
S00,D3,R,117,35.7560935851643,21.4610277935654,51.1033106817571,,99.9589743589744,96.4700854700855,96.2581196581197,3.018,59.5696139109932,1.03764153706546,7.52756621034587,0.211980548187445,0.203707985931227,2.65467031548036,0,-0.0164866438754781,0.00810893787191393,0.0150126076888108,-0.019436924668478,555.63318398148,38.8093386975545,594.602420825601,31.2667744677498,31.0344563921344,32.650526969224,569.91105647893,569.08479119627,112.622,4.378,74.9555746031605,75.6790960318666,75.6963388718656,250.5
S00,D3,T,117,35.7790084691532,21.425119017536,51.1322316074459,,99.9675213675214,96.4769230769231,96.2547008547009,3.02,60.0070144414972,1.03069579947956,7.51769771058711,0.222295903330386,0.202592339658115,2.62941279865782,0,-0.0164954129888169,0.00817346498453633,0.0149488594200788,-0.0194176120436615,554.950741865774,38.6691371804557,593.740612982173,31.2065386015797,30.9026089893726,32.5795489223834,569.06934322827,568.382389122473,112.618,4.382,74.9602849187594,75.7369885243833,75.8473373090468,250.5
S00,D4,R,117,35.1984441439457,21.4506058911562,49.5617581873376,,99.957264957265,95.5863247863248,95.357264957265,3.158,54.9598437960507,1.73892390802742,9.96327721428768,0.229074565281462,0.333190908396902,3.50582196629835,0,-0.0186915033500685,0.00796396858837157,0.0158560737694255,-0.024753553531322,552.95650721006,38.9133052618462,592.002208898635,31.2667744677498,31.0344563921344,32.650526969224,573.298980688181,569.08479119627,111.568,5.432,74.9647657606835,75.3152706385536,75.2448987570542,250.5
S00,D4,T,117,35.1920028640932,21.4199730441621,49.75228653705,,99.9641025641026,95.3760683760684,95.1384615384615,3.168,54.6310639552019,1.71192774990413,9.96592235313224,0.237709991158267,0.322894786928607,3.49366615179993,0,-0.0187505345452272,0.00801123565210614,0.0157896236479133,-0.0247143049544505,552.297043399349,38.772756978179,591.165694936729,31.2065386015797,30.9026089893726,32.5795489223834,572.304396145005,568.382389122473,111.312,5.688,74.9696969138929,75.3756063279278,75.5254465300873,250.5
