scenario,endpoint,pass_500,pass_rest,pass_all,n_all,z,outside_mc
F085,Cmax,14.8,16.4888888888889,16.32,5000,-0.969474571581041,FALSE
F085,AUClast,0.4,0.333333333333333,0.34,5000,0.242948989978663,FALSE
F085,AUCinf_all,1,1,1,5000,0,FALSE
F085,AUCinf_reliable,2,1.84444444444444,1.86,5000,0.244237465297579,FALSE
F085,AUCinf_true,0.4,0.377777777777778,0.38,5000,0.0766176233327154,FALSE
F090,Cmax,72.8,73.2888888888889,73.24,5000,-0.234260573182782,FALSE
F090,AUClast,23,23.4888888888889,23.44,5000,-0.244814229998005,FALSE
F090,AUCinf_all,33.2,33.2222222222222,33.22,5000,-0.0100085398268518,FALSE
F090,AUCinf_reliable,33.4,33.3555555555556,33.36,5000,0.019996004397683,FALSE
F090,AUCinf_true,27,28.2888888888889,28.16,5000,-0.607886151432131,FALSE
F110,Cmax,84.6,83.4666666666667,83.58,5000,0.648972298735046,FALSE
F110,AUClast,39.6,39.3111111111111,39.34,5000,0.125449436433754,FALSE
F110,AUCinf_all,48.8,47.8888888888889,47.98,5000,0.386867550849078,FALSE
F110,AUCinf_reliable,49.2,49.2222222222222,49.22,5000,-0.00942923783529421,FALSE
F110,AUCinf_true,45,45.1333333333333,45.12,5000,-0.0568399119713583,FALSE
KE110,Cmax,100,99.9555555555555,99.96,5000,0.471498829988945,FALSE
KE110,AUClast,96,96.5111111111111,96.46,5000,-0.586740841431335,FALSE
KE110,AUCinf_all,96.8,97.9333333333333,97.82,5000,-1.6463487685869,FALSE
KE110,AUCinf_reliable,94.8,96.2666666666667,96.12,5000,-1.61107194434228,FALSE
KE110,AUCinf_true,97.2,97.9333333333333,97.86,5000,-1.07497457015598,FALSE
KE120,Cmax,99.6,99.7111111111111,99.7,5000,-0.430978436145518,FALSE
KE120,AUClast,76.8,76.6888888888889,76.7,5000,0.0557555500892601,FALSE
KE120,AUCinf_all,81,81.7777777777778,81.7,5000,-0.426702526512172,FALSE
KE120,AUCinf_reliable,75.6,77.4,77.22,5000,-0.910409966628338,FALSE
KE120,AUCinf_true,82,82.3555555555556,82.32,5000,-0.197706029603798,FALSE
S00,Cmax,100,99.9641025641026,99.965,20000,0.423733432708467,FALSE
S00,AUClast,100,99.5435897435897,99.555,20000,1.51401842874278,FALSE
S00,AUCinf_all,100,99.7538461538462,99.76,20000,1.11073407402898,FALSE
S00,AUCinf_reliable,99.8,99.5128205128205,99.52,20000,0.917413070524012,FALSE
S00,AUCinf_true,100,99.7692307692308,99.775,20000,1.07538279798925,FALSE
VM125,Cmax,99,99.2,99.18,5000,-0.470454118012182,FALSE
VM125,AUClast,36.8,36.9555555555556,36.94,5000,-0.0683701219229368,FALSE
VM125,AUCinf_all,64.2,62.3111111111111,62.5,5000,0.827669642452254,FALSE
VM125,AUCinf_reliable,62.6,62.9111111111111,62.88,5000,-0.136603406170717,FALSE
VM125,AUCinf_true,47.4,48.1111111111111,48.04,5000,-0.301930962088871,FALSE
VM150,Cmax,90.4,89.7128205128205,89.73,20000,0.499808274038668,FALSE
VM150,AUClast,0,0.082051282051282,0.08,20000,-0.640768974092018,FALSE
VM150,AUCinf_all,1.8,2.76410256410256,2.74,20000,-1.30397160348311,FALSE
VM150,AUCinf_reliable,3.8,4.6974358974359,4.675,20000,-0.938634542953774,FALSE
VM150,AUCinf_true,0.2,0.230769230769231,0.23,20000,-0.141820837244827,FALSE
