scenario,arm,n_trials,n_reliable_mean,n_dropout_mean,wt_retained_mean,wt_dropout_mean,dropout_pct,model
F090,R,2000,93.9315,23.0685,99.7439139714988,104.848205489345,19.7166666666667,a
F090,T,2000,89.551,27.449,99.5288970236986,104.792221013657,23.4606837606838,a
KE120,R,2000,93.9315,23.0685,99.7439139714988,104.848205489345,19.7166666666667,a
KE120,T,2000,93.619,23.381,99.7199665038662,104.931160337812,19.9837606837607,a
KM10,R,2000,93.9315,23.0685,99.7439139714988,104.848205489345,19.7166666666667,a
KM10,T,2000,96.255,20.745,100.10196278933,103.808408394406,17.7307692307692,a
S00,R,2000,93.9315,23.0685,99.7439139714988,104.848205489345,19.7166666666667,a
S00,T,2000,94.099,22.901,99.7470865227309,104.915281837923,19.5735042735043,a
VM125,R,2000,93.9315,23.0685,99.7439139714988,104.848205489345,19.7166666666667,a
VM125,T,2000,83.346,33.654,99.2050007154336,104.596496157462,28.7641025641026,a
