scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean,model
F090,B0,Cmax,2000,59,56.8292296708798,61.1362634780577,0.879008526530109,0.877160870708961,0.880856182351256,14.4420756140744,117,117,a
F090,B0,AUClast,2000,14.15,12.6911433529351,15.7463089371307,0.831203699083547,0.82914538284242,0.833262015324674,16.4003811062772,117,117,a
F090,B0,AUCinf_all,2000,24.55,22.713763060738,26.4838146458778,0.847395501168061,0.845443418932937,0.849347583403184,15.6237109595606,112.608,110.506,a
F090,B0,AUCinf_reliable,2000,25.15,23.2973576425629,27.0979196073154,0.851230518071798,0.849086668411793,0.853374367731804,16.9799177494302,93.9315,89.551,a
F090,B0,AUCinf_true,2000,16.85,15.2734371854027,18.5536630493443,0.835454910496767,0.833511680516564,0.837398140476969,15.5547474484989,117,117,a
F090,B0,AUCinf_subC,2000,14.55,13.0726184051032,16.1633002471376,0.832302221072716,0.830243829889281,0.834360612256151,16.4120574818917,117,117,a
KE120,B0,Cmax,2000,98.65,98.0429206993,99.0705506002341,0.966015840665337,0.964007235301372,0.968024446029301,15.7111394045284,117,117,a
KE120,B0,AUClast,2000,69.95,67.9039971325705,71.9195126809075,0.908460175649138,0.906255915964394,0.910664435333882,17.5981324474811,117,117,a
KE120,B0,AUCinf_all,2000,77.7,75.8235747691817,79.4702208114369,0.912572766184796,0.910485338480436,0.914660193889156,16.6147915296747,112.608,111.9195,a
KE120,B0,AUCinf_reliable,2000,71.5,69.4818763286758,73.4356906382303,0.911611926341771,0.909351043926728,0.913872808756814,17.8415515780561,93.9315,93.619,a
KE120,B0,AUCinf_true,2000,76.2,74.2845111859242,78.0150355365382,0.910846933686349,0.90877079181471,0.912923075557989,16.6554674556697,117,117,a
KE120,B0,AUCinf_subC,2000,70.85,68.8198455897385,72.8002135386332,0.908985424219625,0.906788539897239,0.91118230854201,17.5592874499067,117,117,a
KM10,B0,Cmax,2000,99.75,99.4160846683567,99.8931691271586,1.0030435687295,1.00097868971205,1.00510844774694,16.163721260908,117,117,a
KM10,B0,AUClast,2000,97.55,96.7758518317665,98.1418369717863,1.01312261167532,1.01067688723465,1.01556833611599,19.5151812416118,117,117,a
KM10,B0,AUCinf_all,2000,98.4,97.7500533581828,98.8643764649919,0.985504846494694,0.98323535487448,0.987774338114908,18.0514801544368,112.608,114.1725,a
KM10,B0,AUCinf_reliable,2000,96.15,95.2144892976008,96.9085672383395,0.978983751135661,0.976565641419158,0.981401860852164,19.2832398474518,93.9315,96.255,a
KM10,B0,AUCinf_true,2000,98.8,98.220611612952,99.1922845723977,1.00884440097366,1.0065493674439,1.01113943450342,18.4026180086509,117,117,a
KM10,B0,AUCinf_subC,2000,98.3,97.6338812848154,98.7809319478156,1.00324118265572,1.00082865126879,1.00565371404265,19.2265645045054,117,117,a
S00,B0,Cmax,2000,99.8,99.4868648214923,99.9221972692949,1.00075992656387,0.998693122237277,1.00282673089047,16.1772228452081,117,117,a
S00,B0,AUClast,2000,97.8,97.059621091344,98.3571091885682,1.00041903831023,0.997985274987836,1.00285280163263,19.4159856856369,117,117,a
S00,B0,AUCinf_all,2000,99,98.4604061540925,99.3517232123447,1.0006012490904,0.998302193094342,1.00290030508645,18.2286456745537,112.608,112.6155,a
S00,B0,AUCinf_reliable,2000,97.35,96.5501476639623,97.9683079585031,1.00094603517999,0.998448150367483,1.0034439199925,19.588430338853,93.9315,94.099,a
S00,B0,AUCinf_true,2000,98.7,98.1019691482797,99.1113104465263,1.00018866740156,0.997901193758807,1.0024761410443,18.3397348624872,117,117,a
S00,B0,AUCinf_subC,2000,97.8,97.059621091344,98.3571091885682,1.00056483802179,0.998140285785068,1.00298939025851,19.3480984333381,117,117,a
VM125,B0,Cmax,2000,95.6,94.6103473295914,96.4148179583583,0.94685590414994,0.944816990789548,0.948894817510332,15.902922154022,117,117,a
VM125,B0,AUClast,2000,17.35,15.7533989058998,19.071784281566,0.838590285237624,0.836459569457072,0.840721001018176,16.9334148704001,117,117,a
VM125,B0,AUCinf_all,2000,48.45,46.2648166466772,50.6411261998946,0.877681073783624,0.875588471219806,0.879773676347442,16.5106306003122,112.608,107.4215,a
VM125,B0,AUCinf_reliable,2000,48.25,46.0654886346542,50.4412210308302,0.885011872462753,0.882679288075379,0.887344456850127,18.1508877593268,93.9315,83.346,a
VM125,B0,AUCinf_true,2000,24.5,22.6651522610434,26.4326171503005,0.848620747185664,0.846598157527635,0.850643336843693,16.1502281096019,117,117,a
VM125,B0,AUCinf_subC,2000,18.05,16.4261849536473,19.7963143676248,0.83999368191637,0.83784506271475,0.842142301117991,17.0094967902008,117,117,a
