scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean,model
F090,B0,Cmax,2000,60.45,58.2890153911964,62.5709183206255,0.88048083148133,0.878635892763938,0.882325770198722,14.4229171367508,117,117,b
F090,B0,AUClast,2000,13.7,12.262476751978,15.276700880641,0.832257748676978,0.830026335850858,0.834489161503099,17.5631445759398,117,117,b
F090,B0,AUCinf_all,2000,21.1,19.368072087379,22.9427332454774,0.844890928126125,0.842794821439843,0.846987034812406,16.5573162166193,114.778,113.6505,b
F090,B0,AUCinf_reliable,2000,23.15,21.3539811429671,25.0489642960362,0.849783568861213,0.84757214765036,0.851994990072066,17.2923446135824,102.786,99.8085,b
F090,B0,AUCinf_true,2000,15.55,14.0280173169077,17.2040672407706,0.836055793070583,0.833903277461663,0.838208308679503,16.9721198093593,117,117,b
F090,B0,AUCinf_subC,2000,14.5,13.0249119983966,16.1111983585724,0.834669581495188,0.832457014228507,0.836882148761869,17.4133093669682,117,117,b
KE120,B0,Cmax,2000,99,98.4604061540925,99.3517232123447,0.967742486091799,0.965738258898143,0.969746713285454,15.6763725834437,117,117,b
KE120,B0,AUClast,2000,63.8,61.6692074173184,65.877882077719,0.906128864851827,0.903766114099356,0.908491615604298,18.6396290614769,117,117,b
KE120,B0,AUCinf_all,2000,71.65,69.6347234985025,73.5822683542192,0.908573294730112,0.906371523319451,0.910775066140773,17.4575372283597,114.778,114.5335,b
KE120,B0,AUCinf_reliable,2000,67.6,65.5168863984242,69.6156335372757,0.907826823571712,0.905517333196419,0.910136313947004,18.0301300325741,102.786,102.9775,b
KE120,B0,AUCinf_true,2000,69.4,67.3447653194441,71.3808532460433,0.908425403375617,0.906150006130295,0.910700800620939,17.9854910681867,117,117,b
KE120,B0,AUCinf_subC,2000,66.2,64.0975981844516,68.2402894836358,0.90734014627109,0.905011328174354,0.909668964367825,18.4073829649694,117,117,b
KM10,B0,Cmax,2000,99.7,99.3470084926065,99.862437007637,1.00330927137036,1.00124960530607,1.00536893743466,16.1259462133217,117,117,b
KM10,B0,AUClast,2000,94.85,93.7925128639055,95.7355279949661,1.01304465405789,1.01040528564286,1.01568402247291,20.8250554006929,117,117,b
KM10,B0,AUCinf_all,2000,97.3,96.4938869513423,97.9247603758512,0.989781581692284,0.987328430511837,0.992234732872731,19.2628014040084,114.778,115.6865,b
KM10,B0,AUCinf_reliable,2000,95.25,94.2279092806645,96.0985979403822,0.984231885287895,0.981664632180533,0.986799138395257,19.9613215151291,102.786,101.9825,b
KM10,B0,AUCinf_true,2000,96.75,95.8788259618199,97.441930117383,1.00930108723544,1.00676435186867,1.01183782260221,20.029972168005,117,117,b
KM10,B0,AUCinf_subC,2000,96.35,95.4352649450753,97.0870247719525,1.00191002939171,0.999338557812392,1.00448150097103,20.3028731638357,117,117,b
S00,B0,Cmax,2000,99.7,99.3470084926065,99.862437007637,1.00071027394672,0.998649354837992,1.00277119305544,16.1346573413174,117,117,b
S00,B0,AUClast,2000,95.6,94.6103473295914,96.4148179583583,1.00073694467066,0.998111642556242,1.00336224678508,20.7240736416409,117,117,b
S00,B0,AUCinf_all,2000,97.65,96.8891278302657,98.2281775638309,1.00028319196489,0.997812580392987,1.0027538035368,19.3546005014046,114.778,114.828,b
S00,B0,AUCinf_reliable,2000,96.35,95.4352649450753,97.0870247719525,1.00055128623621,0.997956820258829,1.00314575221359,20.015795595286,102.786,102.865,b
S00,B0,AUCinf_true,2000,97.15,96.3254740468308,97.7937483945471,1.00057705550603,0.998049107914897,1.00310500309715,19.960646505768,117,117,b
S00,B0,AUCinf_subC,2000,96.1,95.1593914956082,96.8638567450603,1.00080453133025,0.998212389504027,1.00339667315648,20.4334154977769,117,117,b
VM125,B0,Cmax,2000,96.15,95.2144892976008,96.9085672383395,0.950584856581254,0.948545626658318,0.95262408650419,15.9044490478239,117,117,b
VM125,B0,AUClast,2000,16.8,15.2254692951057,18.5018226443695,0.840284956683029,0.837973133066537,0.84259678029952,18.1757966067279,117,117,b
VM125,B0,AUCinf_all,2000,38.7,36.5889883259242,40.8543369426321,0.871140322762888,0.868940307913621,0.873340337612155,17.3766659579662,114.778,111.932,b
VM125,B0,AUCinf_reliable,2000,44.15,41.9870165243511,46.3354129288396,0.881806630667935,0.879426222759246,0.884187038576624,18.3867800786989,102.786,95.4565,b
VM125,B0,AUCinf_true,2000,22.3,20.5297791885631,24.1764252308183,0.849172755478876,0.846930268564022,0.85141524239373,17.6470014783113,117,117,b
VM125,B0,AUCinf_subC,2000,19.4,17.7263184361046,21.1910048575081,0.844623473672972,0.842318494696088,0.846928452649856,18.1417699176238,117,117,b
