model,model_variant,band,n,BMI_median,WT_median,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_lt80_pct,extrap_nca_median,extrap_gt20_pct,reliable_pct,lambda_fail_pct,tlast_median,AUClast_geo,AUClast_logcv,dev_range_note
a,base,40-60,20000,17.2481201226696,49.9482711195014,0.50382007448006,2.69272399455502,23.5706314804976,0.005,2.13015475673772,0.581337075273128,90.82,0.23,41.8082460353617,860.43085992989,38.8632371833095,""
a,base,60-75,20000,23.2392528580886,67.48971268069,0.60240457434676,3.23201852694345,15.0844206263364,0,2.56454194685988,0.871448720531936,88.105,0.74,35.2133502331562,614.627761817864,38.3295625200249,""
a,base,75-90,20000,28.5023903210294,82.564512421377,0.724209324563757,4.00720892984095,19.2025479271362,0,2.95446738200079,1.57452229299363,84.535,1.875,34.2918048854917,487.822829216311,39.7447908485381,""
a,base,90-110,20000,34.5023817092486,99.8885076725855,0.884881998466008,5.18226182021137,18.4503258209719,0,3.47924791949101,2.87490287490287,80.475,3.475,28.3435848108493,386.256558015242,40.6611996097155,""
a,base,110-130,20000,41.4336614378919,120.096906381659,1.10052924425659,6.61449118737162,18.4947202017042,0,4.07583798991498,4.85462648556876,75.575,5.76,27.5903675814625,307.004361082289,42.7666504703578,""
a,base,130-150,20000,48.3479595546248,139.980158158578,1.36530006655163,8.4194301511722,21.6777843759374,0.01,4.74003421083747,7.32186732186732,71.19,8.425,21.9078037741128,250.837111721347,44.5094929897634,"개발 자료 범위 확인 불가, 외삽 가능성"
b,struct2020,40-60,20000,17.2571415852552,50.1413590088487,0.504193536024894,2.8796635907095,17.635237454288,0,2.28226595887784,0.380513693486206,94.115,0.135,42.3801038176753,915.753247333585,40.3315949179809,""
b,struct2020,60-75,20000,23.2429871683426,67.4442694854224,0.57393264461354,3.25975236793918,22.5888368555293,0.005,2.6562926567568,0.522166993021037,92.485,0.415,35.8949801542331,658.494986811914,41.4357334913804,""
b,struct2020,75-90,20000,28.5024878761135,82.6055649435148,0.702122211103684,3.91379170087425,15.1909391759061,0,3.19227383636131,1.10310784264343,90.72,0.735,34.9128244640306,522.365277847607,42.4605729236965,""
b,struct2020,90-110,20000,34.4498966774989,99.9150978541002,0.81885029941432,4.99402270435494,23.7278550580628,0.005,3.70758376037762,2.04102407492238,88.12,1.765,34.10274251597,413.976113272754,44.783031028854,""
b,struct2020,110-130,20000,41.4472616128862,119.99747778289,1.05163606429348,6.14097891135128,20.3357287842416,0.005,4.49250788362307,3.7384140061792,85.23,2.9,28.2307170678396,328.35599054903,46.9451164307416,""
b,struct2020,130-150,20000,48.3605449123992,139.887079354376,1.21401450149934,7.33318230271217,22.2869523041218,0.005,4.99329321803226,5.4782382069325,82.235,4.075,27.6564923811238,271.556039387869,48.704017177636,"개발 자료 범위 확인 불가, 외삽 가능성"
c,k2016_bmi,40-60,20000,17.2308871258641,50.0677214399912,0.531281058283634,3.20152594584563,21.9679006467504,0.01,2.26508583168385,0.836757190099208,90.52,0.21,42.5467672368977,938.271859817845,39.8142477402799,""
c,k2016_bmi,60-75,20000,23.2901797671731,67.4902964907233,0.588779766344277,3.17360745113393,18.1656202102911,0,2.5046452364502,0.735368187770726,88.025,0.73,35.3978692169767,625.905129505703,39.1369784525593,""
c,k2016_bmi,75-90,20000,28.4596291265513,82.4744385690428,0.749122661371837,4.12821856385811,16.5841728464541,0,3.04927072191741,1.60444150155351,84.69,1.835,34.1758410404436,479.66521165616,39.4248455373854,""
c,k2016_bmi,90-110,20000,34.4633589179242,100.057831262238,0.93048527241581,5.42324069631741,17.1255814288291,0,3.53442583165823,3.043658612465,80.48,3.57,28.0658328006975,365.083655036381,41.063849536889,""
c,k2016_bmi,110-130,20000,41.4119286960195,119.926900083665,1.23470182762755,7.21589692826155,40.2531742482601,0.00500025001250063,4.26947920974748,5.38111794597486,75.235,6.525,27.1641734377481,281.705782899765,42.5818259301483,""
c,k2016_bmi,130-150,20000,48.3739978566318,140.04150374094,1.5174415289418,9.14740709257782,19.9759669013947,0,4.8894447809365,7.91997354497355,70.115,9.28,21.4483851166442,227.267483722058,44.0576989304197,"개발 자료 범위 확인 불가, 외삽 가능성"
d,k2016_bmi_vc0817,40-60,20000,17.209327029516,49.9431603262201,0.533414793223264,3.57318541708444,22.8219219083828,0.02,2.21477293627841,1.14159823753255,90.355,0.14,42.9924882031046,1007.02933799579,40.2186879092018,""
d,k2016_bmi_vc0817,60-75,20000,23.3026793891371,67.6150070910808,0.598269876389307,3.17403551665521,18.5304797291459,0,2.52103044768086,0.776992936427851,88.295,0.9,35.458503149217,639.862227976703,38.8895535828063,""
d,k2016_bmi_vc0817,75-90,20000,28.4682694317148,82.4461544305086,0.73586457148157,4.16971399798988,16.2317739338811,0,2.99958294766043,1.51885830784913,84.41,1.9,34.1492928760126,472.094247552928,40.0307928449722,""
d,k2016_bmi_vc0817,90-110,20000,34.484848816709,99.9711426859722,0.999573676175103,5.61866041549107,22.1914329539601,0.005,3.700723705502,3.3962066983646,79.445,4.305,27.8861824357882,346.313514506514,41.9441494757482,""
d,k2016_bmi_vc0817,110-130,20000,41.3999609586998,120.019704611041,1.32504372118192,8.0572123254011,22.3307667908838,0.015,4.52646610642378,6.35772357723577,72.995,7.75,21.8293296643533,255.868639949133,43.6598847150635,""
d,k2016_bmi_vc0817,130-150,20000,48.3451574273358,140.022388638463,1.74200791708115,9.85239137887514,61.4157200497581,0.01,5.31738955634526,9.82273907643672,65.95,11.43,21.0945834307931,198.774120720923,46.1543656803426,"개발 자료 범위 확인 불가, 외삽 가능성"
