scenario,n_trials,P2_minus_F3A,P2_minus_F3A_lo,P2_minus_F3A_hi,P2_minus_F3B,P2_minus_F3B_lo,P2_minus_F3B_hi,P2_minus_F3C,P2_minus_F3C_lo,P2_minus_F3C_hi,G2_minus_P2,G2_minus_P2_lo,G2_minus_P2_hi,P2_pass_AUCinfA_fail,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model,region
F_down_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016,범위 밖
F_down_075,2000,0.05,-0.0479981992270027,0.147998199227003,0,0,0,0,0,0,0.5,0.161147535401291,0.838852464598709,0.05,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016,범위 밖
F_down_080,10000,1.02,0.823055608597997,1.216944391402,0.23,0.136106892894147,0.323893107105853,0.2,0.112431063510116,0.287568936489884,3.64,3.17834385699333,4.10165614300667,1.02,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016,경계
F_down_085,2000,4.05,3.18584490451548,4.91415509548453,0.65,0.297724607057314,1.00227539294269,0.65,0.297724607057314,1.00227539294269,9.85,8.04362605871169,11.6563739412883,4.05,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016,범위 안
F_down_090,2000,6.2,5.14284429482979,7.25715570517021,0.95,0.524763302601316,1.37523669739868,1.2,0.7226787280153,1.6773212719847,2.7,1.00066390498979,4.39933609501021,6.2,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016,범위 안
F_down_095,2000,2.35,1.68593322956143,3.01406677043857,0.45,0.156594275414347,0.743405724585653,0.2,0.00415072760084866,0.395849272399151,-0.95,-1.7978794255951,-0.102120574404896,2.35,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016,범위 안
F_up_105,2000,1.95,1.34384624671529,2.55615375328471,0.15,-0.0196529274765803,0.31965292747658,0,0,0,-0.75,-1.5273361433163,0.0273361433162987,1.95,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016,범위 안
F_up_111,2000,4.45,3.54606532735919,5.35393467264081,0.5,0.19080088905388,0.809199110946121,0.4,0.123304969726386,0.676695030273614,3.1,1.58753153315031,4.61246846684969,4.45,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016,범위 안
F_up_118,2000,4.25,3.3656879349815,5.1343120650185,1.05,0.603168025631342,1.49683197436866,0.5,0.19080088905388,0.809199110946121,9.05,7.25690904798188,10.8430909520181,4.25,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016,범위 안
F_up_125,10000,0.61,0.457381890483956,0.762618109516045,0.13,0.0593749110314573,0.200625088968543,0.1,0.0380483966148605,0.16195160338514,4.16,3.71273876331836,4.60726123668164,0.61,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016,경계
F_up_133,2000,0,0,0,0,0,0,0,0,0,0.4,0.123304969726386,0.676695030273614,0,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016,범위 밖
F_up_143,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,F,up,1.43,1.25649313446745,1.43050167410425,1.29730502517664,k2016,범위 밖
Km_up_105,2000,0.5,0.19080088905388,0.809199110946121,0,0,0,0,0,0,3.85,2.89945514566986,4.80054485433014,0.5,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016,범위 안
S00,10000,0.48,0.34452922691171,0.615470773088291,0.01,-0.00959963984540054,0.0295996398454005,0.04,0.000806601230346845,0.0791933987696532,-0.22,-0.388555758480142,-0.0514442415198578,0.48,동일,-,1,1,1,1,k2016,범위 안
