model,scenario,mechanism,direction,target,multiplier,config,n_before,pass_pct,lo,hi,threshold,rule,selected,n_after
k2016,F_down_080,F,down,0.8,0.872152535936487,P2,10000,3.71,3.35697349886415,4.09857707029309,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,F_up_125,F,up,1.25,1.15149083830699,P2,10000,3.24,2.91052689302443,3.60538463460124,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,V2_up_080,V2,up,0.8,3.21003979693093,P2,10000,3.97,3.60465114473627,4.37069974526822,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,P2,10000,2.67,2.37175657034417,3.00459271542408,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,P2,10000,2.25,1.97714552453257,2.55952631986704,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,ka_down_080,ka,down,0.8,0.440433361793372,P2,10000,0,0,0.0383998370676596,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,ke_down_125,ke,down,1.25,0.632567348266282,P2,10000,3.37,3.03383376227813,3.74197792577116,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2016,ke_up_080,ke,up,0.8,1.47110350143772,P2,10000,3.67,3.31891143201197,4.05666985701492,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,F_down_080,F,down,0.8,0.871335777735966,P2,10000,3.7,3.34745689092521,4.08810135819944,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,F_up_125,F,up,1.25,1.15294080629446,P2,10000,3.41,3.07180293534988,3.78397803282977,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,V2_up_080,V2,up,0.8,2.27730854120339,P2,10000,5.32,4.89702817745753,5.77728591694613,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,TRUE,20000
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,P2,10000,2.72,2.4188809476051,3.05742993832608,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,P2,10000,2.76,2.4566008678009,3.09967929826063,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,ka_down_080,ka,down,0.8,0.424232725036545,P2,10000,0,0,0.0383998370676596,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,ke_down_125,ke,down,1.25,0.642602940228105,P2,10000,3.68,3.32842585465914,4.06714775440034,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
k2020,ke_up_080,ke,up,0.8,1.45683866187482,P2,10000,3.77,3.41408822781961,4.16141626153315,5,P2 boundary type I error Wilson 95% CI at 10000 trials includes 5% (lo <= 5 <= hi) -> extend that boundary scenario to 20000 trials,FALSE,10000
