model,scenario,region,mechanism,direction,target,multiplier,auc_ratio,contrast,a,b,flag_set,meaning,n_trials,pct_a,pct_b,est,lo,hi,note
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,6.45,3.71,2.74,2.3935109321993,3.0864890678007,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,6.45,7.35,-0.9,-1.3379280317202,-0.462071968279802,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,6.45,7.04,-0.59,-0.991047986348605,-0.188952013651395,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,7.35,3.71,3.64,3.17834385699333,4.10165614300667,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,7.04,3.71,3.33,2.91056912888482,3.74943087111518,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.82,3.71,0.11,-0.0299598181459112,0.249959818145911,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,4.13,3.71,0.42,0.253887088023377,0.586112911976623,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,7.04,7.35,-0.31,-0.634982711118721,0.0149827111187211,""
k2016,F_down_080,boundary,F,down,0.8,0.872152535936487,0.79988525403249,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,4.13,3.82,0.31,0.159567444952263,0.460432555047737,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,3.47,3.97,-0.5,-0.774233617236782,-0.225766382763218,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,3.47,4.03,-0.56,-0.894755635574976,-0.225244364425024,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,3.47,3.63,-0.16,-0.458531275744741,0.138531275744741,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,4.03,3.97,0.06,-0.335911368288786,0.455911368288786,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,3.63,3.97,-0.34,-0.700291384664802,0.0202913846648023,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.39,3.97,-0.58,-0.738829859391352,-0.421170140608649,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.1,3.97,-0.87,-1.05825076586671,-0.681749234133292,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,3.63,4.03,-0.4,-0.652414588316188,-0.147585411683812,""
k2016,V2_up_080,boundary,V2,up,0.8,3.21003979693093,0.799717812019852,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,3.1,3.39,-0.29,-0.427086545017378,-0.152913454982622,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,15.06,2.25,12.81,12.1549450835643,13.4650549164357,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,15.06,22.46,-7.4,-8.10867558514804,-6.69132441485196,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,15.06,19.91,-4.85,-5.46780130980717,-4.23219869019283,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,22.46,2.25,20.21,19.414167545726,21.005832454274,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,19.91,2.25,17.66,16.9094921872098,18.4105078127902,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,2.27,2.25,0.02,-0.103964585048546,0.143964585048546,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.05,2.25,0.8,0.618908940334885,0.981091059665115,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,19.91,22.46,-2.55,-3.1017835605426,-1.9982164394574,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,3.05,2.27,0.78,0.601009096562057,0.958990903437943,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,0,0,0,0,0,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,0,0,0,0,0,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,4.93,3.67,1.26,0.978396726744139,1.54160327325586,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,4.93,5.71,-0.78,-1.19086172186192,-0.369138278138083,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,4.93,4.86,0.07,-0.295116515334819,0.435116515334819,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,5.71,3.67,2.04,1.61243755677704,2.46756244322296,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,4.86,3.67,1.19,0.811152973748822,1.56884702625118,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.85,3.67,0.18,0.0307678256620489,0.329232174337951,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.91,3.67,0.24,0.0808333112197916,0.399166688780209,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,4.86,5.71,-0.85,-1.16377984650269,-0.536220153497311,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,3.91,3.85,0.06,-0.0813371874719822,0.201337187471982,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,5.32,3.24,2.08,1.78295288023751,2.37704711976249,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,5.32,7.4,-2.08,-2.50478373730531,-1.65521626269469,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,5.32,6.37,-1.05,-1.40923049157472,-0.690769508425276,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,7.4,3.24,4.16,3.71273876331836,4.60726123668164,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,6.37,3.24,3.13,2.73447372004542,3.52552627995459,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.59,3.24,0.35,0.204799883090063,0.495200116909937,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,3.83,3.24,0.59,0.418394473913412,0.761605526086588,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,6.37,7.4,-1.03,-1.37507062513482,-0.684929374865184,""
